Fold,MAE (kcal/mol),Hyperparameters
1,2.462315273921983,"['logistic', 'lbfgs', (100, 50), 0.1, 0.1, 0.1]"
1,2.032760566542461,"['relu', 'lbfgs', (100, 50, 20), 0.7052128914248186, 0.2501466492738459, 1.5034240181375042e-05]"
1,2.4862913151193484,"['logistic', 'adam', (50, 20, 5), 0.6618780856889065, 0.2804685944948387, 1.4707873291593836e-08]"
1,1.9036920328827864,"['logistic', 'adam', (100, 50), 0.13841149435115957, 0.9117622909832622, 1.1824223681818806e-06]"
1,2.2354049985499493,"['tanh', 'adam', (50, 20), 0.8224613481531737, 0.3069866274412227, 1.8501307728612323e-07]"
1,2.5259969991406748,"['tanh', 'lbfgs', (50, 20, 5), 0.5475254756763114, 0.9232255253665367, 0.040607896140036896]"
1,2.6727410346737432,"['logistic', 'sgd', (100, 50, 20), 0.8824126715752436, 0.13264286348510207, 0.00010612547875229241]"
1,2.247533694285476,"['logistic', 'lbfgs', (100, 100, 50), 0.4436250947527145, 0.2641905380474576, 0.00015813885347785495]"
1,1.9865728149124737,"['relu', 'sgd', (50, 20, 5), 0.9880764778459664, 0.32098126967192236, 0.06485867633926277]"
1,2.1119858680904864,"['logistic', 'adam', (50, 20), 0.27671455223252767, 0.5844434620053126, 0.00014049122473052975]"
1,2.1761839931769806,"['logistic', 'lbfgs', (100, 50, 20), 0.8510144318766593, 0.797864491163155, 5.036226511087721e-05]"
1,2.141405647380899,"['tanh', 'adam', (100, 50), 0.99, 0.99, 1e-08]"
1,2.1057008954723373,"['logistic', 'adam', (50, 20), 0.1, 0.99, 1e-08]"
1,1.950868526675612,"['logistic', 'adam', (100, 100, 50), 0.1, 0.99, 1e-08]"
1,2.6450761052627008,"['relu', 'lbfgs', (50, 20, 5), 0.9715528351259233, 0.1364315227448912, 2.936365197815756e-07]"
1,1.7778920664323576,"['relu', 'adam', (100, 50, 20), 0.1, 0.14397184067434082, 2.1339239349544776e-06]"
1,1.6914686766807592,"['tanh', 'adam', (100, 50, 20), 0.99, 0.19533898970014865, 0.00478144843356666]"
1,2.8068408466146457,"['logistic', 'adam', (100, 50, 20), 0.99, 0.7543767944590806, 0.018685789815184817]"
1,2.010099273305327,"['tanh', 'sgd', (100, 50, 20), 0.9762612251703829, 0.9304138113029251, 0.015411774203803442]"
1,1.9230487237818104,"['logistic', 'sgd', (100, 50), 0.1, 0.99, 1e-08]"
1,1.8071403227952607,"['relu', 'sgd', (100, 50, 20), 0.99, 0.1, 1e-08]"
1,2.0875208972065966,"['tanh', 'adam', (100, 50, 20), 0.1, 0.1, 0.1]"
1,2.148481083892339,"['tanh', 'adam', (100, 50, 20), 0.99, 0.1, 0.1]"
1,2.649241943186587,"['relu', 'lbfgs', (50, 20), 0.8864146002122765, 0.11190819915023269, 1.0876305073811149e-05]"
1,2.117440390558955,"['tanh', 'adam', (100, 50, 20), 0.5924873373418477, 0.5122998990236759, 1e-08]"
1,1.8994135767236502,"['logistic', 'lbfgs', (50, 20, 5), 0.8751069868874561, 0.9024778689784858, 5.404851329417996e-08]"
1,2.5629782155141645,"['tanh', 'adam', (50, 20, 5), 0.2454571940196572, 0.9888713166903605, 1.6371381374836223e-07]"
1,2.133559600467871,"['tanh', 'lbfgs', (100, 50, 20), 0.2472494936370534, 0.9569801369063359, 4.464114864728484e-08]"
1,1.9700051964589775,"['relu', 'sgd', (100, 100, 50), 0.15238459346982575, 0.9730090170817777, 0.08023802732762365]"
1,1.9028472632439146,"['relu', 'sgd', (100, 50, 20), 0.894202494794715, 0.9763091742785658, 0.046375146829012906]"
1,2.2960693345476217,"['logistic', 'lbfgs', (50, 20, 5), 0.15132943542002067, 0.2367862240687364, 0.0036574027637230277]"
1,1.752745479049156,"['relu', 'adam', (100, 50, 20), 0.43282092594998556, 0.18893973341631237, 3.912363373818318e-08]"
1,1.7286926354119572,"['relu', 'sgd', (100, 50, 20), 0.1, 0.7972408534184336, 1.10268779787994e-06]"
1,1.8623818688802636,"['relu', 'sgd', (100, 50, 20), 0.2803174783898861, 0.69911529513146, 3.583791769352701e-05]"
1,2.0596980522713224,"['tanh', 'adam', (100, 50, 20), 0.8031894946811612, 0.1, 7.386880527684489e-05]"
1,2.3280358164766994,"['tanh', 'lbfgs', (100, 50, 20), 0.99, 0.698633807776475, 0.09543646053490346]"
1,2.303347321927896,"['relu', 'lbfgs', (100, 50, 20), 0.1, 0.5016059388473144, 0.08413075334517876]"
1,1.7374072294171685,"['tanh', 'sgd', (100, 50), 0.3146650037645195, 0.2662684927559926, 0.1]"
1,2.032237909772698,"['relu', 'adam', (100, 50), 0.6438942033955068, 0.5908351804918317, 0.1]"
1,1.7989403955652035,"['tanh', 'sgd', (100, 50, 20), 0.5754304080468207, 0.2610187137054568, 0.1]"
1,1.9227442489435864,"['tanh', 'sgd', (50, 20), 0.8603385686545513, 0.7066482409188494, 0.1]"
1,1.8847071984203378,"['logistic', 'lbfgs', (100, 50), 0.9162005949969385, 0.5612010642444643, 1e-08]"
1,1.957645585647716,"['logistic', 'lbfgs', (50, 20, 5), 0.6102873938281417, 0.18611272681468813, 1e-08]"
1,1.9219508214136536,"['logistic', 'lbfgs', (100, 50, 20), 0.19300555236745104, 0.8733753169284799, 1e-08]"
1,2.0820618463214964,"['relu', 'sgd', (100, 50, 20), 0.2846588692690689, 0.8591452386729186, 1e-08]"
1,2.0130513770562652,"['logistic', 'sgd', (50, 20, 5), 0.2869303865830662, 0.33223868609977897, 0.1]"
1,2.6658500067610955,"['logistic', 'sgd', (100, 100, 50), 0.586397567024481, 0.45731933841328465, 0.1]"
1,1.7749152020983887,"['logistic', 'lbfgs', (100, 100, 50), 0.6972729772628444, 0.5493516174289979, 1e-08]"
1,2.241014809290424,"['logistic', 'lbfgs', (50, 20), 0.2953566485417381, 0.526659050267121, 1e-08]"
1,1.7503649287108212,"['relu', 'sgd', (100, 50), 0.9581024896062061, 0.1, 1.7897881558185895e-07]"
2,1.9484059084647138,"['logistic', 'lbfgs', (100, 50), 0.1, 0.1, 0.1]"
2,2.725190809070078,"['logistic', 'sgd', (100, 50, 20), 0.22110652315596396, 0.5038300953802971, 0.004232686337377312]"
2,1.7112448731686634,"['relu', 'adam', (50, 20), 0.719559603233282, 0.21125527695557675, 1.535056578199716e-07]"
2,2.162787045157285,"['tanh', 'adam', (50, 20, 5), 0.29483106824522143, 0.8049420056869021, 1.1430638281972385e-07]"
2,1.7975419516657052,"['relu', 'adam', (50, 20), 0.5274187743251285, 0.2830469537691964, 0.00017479659559198262]"
2,2.2667030373156636,"['tanh', 'lbfgs', (50, 20), 0.3660347814392454, 0.8047602467791195, 2.144205891989319e-06]"
2,2.5804539235591877,"['tanh', 'lbfgs', (50, 20, 5), 0.2296317464128872, 0.46123602167033306, 3.3675835605744614e-08]"
2,1.7803213202270836,"['logistic', 'adam', (100, 100, 50), 0.6636326187887599, 0.8955285131502237, 2.4547075808862155e-05]"
2,1.684023395198296,"['logistic', 'sgd', (100, 100, 50), 0.7456294205608694, 0.8094008634213288, 3.334434452327331e-08]"
2,1.8371928767296377,"['relu', 'adam', (100, 50), 0.1382383779353995, 0.41043685378222106, 0.042837379405583735]"
2,2.132374898113256,"['logistic', 'lbfgs', (50, 20), 0.21310977416591426, 0.33436653842831165, 0.00042303393813280377]"
