Fold,MAE (kcal/mol),Hyperparameters
1,1.0307964460214558,"['logistic', 'lbfgs', (100, 50), 0.1, 0.1, 0.1]"
1,1.2942994720662722,"['logistic', 'adam', (50, 20), 0.3280547451562499, 0.3898631235640637, 7.757124537622355e-05]"
1,0.7323522173436224,"['relu', 'lbfgs', (100, 50, 20), 0.4360560172453003, 0.874446849832317, 1.4520854451585622e-07]"
1,1.0538616663454712,"['relu', 'adam', (100, 50, 20), 0.32522336085506165, 0.6961535297546423, 0.024829217422282685]"
1,0.9571682355035466,"['logistic', 'sgd', (100, 50, 20), 0.6267615001846352, 0.9602061444099568, 0.09056894211637667]"
1,0.7918355344459966,"['relu', 'lbfgs', (100, 50), 0.6797713475070367, 0.8049219751717092, 0.00015760854950196119]"
1,0.8723496477190352,"['relu', 'sgd', (100, 100, 50), 0.21343288385287584, 0.7546487180682583, 6.402299521468341e-05]"
1,1.0253777982301664,"['relu', 'adam', (50, 20), 0.28885104335475076, 0.28783472793755477, 4.360332324013287e-07]"
1,1.2383953707785968,"['tanh', 'adam', (50, 20, 5), 0.6285388331495628, 0.9173713983947016, 3.8796169489864086e-07]"
1,0.9646683592003644,"['tanh', 'lbfgs', (100, 50), 0.6364813246426653, 0.8641826561027942, 0.016047253509127637]"
1,0.8599547790318822,"['relu', 'lbfgs', (50, 20), 0.8345278992265094, 0.7351263386155293, 2.6933067973281227e-05]"
1,0.9644460650042781,"['relu', 'sgd', (100, 50), 0.1, 0.1, 0.1]"
1,0.729152319868439,"['logistic', 'sgd', (50, 20), 0.4806327155565874, 0.6280626854827386, 0.1]"
1,1.0436694763616683,"['tanh', 'sgd', (50, 20), 0.1986698556836109, 0.1, 8.332747413618047e-05]"
1,0.9690788627621723,"['logistic', 'lbfgs', (100, 50), 0.1, 0.5144324143953793, 0.1]"
1,1.129025049629364,"['logistic', 'lbfgs', (50, 20), 0.7096802988148749, 0.99, 0.00021909487304174822]"
1,0.8136597834758781,"['relu', 'lbfgs', (100, 100, 50), 0.15648615410301933, 0.13544999920559445, 1.0218044119205403e-07]"
1,0.7177282451181204,"['logistic', 'sgd', (50, 20), 0.9241607688788249, 0.8824909100634852, 1.8117145998212022e-08]"
1,0.7136399146835585,"['logistic', 'sgd', (50, 20), 0.22610171836657225, 0.22151369944791435, 1e-08]"
1,0.7869547708965631,"['logistic', 'sgd', (50, 20), 0.19082100797715118, 0.13998274426683954, 1e-08]"
1,0.7913432197480337,"['relu', 'lbfgs', (100, 50, 20), 0.9803086775367242, 0.35583097088249394, 0.07585383373150324]"
1,0.7267322643537459,"['logistic', 'sgd', (50, 20), 0.99, 0.99, 2.1592736146901287e-08]"
1,0.7145668784373765,"['logistic', 'sgd', (50, 20), 0.99, 0.99, 1e-08]"
1,0.7222163503893915,"['logistic', 'sgd', (50, 20), 0.99, 0.99, 1e-08]"
1,1.1644668301391368,"['logistic', 'lbfgs', (50, 20), 0.99, 0.99, 1e-08]"
1,1.193712196541128,"['logistic', 'lbfgs', (50, 20), 0.99, 0.99, 1e-08]"
1,0.7189553023430667,"['logistic', 'sgd', (50, 20), 0.99, 0.99, 1e-08]"
1,0.7104979161015152,"['logistic', 'sgd', (50, 20), 0.99, 0.99, 1e-08]"
1,0.7067225091451853,"['logistic', 'sgd', (50, 20), 0.99, 0.99, 1e-08]"
1,0.7397635120078606,"['logistic', 'sgd', (50, 20), 0.99, 0.99, 1e-08]"
1,0.853399105582272,"['relu', 'lbfgs', (50, 20), 0.1, 0.99, 0.1]"
1,0.7045334620013409,"['logistic', 'sgd', (50, 20), 0.99, 0.99, 1e-08]"
1,0.717487777132447,"['logistic', 'sgd', (50, 20), 0.99, 0.99, 1e-08]"
1,0.7360665722743037,"['logistic', 'sgd', (50, 20), 0.99, 0.99, 1e-08]"
1,0.7238701992205676,"['logistic', 'sgd', (50, 20), 0.1, 0.99, 1e-08]"
1,0.7049596438028282,"['logistic', 'sgd', (50, 20), 0.99, 0.99, 1e-08]"
1,0.7340440496169292,"['logistic', 'sgd', (50, 20), 0.99, 0.99, 1e-08]"
1,0.7790470858047622,"['logistic', 'sgd', (50, 20), 0.99, 0.99, 1e-08]"
1,1.0909229526383106,"['logistic', 'lbfgs', (50, 20), 0.99, 0.99, 1e-08]"
1,0.9804722649301266,"['logistic', 'lbfgs', (50, 20), 0.1, 0.99, 1e-08]"
1,0.715117534173075,"['logistic', 'sgd', (50, 20), 0.99, 0.99, 1e-08]"
1,0.7095430970302303,"['logistic', 'sgd', (50, 20), 0.99, 0.99, 1e-08]"
1,0.7506898060766392,"['logistic', 'sgd', (50, 20), 0.99, 0.99, 1e-08]"
1,0.7419012322518556,"['logistic', 'sgd', (50, 20), 0.99, 0.99, 1e-08]"
1,0.7096192543207425,"['logistic', 'sgd', (50, 20), 0.99, 0.99, 1e-08]"
1,0.7155683019943883,"['logistic', 'sgd', (50, 20), 0.99, 0.99, 1e-08]"
1,1.0883845523277855,"['logistic', 'lbfgs', (50, 20), 0.99, 0.99, 1e-08]"
1,0.7138388049760315,"['logistic', 'sgd', (50, 20), 0.99, 0.99, 1e-08]"
1,0.7013091205940235,"['logistic', 'sgd', (50, 20), 0.99, 0.99, 1.2161005973121902e-07]"
1,1.0543835183174113,"['logistic', 'lbfgs', (50, 20), 0.99, 0.99, 1e-08]"
2,1.3204282434771304,"['logistic', 'lbfgs', (100, 50), 0.1, 0.1, 0.1]"
2,0.9829361866980288,"['logistic', 'adam', (100, 50, 20), 0.7539186467453104, 0.9719229610798906, 0.0987031815089171]"
2,1.0595715465794995,"['relu', 'adam', (50, 20), 0.29538811389409503, 0.6754809012362579, 0.00019106089079637143]"
2,1.3624188764046679,"['logistic', 'lbfgs', (50, 20), 0.20105938768378623, 0.22286031889657826, 0.0031464203289001645]"
2,0.9801665808990379,"['logistic', 'adam', (100, 50), 0.21886944253263166, 0.42320815029055725, 0.02183747143233745]"
2,0.7655700908267826,"['relu', 'lbfgs', (50, 20, 5), 0.9453075025708279, 0.40654013561793034, 0.02859816509993383]"
2,1.1222986634788155,"['tanh', 'sgd', (100, 50, 20), 0.6747218040709245, 0.8545517838022701, 5.201548179736422e-08]"
2,0.9033180156394498,"['relu', 'adam', (100, 100, 50), 0.44719764868156053, 0.6902322096307761, 2.1884901264157643e-06]"
2,1.0230861909951805,"['relu', 'sgd', (50, 20), 0.2984990796319872, 0.4318165322379244, 1.4589915565546389e-05]"
2,1.3607635610930495,"['tanh', 'adam', (50, 20, 5), 0.2605439183195237, 0.6164725025379793, 3.1318325898731125e-05]"
2,1.0001830895176869,"['relu', 'adam', (50, 20, 5), 0.2234004718468121, 0.3694836720772784, 0.0007486818635680845]"
2,0.9010184975961378,"['relu', 'lbfgs', (50, 20, 5), 0.17996973626001606, 0.5075571430315323, 1e-08]"
2,0.7545063384244202,"['relu', 'lbfgs', (100, 100, 50), 0.8736781773214574, 0.10352636746610423, 0.1]"
2,0.82840630679038,"['relu', 'lbfgs', (100, 100, 50), 0.99, 0.99, 1e-08]"
2,0.869572120760343,"['relu', 'lbfgs', (50, 20), 0.99, 0.9885259181820105, 0.1]"
2,1.036637036917959,"['relu', 'sgd', (50, 20, 5), 0.99, 0.1, 0.1]"
2,0.9246804562834836,"['relu', 'lbfgs', (50, 20, 5), 0.99, 0.1, 0.1]"
2,0.9545001631409359,"['tanh', 'lbfgs', (100, 100, 50), 0.9483596356573089, 0.9132977243486342, 3.199266269678961e-08]"
2,0.9861763898132122,"['logistic', 'sgd', (100, 100, 50), 0.9130078386327167, 0.31127027643923344, 1.0759321556363995e-08]"
2,0.852213556093741,"['relu', 'lbfgs', (100, 100, 50), 0.99, 0.259701092063933, 0.1]"
2,0.8312481771572188,"['relu', 'lbfgs', (100, 100, 50), 0.9871454518697341, 0.17861564071881972, 0.08713297906276807]"
2,0.7484323116432277,"['relu', 'lbfgs', (100, 100, 50), 0.8137734542727092, 0.11959556199752652, 0.05473590362690778]"
2,0.8847074170222919,"['relu', 'lbfgs', (100, 50), 0.6503962700345138, 0.99, 1e-08]"
2,0.8247758408429352,"['relu', 'lbfgs', (100, 100, 50), 0.9089437884968172, 0.1, 0.1]"
2,0.8183605692598063,"['relu', 'lbfgs', (100, 100, 50), 0.9017233633417683, 0.1, 0.07301110226269862]"
2,0.8355143635254514,"['relu', 'lbfgs', (100, 100, 50), 0.9696350500781984, 0.1, 0.1]"
2,0.8139763157528157,"['relu', 'lbfgs', (100, 100, 50), 0.7802036638168528, 0.40371644271381735, 3.095290196598201e-08]"
2,0.786603477102946,"['relu', 'lbfgs', (100, 100, 50), 0.4363140285858573, 0.1, 0.1]"
2,0.8826474629048234,"['relu', 'lbfgs', (100, 100, 50), 0.19202893343639882, 0.1, 0.1]"
2,1.0097072381717282,"['tanh', 'lbfgs', (100, 100, 50), 0.99, 0.1, 0.1]"
2,0.8599920680427885,"['relu', 'lbfgs', (100, 100, 50), 0.99, 0.16670245617399096, 0.1]"
2,0.863825269124702,"['relu', 'lbfgs', (100, 100, 50), 0.99, 0.1, 0.1]"
2,0.7693882085968222,"['relu', 'lbfgs', (100, 50, 20), 0.7624348914088098, 0.45717120075208995, 0.0013284638190064753]"
2,0.94280525654044,"['relu', 'lbfgs', (50, 20), 0.6263414907049627, 0.99, 0.1]"
2,0.7394362274185623,"['relu', 'lbfgs', (100, 100, 50), 0.666251834469549, 0.1, 0.1]"
2,1.0347512029335808,"['relu', 'sgd', (100, 100, 50), 0.99, 0.99, 8.193864194932131e-05]"
2,0.8018566247961116,"['relu', 'lbfgs', (50, 20, 5), 0.99, 0.6070495954262539, 1e-08]"
2,0.909529712990391,"['relu', 'lbfgs', (100, 50), 0.6282196396674696, 0.10040856879202957, 0.0020039663974508737]"
2,0.9678302966802533,"['relu', 'adam', (100, 100, 50), 0.6446273309664396, 0.1553486643789509, 0.1]"
2,0.8305037310468768,"['relu', 'lbfgs', (100, 100, 50), 0.6453427580983617, 0.23586965285902212, 0.1]"
2,1.1709354870469197,"['logistic', 'lbfgs', (100, 50, 20), 0.99, 0.778576343091249, 1.297411543136727e-07]"
2,0.8097726267254844,"['logistic', 'adam', (100, 50), 0.99, 0.61514208071811, 0.0030743025012294426]"
2,0.9276200069155597,"['tanh', 'adam', (100, 50), 0.99, 0.8416977996696531, 0.00040782664239631477]"
2,1.001483998253786,"['tanh', 'adam', (50, 20), 0.99, 0.8881588695753879, 0.0002418666412936853]"
2,1.1003877589989715,"['tanh', 'lbfgs', (100, 50), 0.99, 0.99, 5.924814616794782e-07]"
2,0.9845326371480579,"['relu', 'sgd', (100, 50), 0.4492987249978533, 0.939616077708236, 1.7529693534041568e-08]"
2,0.7980262483993231,"['relu', 'lbfgs', (100, 50), 0.1, 0.47672951372314354, 0.0019018791543410276]"
2,0.7097239839244296,"['logistic', 'sgd', (100, 50), 0.7359367367052307, 0.9261212829437285, 0.034506022276019274]"
2,1.2972818102301498,"['logistic', 'adam', (100, 50), 0.6979449522676943, 0.99, 1e-08]"
2,0.7457876814902596,"['logistic', 'sgd', (100, 50), 0.99, 0.6868812977507107, 0.1]"
3,1.3617962460752666,"['logistic', 'lbfgs', (100, 50), 0.1, 0.1, 0.1]"
3,0.9035670521504667,"['logistic', 'sgd', (50, 20), 0.3304839901950879, 0.5644240546495413, 1.0100540109000577e-07]"
3,1.0376161141305784,"['relu', 'sgd', (100, 50, 20), 0.35317107354019805, 0.8069565090635785, 6.619326753110688e-05]"
3,0.9776636733599027,"['relu', 'adam', (100, 100, 50), 0.48494145419897683, 0.47300167004870086, 1.546817906250165e-07]"
3,1.1934430118795931,"['logistic', 'lbfgs', (50, 20), 0.8923354317102089, 0.5900764523870364, 0.00317176860111479]"
3,1.3074215911325602,"['tanh', 'sgd', (50, 20), 0.9005187749247404, 0.7635550070490326, 3.0778300149962985e-07]"
