Fold,MAE (kcal/mol),Hyperparameters
1,0.6100577323554143,"['logistic', 'lbfgs', (100, 50), 0.1, 0.1, 0.1]"
1,0.8497985784105522,"['relu', 'adam', (50, 20), 0.544255488897052, 0.9498287852864654, 4.25947635130882e-08]"
1,0.7239587525167152,"['relu', 'sgd', (50, 20, 5), 0.25137212462333464, 0.3127274069529236, 1.2633066176178987e-05]"
1,0.6219473588965027,"['relu', 'lbfgs', (100, 50), 0.8857293362564213, 0.685709273479449, 0.007962357461985882]"
1,0.7214942344080991,"['logistic', 'lbfgs', (100, 50, 20), 0.9130998355288124, 0.5090734422217646, 5.837350134669188e-05]"
1,0.6769941592179559,"['relu', 'lbfgs', (50, 20), 0.10584682398918603, 0.7808197068527243, 9.166673668574653e-07]"
1,0.8569905396649734,"['tanh', 'sgd', (100, 50, 20), 0.9004920925892022, 0.44757123576809177, 3.9135620717991873e-07]"
1,0.6106773475603514,"['relu', 'adam', (50, 20, 5), 0.8959672701644935, 0.2168264785878321, 3.194133466879275e-06]"
1,0.691536862745901,"['relu', 'lbfgs', (50, 20), 0.8637328084171773, 0.9367331058282105, 0.015608136496401267]"
1,0.9011929415491136,"['logistic', 'adam', (50, 20), 0.17188081455194298, 0.5286342311329261, 0.00011520047315228137]"
1,0.631652994168705,"['relu', 'lbfgs', (50, 20), 0.715191667434431, 0.7448641465554969, 2.377548813352812e-06]"
1,1.0913847613183354,"['tanh', 'lbfgs', (50, 20), 0.99, 0.3183688560785569, 1e-08]"
1,0.5050803248252479,"['logistic', 'sgd', (100, 50), 0.2732201138471969, 0.1116458851955349, 8.366492290728294e-08]"
1,0.764470890148599,"['relu', 'sgd', (100, 50), 0.18489537670353023, 0.221317694130231, 2.1679078139418774e-08]"
1,0.9672949603144131,"['logistic', 'sgd', (100, 100, 50), 0.99, 0.1, 6.910605837930459e-08]"
1,0.9623004377663555,"['tanh', 'sgd', (100, 50), 0.9567438392808856, 0.8468045397292253, 6.029274624176699e-06]"
1,0.9623797215438485,"['logistic', 'sgd', (50, 20, 5), 0.99, 0.36967970985969834, 3.510579661095504e-08]"
1,0.7487064245580028,"['relu', 'lbfgs', (50, 20), 0.99, 0.1, 1e-08]"
1,0.5455462986012757,"['logistic', 'sgd', (50, 20), 0.99, 0.1, 2.9769711792791945e-06]"
1,0.5336818561427397,"['logistic', 'sgd', (100, 50), 0.1, 0.3954014610700446, 1e-08]"
1,0.7512013881633203,"['relu', 'adam', (50, 20, 5), 0.4917012148677501, 0.9862820819247216, 3.285204910046966e-07]"
1,0.5377335816333332,"['logistic', 'sgd', (100, 50), 0.1, 0.99, 4.595755193250736e-06]"
1,0.8243534781900129,"['logistic', 'adam', (50, 20, 5), 0.7796666335849586, 0.1, 0.00012129208226765183]"
1,1.1504296191450059,"['tanh', 'adam', (50, 20, 5), 0.23539909252448735, 0.4076939116637939, 1.5694452286812517e-05]"
1,0.8975756007613651,"['tanh', 'sgd', (100, 100, 50), 0.14957920178714673, 0.2629130689257571, 0.03180710231676476]"
1,0.9927147352339485,"['tanh', 'adam', (50, 20), 0.5340017107003215, 0.49245409081774294, 2.781285275927735e-06]"
1,0.5651924387597913,"['logistic', 'sgd', (100, 50), 0.508348975028873, 0.1, 1e-08]"
1,0.6636654511881666,"['relu', 'adam', (100, 100, 50), 0.3835039161298057, 0.99, 0.008298170642505513]"
1,0.689652499190402,"['relu', 'sgd', (100, 100, 50), 0.7908425210760761, 0.1, 1.5549701470117574e-08]"
1,0.6221024262905904,"['relu', 'lbfgs', (100, 50, 20), 0.9608669410931464, 0.99, 0.0048537640374107325]"
1,0.5490994389714914,"['relu', 'lbfgs', (100, 100, 50), 0.29864824027115233, 0.99, 0.0007415508226732804]"
1,0.7021844982442995,"['logistic', 'adam', (100, 50), 0.3949453280692836, 0.5095001642230607, 0.0012849221737374985]"
1,0.6350808844459613,"['relu', 'lbfgs', (100, 100, 50), 0.21304964958378608, 0.1, 2.387325106023096e-07]"
1,0.8745952753401267,"['relu', 'lbfgs', (100, 50), 0.8950592157539894, 0.99, 0.004065066734663697]"
1,0.7162937606327061,"['relu', 'sgd', (50, 20), 0.30480503756828614, 0.9308816001805786, 0.07051763773233029]"
1,0.7418672238917697,"['relu', 'adam', (100, 50, 20), 0.552416602800063, 0.11784540841607502, 0.036188643646135894]"
1,0.5700575775855532,"['logistic', 'sgd', (100, 50), 0.8903992346895253, 0.37987793212279486, 0.09999990723084975]"
1,0.5211412551431116,"['logistic', 'sgd', (100, 50), 0.1473502920777756, 0.12369761450625959, 5.8096647663351256e-08]"
1,0.958303091135243,"['logistic', 'sgd', (100, 50, 20), 0.10596069157255114, 0.11641996157288492, 1.5725023853310443e-07]"
1,0.8733837069811369,"['tanh', 'adam', (100, 50), 0.13375639657464436, 0.19481512351257302, 0.033047707507159255]"
1,0.571060132348736,"['logistic', 'sgd', (50, 20), 0.20783695472683067, 0.9749054765920637, 0.02324652913266044]"
1,0.5855977336062728,"['logistic', 'sgd', (50, 20), 0.8371394906988775, 0.16866233584618517, 1.1616200557529658e-08]"
1,0.5462082190931753,"['logistic', 'sgd', (100, 50), 0.7526300511496846, 0.9862650787134646, 0.0897155855016383]"
1,0.6453509198456231,"['relu', 'lbfgs', (100, 100, 50), 0.99, 0.30633204595604224, 0.024119100342239422]"
1,0.9657433648564571,"['tanh', 'sgd', (50, 20), 0.9604374409832185, 0.9297172832763396, 2.6239239852162678e-05]"
1,0.6420005658043597,"['relu', 'lbfgs', (100, 100, 50), 0.9853225667238729, 0.1592398201338939, 7.864753331737343e-06]"
1,0.6623480460036537,"['logistic', 'lbfgs', (100, 50, 20), 0.3934120140695061, 0.99, 1e-08]"
1,0.6265217627335049,"['relu', 'lbfgs', (100, 100, 50), 0.9874354850695424, 0.15988397324556827, 2.3792668755918417e-07]"
1,0.5792025332794385,"['relu', 'lbfgs', (100, 100, 50), 0.99, 0.18126359245833623, 7.649488764993258e-06]"
1,0.5629660637623877,"['relu', 'lbfgs', (100, 100, 50), 0.9377923887997818, 0.1, 0.0009647596295415992]"
1,0.8632973879338673,"['relu', 'adam', (100, 50), 0.12998685715571243, 0.1262857523097248, 0.08099932481970333]"
1,0.6337700966555323,"['logistic', 'lbfgs', (50, 20), 0.9253822802079648, 0.9655460315915324, 0.03780951346495612]"
1,0.6371442958309393,"['logistic', 'lbfgs', (100, 50), 0.22487928282282052, 0.9555679408717962, 1.0615527139183577e-08]"
1,0.520871237906578,"['logistic', 'sgd', (100, 50), 0.10807495671571299, 0.9549616970886097, 0.07907456541207766]"
1,0.5287978519679382,"['logistic', 'sgd', (100, 50), 0.9202044456185117, 0.1293794115567536, 0.011570221684270625]"
1,0.5070495734563846,"['logistic', 'sgd', (100, 50), 0.8275412619453373, 0.9792726675820138, 0.05545377593550758]"
1,0.5235809445080583,"['logistic', 'sgd', (100, 50), 0.9410426202020833, 0.12697849705867914, 0.09661327044964908]"
1,0.5246315484681819,"['logistic', 'sgd', (100, 50), 0.10584990550615717, 0.868923288459485, 1.0008452825429593e-07]"
1,0.48982019747445465,"['logistic', 'sgd', (100, 50), 0.9886599158240914, 0.9847713757092972, 1.435914795484596e-08]"
1,0.8231035423219301,"['tanh', 'lbfgs', (100, 50), 0.18110555603421183, 0.9488411758739183, 1.8016826616632477e-08]"
1,0.5423139190877986,"['logistic', 'sgd', (50, 20), 0.17026658526666288, 0.8270422397384615, 0.07397194718811652]"
1,0.5661082972012045,"['logistic', 'sgd', (50, 20), 0.11536487787854578, 0.9855852906187264, 0.02285606900644538]"
1,0.5567728785755681,"['logistic', 'sgd', (100, 50), 0.8240117627136964, 0.22687973009176327, 1.5999845208468784e-07]"
1,0.5055804726407356,"['logistic', 'sgd', (100, 50), 0.11733884609208561, 0.1, 7.211680542276377e-08]"
1,0.5050054818879239,"['logistic', 'sgd', (100, 50), 0.1, 0.1, 5.038477250778924e-08]"
2,0.6245826863292994,"['logistic', 'lbfgs', (100, 50), 0.1, 0.1, 0.1]"
2,0.6333368075699897,"['logistic', 'lbfgs', (50, 20, 5), 0.19533875579209836, 0.14372007727475253, 7.966979353891924e-08]"
2,1.0647901017369445,"['tanh', 'lbfgs', (50, 20, 5), 0.5720682365590426, 0.4241852091328584, 0.02686214001204334]"
2,0.6584547423490822,"['relu', 'adam', (100, 50, 20), 0.8674826193377837, 0.12565828319649228, 0.001214044188204072]"
2,0.9047089522048971,"['tanh', 'adam', (100, 50), 0.42641916495459564, 0.6094652453639421, 4.4324388711257134e-06]"
2,0.9910900856586025,"['tanh', 'adam', (100, 100, 50), 0.8511828250453071, 0.5718096613784793, 0.00047892035673238146]"
2,0.8440320480854292,"['logistic', 'adam', (100, 100, 50), 0.33881371996384113, 0.5750676533494112, 3.0214709589374077e-07]"
2,0.7216090622515026,"['relu', 'lbfgs', (50, 20, 5), 0.5753766982272347, 0.7995934118162531, 4.835323975303406e-07]"
2,1.0220258051315139,"['tanh', 'lbfgs', (50, 20), 0.9447630005466892, 0.4163934154005927, 4.5420167646564257e-07]"
2,0.8593400894128549,"['relu', 'sgd', (100, 50, 20), 0.4546517309555642, 0.26965454614511764, 3.415513214169026e-05]"
2,0.5810210413407578,"['logistic', 'sgd', (50, 20), 0.24647151669623654, 0.933978970740264, 3.0684983326781986e-05]"
2,0.5893793849799427,"['logistic', 'sgd', (100, 50), 0.1, 0.99, 0.1]"
2,0.6028091357491269,"['logistic', 'sgd', (100, 50), 0.99, 0.99, 0.1]"
2,0.6011014709113284,"['logistic', 'sgd', (50, 20), 0.1, 0.99, 1e-08]"
2,0.615931410080206,"['logistic', 'sgd', (50, 20), 0.1, 0.99, 0.1]"
2,0.5893909926112512,"['logistic', 'sgd', (100, 50), 0.1, 0.7517662002311074, 1e-08]"
2,0.9845805297122924,"['logistic', 'sgd', (100, 50, 20), 0.15101399612572947, 0.40173295683227594, 1.1211747757770475e-08]"
2,0.5968760408355158,"['logistic', 'sgd', (100, 50), 0.1, 0.1, 1e-08]"
2,1.1133150740393507,"['tanh', 'adam', (100, 50, 20), 0.744333788046716, 0.5344469938262939, 0.03853491321036702]"
2,0.584471312795118,"['logistic', 'sgd', (100, 50), 0.1, 0.99, 1e-08]"
2,0.5622791746923921,"['logistic', 'sgd', (100, 50), 0.4865733444460689, 0.99, 1e-08]"
2,0.5789458965911923,"['logistic', 'sgd', (100, 50), 0.4929202870429509, 0.99, 1e-08]"
2,0.5958761290573574,"['logistic', 'sgd', (100, 50), 0.99, 0.99, 1e-08]"
2,0.5867825755284808,"['logistic', 'sgd', (100, 50), 0.7395454662491452, 0.99, 1e-08]"
2,0.5755102206111181,"['logistic', 'sgd', (100, 50), 0.5084105644146415, 0.99, 1e-08]"
2,0.5806120033449286,"['logistic', 'sgd', (100, 50), 0.5102747583470726, 0.99, 1e-08]"
2,0.6030465453016827,"['logistic', 'sgd', (100, 50), 0.5132693458411604, 0.99, 1e-08]"
2,0.5775000844723635,"['logistic', 'sgd', (100, 50), 0.9146380904258455, 0.99, 1e-08]"
2,0.6116687189902734,"['logistic', 'sgd', (100, 50), 0.99, 0.99, 1e-08]"
2,0.6080391894529128,"['logistic', 'sgd', (100, 50), 0.1, 0.99, 1e-08]"
2,0.600888839940128,"['logistic', 'sgd', (100, 50), 0.99, 0.99, 1e-08]"
2,0.602787430042243,"['logistic', 'sgd', (100, 50), 0.5277416099592253, 0.99, 1e-08]"
2,0.595570372996858,"['logistic', 'sgd', (100, 50), 0.1, 0.99, 1e-08]"
2,0.5656795258496544,"['logistic', 'sgd', (100, 50), 0.1, 0.99, 1e-08]"
2,0.5704939397147555,"['logistic', 'sgd', (100, 50), 0.1, 0.99, 1e-08]"
2,0.5489781533660529,"['logistic', 'sgd', (100, 50), 0.1, 0.99, 1e-08]"
2,0.6067324116008951,"['logistic', 'sgd', (100, 50), 0.1, 0.99, 1e-08]"
2,0.5825327336410236,"['logistic', 'sgd', (100, 50), 0.1, 0.99, 1e-08]"
2,0.5582844418508228,"['logistic', 'sgd', (100, 50), 0.1, 0.99, 1e-08]"
2,0.5653141957272434,"['logistic', 'sgd', (100, 50), 0.1, 0.99, 1e-08]"
2,0.5773465542722108,"['logistic', 'sgd', (100, 50), 0.1, 0.99, 1e-08]"
2,0.6169337355075488,"['logistic', 'sgd', (100, 50), 0.1, 0.99, 1e-08]"
