Fold,MAE (kcal/mol),Hyperparameters
1,0.5151484454269307,"['logistic', 'lbfgs', (100, 50), 0.1, 0.1, 0.1]"
1,0.8764641626488092,"['tanh', 'lbfgs', (50, 20, 5), 0.352513181925839, 0.6255387697968106, 9.097929314292697e-07]"
1,0.6385646534640921,"['logistic', 'lbfgs', (100, 50, 20), 0.1590140342140511, 0.2294796977665306, 4.743319697055411e-07]"
1,0.6875642324944291,"['tanh', 'lbfgs', (50, 20), 0.11468464615691759, 0.2549952062158054, 0.013169543503320133]"
1,0.6840605080470669,"['tanh', 'sgd', (100, 50), 0.33700092686526856, 0.17262431727354438, 0.027325933892810104]"
1,0.6503819762835437,"['relu', 'sgd', (50, 20), 0.769242242983076, 0.8642717078762032, 0.011149911679829443]"
1,0.6929007762673353,"['relu', 'adam', (100, 50), 0.5725999783928349, 0.8855269847620242, 0.00020094134678833752]"
1,0.6112787928285396,"['relu', 'adam', (100, 100, 50), 0.32071849845372313, 0.8406960362955022, 4.945862576846306e-08]"
1,0.6030615057102519,"['relu', 'sgd', (100, 50, 20), 0.740101127792123, 0.5665339449652735, 7.014417797753886e-08]"
1,0.5957192912762295,"['relu', 'sgd', (100, 50, 20), 0.764315904989243, 0.9360026812839768, 2.974481310618847e-07]"
1,0.5636584159722161,"['logistic', 'lbfgs', (50, 20), 0.22770969460924503, 0.45512304966280015, 1.036435786436856e-08]"
1,0.5879443505473764,"['relu', 'sgd', (50, 20, 5), 0.4067636569332319, 0.599852648337574, 0.003902862031733065]"
1,0.4967048831009278,"['logistic', 'adam', (100, 50), 0.3922408091949784, 0.1, 0.1]"
1,0.4967068467018487,"['logistic', 'adam', (100, 100, 50), 0.341117932923973, 0.1775419590320161, 0.1]"
1,0.9568598023483826,"['logistic', 'adam', (50, 20, 5), 0.630435858810708, 0.904414716905506, 0.1]"
1,0.4554199781300999,"['logistic', 'adam', (100, 50), 0.5736002900031535, 0.1, 0.1]"
1,0.9372370367049551,"['logistic', 'adam', (100, 100, 50), 0.99, 0.7189126085284157, 0.1]"
1,0.5260105319262128,"['logistic', 'lbfgs', (50, 20), 0.862463960699678, 0.99, 1e-08]"
1,0.6484141739830259,"['relu', 'adam', (100, 100, 50), 0.22024835208408836, 0.1, 0.1]"
1,0.7782351780674079,"['tanh', 'adam', (50, 20), 0.11894697189501396, 0.835657282929392, 0.1]"
1,0.5366692449342991,"['logistic', 'adam', (50, 20), 0.8075184821601308, 0.1, 0.0026202804752715166]"
1,0.6181030070644349,"['relu', 'sgd', (100, 50), 0.1, 0.1, 1e-08]"
1,0.49003843635547933,"['logistic', 'sgd', (100, 100, 50), 0.99, 0.1, 0.1]"
1,0.5330798298408514,"['logistic', 'adam', (100, 50), 0.8323873274097109, 0.7529100291146467, 1e-08]"
1,0.6699887803407923,"['relu', 'lbfgs', (50, 20, 5), 0.9855251330679617, 0.1, 2.419858587090751e-05]"
1,0.5764127767423808,"['logistic', 'adam', (100, 50, 20), 0.5514360479278744, 0.1, 1e-08]"
1,0.6206259801093293,"['logistic', 'adam', (100, 50, 20), 0.13414403296669003, 0.1, 1e-08]"
1,0.5863631168234769,"['tanh', 'adam', (100, 50), 0.22472621998125158, 0.1, 1e-08]"
1,0.6516223560960981,"['relu', 'lbfgs', (50, 20), 0.9433471978327262, 0.45414359129351556, 0.1]"
1,0.49247271876352916,"['logistic', 'adam', (50, 20), 0.1766641078636931, 0.1, 0.1]"
1,0.9612419490057025,"['logistic', 'adam', (50, 20, 5), 0.5875296983541697, 0.1, 0.1]"
1,0.7062524032855724,"['tanh', 'lbfgs', (100, 100, 50), 0.1, 0.1, 3.030904170152774e-07]"
1,0.7862510149371923,"['tanh', 'adam', (50, 20), 0.6047380202224416, 0.1, 0.0013603094183981127]"
1,0.559786567023348,"['logistic', 'adam', (100, 100, 50), 0.1, 0.4277347564618833, 0.014743658942628104]"
1,0.5274790109203616,"['logistic', 'lbfgs', (100, 50), 0.6054645168404246, 0.28521999420529, 0.1]"
1,0.9561487864787653,"['logistic', 'sgd', (100, 100, 50), 0.7126654540779334, 0.23192206101721755, 7.655584664552085e-07]"
1,0.960879590050716,"['logistic', 'sgd', (100, 50, 20), 0.99, 0.5789978401337568, 0.1]"
1,0.7712887076076738,"['tanh', 'lbfgs', (100, 50, 20), 0.14419213911945444, 0.8795062995472305, 1e-08]"
1,0.5548270659332285,"['logistic', 'lbfgs', (100, 50, 20), 0.99, 0.8309912786681067, 1e-08]"
1,0.6326728352671501,"['relu', 'sgd', (50, 20, 5), 0.1, 0.99, 1.714301623818359e-08]"
1,0.5863674513316744,"['relu', 'adam', (50, 20, 5), 0.99, 0.99, 0.1]"
1,0.6683543638936029,"['relu', 'lbfgs', (50, 20, 5), 0.1, 0.9228657252500194, 0.07205417217670702]"
1,0.6839235766202847,"['relu', 'sgd', (50, 20, 5), 0.99, 0.9889329607963976, 0.007871140344693193]"
1,0.9259179038791732,"['logistic', 'adam', (50, 20), 0.9731749538586444, 0.1, 0.1]"
1,0.5149788413204431,"['logistic', 'adam', (100, 100, 50), 0.5690345689757018, 0.1, 0.005826269236012669]"
1,0.6544878442563578,"['logistic', 'adam', (50, 20), 0.7484631602439877, 0.5938575307573503, 7.167315951824246e-05]"
1,0.5013845308216655,"['logistic', 'sgd', (50, 20), 0.747641384495973, 0.7980243773486079, 0.1]"
1,0.46418924018627994,"['logistic', 'sgd', (100, 50), 0.8960495127345482, 0.6894145782456584, 0.011445681666494758]"
1,0.9523358842996283,"['logistic', 'sgd', (100, 100, 50), 0.6795025271122722, 0.19600109943309568, 0.006591704922331656]"
1,0.5268070758561886,"['logistic', 'adam', (100, 50), 0.5052592380542418, 0.12301007248245008, 0.09780008652117672]"
1,0.5298208494488973,"['logistic', 'sgd', (50, 20), 0.825400079831324, 0.7965899351936209, 4.331940811818798e-07]"
1,0.4994623863089369,"['logistic', 'sgd', (100, 50), 0.9680943805094714, 0.6266903587476875, 0.00013880529660393142]"
1,0.5214574394929806,"['logistic', 'adam', (100, 50), 0.26223631939614833, 0.6354413494524239, 0.0006570883000755002]"
1,0.5485092526373755,"['logistic', 'adam', (100, 100, 50), 0.4522803956882132, 0.2609895147702889, 2.6752116266921867e-06]"
1,0.5741242459914745,"['logistic', 'adam', (100, 50), 0.6665435953060156, 0.8356278365006734, 1.3408063856438299e-08]"
1,0.5780240926044514,"['logistic', 'adam', (100, 100, 50), 0.2327893529396108, 0.5352958328678318, 5.600684648197937e-08]"
1,0.9662441424856324,"['logistic', 'sgd', (100, 100, 50), 0.9297261204857312, 0.8416862690604666, 0.009160797769885586]"
1,0.488757837931492,"['logistic', 'adam', (100, 50), 0.25572736059434853, 0.1, 0.034685650278336304]"
1,0.5249531721650332,"['logistic', 'adam', (100, 50), 0.720506967424911, 0.1, 6.814117602095656e-05]"
1,0.5003813310663527,"['logistic', 'sgd', (100, 50), 0.8278800749288164, 0.321790538274334, 0.03190393580982901]"
1,0.4620597595590727,"['logistic', 'sgd', (100, 50), 0.7764572026228959, 0.9728652327470209, 1.854566759427729e-06]"
1,0.4832802263806146,"['logistic', 'sgd', (100, 50), 0.8372691655040434, 0.8406187605647321, 0.034341412042783875]"
1,0.5116770193024287,"['logistic', 'sgd', (100, 50), 0.8063847853332424, 0.7821745730104123, 1.7225626682537616e-07]"
1,0.4709695788610277,"['logistic', 'sgd', (100, 50), 0.9264164715777771, 0.99, 0.07257611919888196]"
1,0.44305040036805776,"['logistic', 'sgd', (100, 50), 0.616528500227127, 0.99, 0.0011711448351452412]"
2,0.5426872844432551,"['logistic', 'lbfgs', (100, 50), 0.1, 0.1, 0.1]"
2,0.8071620762386326,"['tanh', 'sgd', (50, 20), 0.27994703724647485, 0.3305832367140029, 1.0258187444071775e-05]"
2,0.6438521396527157,"['relu', 'sgd', (100, 50), 0.8023485778779839, 0.2025041152699079, 0.00076144948164559]"
2,0.6129458678754295,"['relu', 'lbfgs', (50, 20, 5), 0.3958421763597082, 0.5351902874509149, 0.00013039927028713917]"
2,0.730683280295739,"['relu', 'adam', (100, 50), 0.9049420570822295, 0.900268774545565, 2.876740805845924e-06]"
2,0.7002971470657106,"['relu', 'sgd', (100, 50, 20), 0.2309101544751261, 0.22384396928861738, 4.663869560359387e-08]"
2,0.793487033087034,"['relu', 'adam', (50, 20), 0.1627854147788907, 0.19872222060376715, 5.596600344390506e-07]"
2,0.7442370163959665,"['tanh', 'lbfgs', (50, 20), 0.5180159381411309, 0.764051385125074, 0.00238957788036442]"
2,0.7254885697634031,"['tanh', 'sgd', (100, 50, 20), 0.791123594620654, 0.7702551467133686, 2.1431825205966794e-06]"
2,0.49600086577022184,"['relu', 'adam', (100, 50, 20), 0.9560979834879891, 0.7879446640828155, 0.0002627297783142937]"
2,0.5638131581943961,"['logistic', 'adam', (100, 50, 20), 0.7146384887367423, 0.6559271072427039, 2.0499083245486582e-05]"
2,0.5111771369399549,"['relu', 'lbfgs', (100, 50, 20), 0.8561477799150073, 0.99, 0.1]"
2,0.7887459918427754,"['logistic', 'adam', (100, 50), 0.99, 0.1, 0.002823341883876684]"
2,0.6048997820542954,"['relu', 'sgd', (100, 50), 0.40879813843208945, 0.8665695371542554, 4.708843683782659e-07]"
2,0.9833457721221801,"['logistic', 'sgd', (100, 100, 50), 0.1, 0.8948760414644014, 6.564297855994692e-07]"
2,0.8412936051441782,"['tanh', 'sgd', (50, 20, 5), 0.99, 0.7750353514561473, 2.4548341460784863e-08]"
2,0.4912737842500481,"['relu', 'adam', (100, 50, 20), 0.99, 0.4200810197660422, 0.013868436664638297]"
2,0.8351971479040183,"['logistic', 'adam', (100, 100, 50), 0.99, 0.31824524048912245, 3.1706112783652293e-07]"
2,0.5964392511286181,"['relu', 'lbfgs', (100, 50), 0.1, 0.99, 1e-08]"
2,0.5971383781038219,"['relu', 'lbfgs', (100, 50, 20), 0.99, 0.1, 0.1]"
2,0.4706752406682373,"['logistic', 'lbfgs', (100, 50, 20), 0.5628924783511212, 0.99, 1.0269287574086219e-07]"
2,0.6421514648960767,"['logistic', 'lbfgs', (100, 100, 50), 0.1307069491122074, 0.1, 3.847154840685553e-07]"
2,0.7150217413256001,"['tanh', 'lbfgs', (100, 50, 20), 0.5997269148485023, 0.99, 1.0904669578761833e-08]"
2,0.5524557618961928,"['logistic', 'lbfgs', (100, 50), 0.6619764215354023, 0.1, 0.008675646471974581]"
2,0.5783077594350525,"['logistic', 'lbfgs', (100, 50), 0.1, 0.1, 0.1]"
2,0.5359638164210581,"['logistic', 'lbfgs', (100, 50), 0.9407356305644006, 0.1, 0.004706183408253655]"
2,0.5237677069628021,"['logistic', 'lbfgs', (100, 50), 0.99, 0.1, 1.699058895836642e-08]"
2,0.5304781615160428,"['logistic', 'lbfgs', (100, 50), 0.99, 0.1, 1e-08]"
2,0.5359896819628884,"['logistic', 'lbfgs', (100, 50), 0.99, 0.1, 1e-08]"
2,0.49759725213862355,"['logistic', 'lbfgs', (100, 50), 0.99, 0.1, 1e-08]"
2,0.5457962110577566,"['logistic', 'lbfgs', (100, 50), 0.99, 0.1, 1e-08]"
2,0.608325266704052,"['logistic', 'lbfgs', (100, 50), 0.99, 0.1, 1e-08]"
2,0.5132663400072465,"['logistic', 'lbfgs', (100, 50), 0.99, 0.1, 1e-08]"
2,0.6020281180545315,"['logistic', 'lbfgs', (100, 50), 0.99, 0.1, 4.125065149240115e-08]"
2,0.5660918526156239,"['logistic', 'lbfgs', (100, 50), 0.46068646081612996, 0.1, 2.985007719321318e-08]"
2,0.5729928053033679,"['logistic', 'lbfgs', (100, 50), 0.99, 0.1, 0.03407528656856106]"
2,0.7119956324961911,"['tanh', 'lbfgs', (100, 50), 0.7583058619815511, 0.1, 1.872547626956954e-08]"
2,0.5871906583945323,"['logistic', 'lbfgs', (100, 100, 50), 0.1343387518784463, 0.1, 8.922084349606523e-07]"
2,0.5826909017301318,"['tanh', 'lbfgs', (100, 100, 50), 0.8955192101171932, 0.1, 6.426835052864647e-08]"
2,0.5546121892688757,"['tanh', 'adam', (100, 100, 50), 0.9596112631342983, 0.1, 0.0003817839095158282]"
2,0.7728490260372171,"['tanh', 'sgd', (100, 100, 50), 0.42234214840821116, 0.99, 0.016173109977896942]"
2,0.7135579912977016,"['tanh', 'adam', (100, 100, 50), 0.24107459064193823, 0.1, 1.0879047420636448e-06]"
2,0.5497564908948113,"['logistic', 'lbfgs', (100, 50, 20), 0.1, 0.99, 1.832061668230697e-08]"
2,0.7301039368731747,"['tanh', 'adam', (100, 50, 20), 0.99, 0.99, 8.803948180475733e-05]"
2,0.58456299290007,"['logistic', 'lbfgs', (100, 50, 20), 0.99, 0.99, 3.7337704379507505e-08]"
2,0.7205729524116463,"['tanh', 'lbfgs', (100, 100, 50), 0.1, 0.99, 0.000434832773765907]"
2,0.5476755629465868,"['logistic', 'adam', (100, 50), 0.99, 0.99, 9.14898860393298e-06]"
2,0.5881636738200502,"['logistic', 'lbfgs', (100, 50), 0.99, 0.99, 1.3484945632569985e-05]"
2,0.48688207982520676,"['relu', 'adam', (100, 50, 20), 0.99, 0.99, 3.924388525235693e-07]"
2,0.8352714393336867,"['relu', 'adam', (100, 50, 20), 0.22533418170099295, 0.99, 0.028420322617304462]"
2,0.9770928528911729,"['logistic', 'sgd', (100, 50, 20), 0.99, 0.99, 1.0224531981691123e-07]"
