Fold,MAE (kcal/mol),Hyperparameters
1,0.84568013023666,"['logistic', 'lbfgs', (100, 50), 0.1, 0.1, 0.1]"
1,0.6566626288410482,"['logistic', 'adam', (100, 50), 0.8881225731080242, 0.9201734296320507, 0.007825151400862268]"
1,0.7379660206945006,"['relu', 'lbfgs', (100, 100, 50), 0.17255081949218143, 0.607552100561165, 0.05651496638331195]"
1,0.7423748441710392,"['tanh', 'sgd', (100, 100, 50), 0.3204008587184778, 0.39899539781990556, 0.0032201365423043357]"
1,0.6746654315518062,"['relu', 'adam', (100, 100, 50), 0.7856117231844477, 0.6483496217266802, 5.965102844447341e-06]"
1,0.6341391249381509,"['logistic', 'adam', (100, 50), 0.5123040154371847, 0.6918164409304257, 0.0013066715178680086]"
1,0.6919630465331985,"['tanh', 'sgd', (100, 50), 0.1550550706944502, 0.5570822355929549, 0.08902938611465455]"
1,0.6400176859170617,"['relu', 'adam', (100, 100, 50), 0.22541189577341142, 0.24821878414120507, 4.717335023389798e-06]"
1,0.8573976078350364,"['relu', 'lbfgs', (50, 20), 0.5179759886528721, 0.684016239934604, 2.8626995911509046e-08]"
1,0.7512928442704758,"['relu', 'adam', (50, 20, 5), 0.5567478074809272, 0.7029660581417815, 1.0508341836695762e-05]"
1,0.8978759606582869,"['tanh', 'sgd', (50, 20), 0.7516221203344984, 0.5611207841948322, 0.006419224288458809]"
1,0.6509299191300975,"['logistic', 'adam', (100, 100, 50), 0.1, 0.1, 1e-08]"
1,0.7607709775299687,"['tanh', 'adam', (100, 50), 0.1, 0.99, 0.1]"
1,0.8774520824911213,"['relu', 'adam', (100, 50), 0.26120831387710075, 0.26922590829890425, 0.1]"
1,0.867974797804267,"['logistic', 'adam', (50, 20, 5), 0.12043064037723221, 0.1, 1e-08]"
1,0.595440938476686,"['logistic', 'sgd', (100, 50), 0.8881366634086141, 0.1, 0.0044420605578757355]"
1,0.6690837628152686,"['tanh', 'lbfgs', (100, 100, 50), 0.23042565794649766, 0.6189387855097493, 3.9205511095563585e-05]"
1,0.6162812507821923,"['relu', 'lbfgs', (100, 50), 0.32664616860171547, 0.30781581389691376, 7.160233177070661e-08]"
1,0.6259736426432085,"['logistic', 'sgd', (100, 50), 0.99, 0.9252429765419697, 5.131995064946842e-06]"
1,0.6454082296544306,"['relu', 'lbfgs', (100, 50), 0.7994928830572688, 0.99, 0.1]"
1,0.5967661667143482,"['logistic', 'sgd', (100, 50), 0.1, 0.1, 0.009170871101955701]"
1,0.7993056600910274,"['tanh', 'lbfgs', (100, 50, 20), 0.4929587953000172, 0.6120191401318142, 4.222439079538167e-05]"
1,0.7597888185131249,"['relu', 'lbfgs', (100, 50, 20), 0.4387467874177362, 0.7058875814846316, 0.017455470420705974]"
1,0.7582097902256388,"['tanh', 'lbfgs', (100, 50), 0.2179793417076007, 0.1, 1.8906852743143656e-08]"
1,0.7006920010026256,"['relu', 'adam', (50, 20), 0.6966188182529595, 0.6967946300058976, 0.00030427286562574536]"
1,0.7339499554348131,"['relu', 'lbfgs', (50, 20, 5), 0.7058563344017373, 0.10573009283156384, 0.0235954607638467]"
1,0.732629732067979,"['logistic', 'lbfgs', (50, 20), 0.8412918254139301, 0.112868487017285, 1.7392303749611518e-05]"
1,0.7157652838762851,"['tanh', 'adam', (100, 100, 50), 0.11821722664929266, 0.1, 0.03963120122256416]"
1,0.7123506103629104,"['logistic', 'lbfgs', (50, 20, 5), 0.7853866920812487, 0.9052656112562869, 0.0007785950332561698]"
1,0.9611940327703403,"['logistic', 'sgd', (100, 50, 20), 0.5235978678708655, 0.10314183027451759, 0.00019063618241842194]"
1,0.598891576787734,"['logistic', 'sgd', (100, 50), 0.9571032734854076, 0.1, 1e-08]"
1,0.9055156748705663,"['logistic', 'lbfgs', (100, 100, 50), 0.7294127333752024, 0.1, 3.47066148032078e-07]"
1,0.9612698726810259,"['logistic', 'sgd', (100, 100, 50), 0.8481812102772569, 0.99, 0.0016876302540545498]"
1,0.602730588413613,"['relu', 'adam', (100, 50, 20), 0.13327625960751377, 0.1, 0.0014058272446161367]"
1,0.5439643060284964,"['relu', 'sgd', (100, 50), 0.1, 0.1, 4.528853121267949e-05]"
1,0.635178444136333,"['relu', 'sgd', (100, 50), 0.1, 0.1, 0.010927255567511887]"
1,0.656972384604334,"['relu', 'sgd', (100, 50), 0.11816397115370597, 0.15818511443006386, 3.58007783726341e-08]"
1,0.5950091120095007,"['relu', 'adam', (100, 50, 20), 0.16665757159402644, 0.18815991504177182, 0.00029045691124683095]"
1,0.594443951216468,"['relu', 'adam', (100, 50, 20), 0.11132689776811333, 0.18273554899959465, 1.0210788838317569e-08]"
1,0.556059691399658,"['relu', 'adam', (100, 50, 20), 0.1258736777838843, 0.22262892986133243, 1.1090270984918003e-05]"
1,0.5297986102013276,"['relu', 'adam', (100, 50, 20), 0.1, 0.10725741093032218, 1.3581565719052515e-06]"
1,0.5662898981483893,"['relu', 'adam', (100, 50, 20), 0.1531459742351718, 0.18280225314287768, 4.167683933944099e-08]"
1,0.7777820132396247,"['relu', 'sgd', (100, 50), 0.3348235101540572, 0.1, 2.794370225070409e-05]"
1,0.9858595264725495,"['relu', 'lbfgs', (100, 50), 0.5211978730175483, 0.9009016752113752, 0.0005281015440771713]"
1,0.7759562048067373,"['tanh', 'lbfgs', (100, 50), 0.9334223593722404, 0.3083524528860927, 0.03781509405667295]"
1,0.620419009538942,"['logistic', 'adam', (100, 50), 0.6758550862398044, 0.7111232033571332, 0.08337945702021812]"
1,0.8257476359198818,"['logistic', 'adam', (50, 20), 0.3614725099805317, 0.3274557294444902, 1.4592879983192722e-08]"
1,0.651440065272793,"['tanh', 'sgd', (100, 50), 0.7706367741070024, 0.6983772363262, 2.870222653880881e-07]"
1,1.0112751386036807,"['tanh', 'sgd', (50, 20, 5), 0.99, 0.44458356643082997, 1.122677552326619e-06]"
1,0.6958115067575418,"['relu', 'sgd', (100, 50, 20), 0.1, 0.5151854706861166, 0.004577833322319901]"
2,1.119050995307747,"['logistic', 'lbfgs', (100, 50), 0.1, 0.1, 0.1]"
2,0.7576099737305602,"['relu', 'sgd', (100, 100, 50), 0.18897621392504596, 0.5264726616693077, 9.745316826210294e-07]"
2,0.5774610837863715,"['tanh', 'adam', (100, 100, 50), 0.9880272286987994, 0.10710178413108162, 1.395502014482716e-07]"
2,0.9063357605041084,"['tanh', 'sgd', (50, 20, 5), 0.9801105748194685, 0.987343673969832, 8.141926674085724e-05]"
2,0.9754605201432757,"['logistic', 'lbfgs', (50, 20, 5), 0.10897452131315484, 0.7080827363457742, 2.3828184642390915e-05]"
2,0.9704616330456056,"['tanh', 'sgd', (50, 20, 5), 0.946363201498389, 0.7263137906296908, 3.911986325781345e-06]"
2,0.779012646071133,"['logistic', 'adam', (100, 50, 20), 0.8060991758744979, 0.28084696935911546, 2.020344832898817e-05]"
2,0.6204587508679921,"['relu', 'sgd', (100, 50, 20), 0.5310285272325721, 0.3306611713277494, 1.5711734225102606e-08]"
2,0.8714585815780903,"['logistic', 'lbfgs', (50, 20), 0.5893037085014318, 0.11546524855465776, 1.403694603910428e-05]"
