Fold,MAE (kcal/mol),Hyperparameters
1,1.0981548742117078,"['logistic', 'lbfgs', (100, 50), 0.1, 0.1, 0.1]"
1,1.1091705736089907,"['logistic', 'lbfgs', (100, 50), 0.2783123786643019, 0.3130669525305445, 1.0137499919516986e-06]"
1,1.3401447498737642,"['tanh', 'lbfgs', (50, 20), 0.11117743403378008, 0.7278252301222848, 0.000578134727537148]"
1,1.3038921752849888,"['relu', 'lbfgs', (100, 50), 0.3092119455753149, 0.462077537348456, 6.145895697460984e-08]"
1,1.3010120593906025,"['relu', 'lbfgs', (50, 20), 0.21958189965049585, 0.7627469944855794, 0.00044306178531986927]"
1,1.275297822267139,"['tanh', 'lbfgs', (100, 100, 50), 0.8569541575221475, 0.500139805664874, 6.818312415441966e-08]"
1,1.3595943493794254,"['relu', 'sgd', (50, 20), 0.8815658078679274, 0.10215744108835283, 0.004834058488017708]"
1,1.2201666837786078,"['relu', 'sgd', (100, 50, 20), 0.5431379909750443, 0.7286225614148037, 2.543699813656033e-06]"
1,1.1847352346372806,"['relu', 'adam', (50, 20, 5), 0.9324086562613165, 0.6211855856087608, 4.021765386084114e-07]"
1,0.9864185501666194,"['relu', 'lbfgs', (100, 50, 20), 0.8615347353803455, 0.49388048829698483, 9.653806896500781e-06]"
1,1.1119187484545823,"['relu', 'lbfgs', (100, 50, 20), 0.9508938683901212, 0.6576432027113757, 0.0001938528227881972]"
1,2.6636236505501487,"['logistic', 'sgd', (100, 100, 50), 0.9158569804166864, 0.9184340282175709, 0.06264303201642779]"
1,977.016718156282,"['relu', 'adam', (100, 50, 20), 0.99, 0.1, 1e-08]"
1,1.529513163871611,"['logistic', 'sgd', (100, 100, 50), 0.9791443988478509, 0.9049956062186234, 1.7704814202577815e-08]"
1,1.2850854740669022,"['relu', 'lbfgs', (100, 50), 0.27748504333275753, 0.3127717511058105, 1.0858528608242462e-06]"
1,1.3841823542710479,"['logistic', 'sgd', (50, 20), 0.14393427812911017, 0.14765130974083984, 0.03554428814725156]"
1,1.0970019141608451,"['logistic', 'lbfgs', (100, 50, 20), 0.9514808500138817, 0.6561271074773606, 0.00017830268797105236]"
1,1.7043475874718326,"['tanh', 'sgd', (50, 20), 0.12412189555895821, 0.10569892426385984, 1.0514575105204574e-08]"
1,1.683191919084718,"['logistic', 'sgd', (100, 50, 20), 0.8455793257413806, 0.9665604066201859, 4.058009846457573e-08]"
1,1.3793386405076509,"['logistic', 'sgd', (100, 100, 50), 0.11452763204964632, 0.16716234091270923, 0.04900790353613852]"
1,1.4406713286217079,"['logistic', 'sgd', (50, 20), 0.11918239047284088, 0.16407401020020124, 0.04657827468226646]"
1,1.2757090633501902,"['relu', 'sgd', (100, 50, 20), 0.1, 0.1, 1e-08]"
1,1.3589869612104237,"['tanh', 'sgd', (100, 50), 0.1183918851828239, 0.16960217097745697, 0.0450705473823307]"
1,1.4432987580281214,"['tanh', 'sgd', (100, 50), 0.9801812064533564, 0.9398643073480104, 9.844770882735318e-08]"
1,1.6017482718419631,"['tanh', 'sgd', (100, 50), 0.99, 0.99, 1e-08]"
1,1.4051655126790152,"['tanh', 'sgd', (100, 50), 0.11402577973152994, 0.1647427165569097, 0.04328346999915905]"
1,1.7333124306547256,"['tanh', 'sgd', (50, 20), 0.9899999981573809, 0.9899999982501749, 1e-08]"
1,1.4703600546707847,"['logistic', 'sgd', (100, 100, 50), 0.7320661968271512, 0.1, 1e-08]"
1,1.1904016819631216,"['relu', 'lbfgs', (100, 50), 0.989999983873105, 0.9899999667178642, 1e-08]"
1,1.6096120834994927,"['tanh', 'sgd', (100, 50), 0.99, 0.99, 0.1]"
1,1.4641926712474749,"['relu', 'lbfgs', (50, 20), 0.1, 0.99, 0.1]"
1,1.4854955117858288,"['logistic', 'sgd', (50, 20), 0.1, 0.9899999564812637, 1e-08]"
1,1.4863355750888512,"['tanh', 'sgd', (100, 100, 50), 0.1, 0.1, 0.0999999998246812]"
1,1.4630740002380531,"['logistic', 'sgd', (100, 50), 0.1, 0.9899999988238444, 1e-08]"
1,1.3248755616004462,"['relu', 'sgd', (100, 50), 0.9899999994932607, 0.1, 0.09999999903080282]"
1,1.1169671368645813,"['relu', 'lbfgs', (100, 100, 50), 0.9899999998352107, 0.1, 1e-08]"
1,1.3429980237163723,"['tanh', 'lbfgs', (100, 100, 50), 0.8570189524145831, 0.4959383706122753, 7.911635171720864e-08]"
1,1.1780888149848712,"['relu', 'lbfgs', (100, 100, 50), 0.1, 0.1, 0.1]"
1,1.383923163484862,"['tanh', 'lbfgs', (100, 50, 20), 0.1, 0.1, 0.1]"
1,1.2989162988317042,"['tanh', 'lbfgs', (100, 50, 20), 0.99, 0.99, 0.1]"
1,1.2742386113598552,"['tanh', 'lbfgs', (100, 50, 20), 0.1, 0.99, 1e-08]"
1,1.3845571385166406,"['logistic', 'sgd', (100, 50), 0.9899999993859525, 0.1, 0.1]"
1,1.1804314448176978,"['relu', 'lbfgs', (50, 20), 0.99, 0.1, 0.1]"
1,1.3436005625226224,"['relu', 'lbfgs', (100, 50), 0.99, 0.1, 1e-08]"
1,1.426697669301754,"['relu', 'lbfgs', (50, 20), 0.99, 0.9899999996734016, 1.00000000332575e-08]"
1,1.7134639692566327,"['logistic', 'adam', (50, 20, 5), 0.15103108678813795, 0.11029526818312063, 0.020561515094014]"
1,1.209428938388314,"['relu', 'adam', (50, 20, 5), 0.9636045292054065, 0.9888787252876405, 1.6211882193165138e-08]"
1,1.3759092954476375,"['tanh', 'lbfgs', (100, 100, 50), 0.8492935788359431, 0.4915503967146396, 6.893208500733379e-08]"
1,1.1481510560588328,"['relu', 'lbfgs', (100, 50, 20), 0.1, 0.1, 1e-08]"
1,1.1271850935828849,"['logistic', 'lbfgs', (100, 50, 20), 0.15787650796920114, 0.22498835764023195, 4.8411850664216875e-08]"
1,1.432066204407572,"['logistic', 'adam', (100, 100, 50), 0.2872365008655664, 0.4014594107434103, 0.0685550502381531]"
1,1.1942245758176928,"['relu', 'adam', (100, 100, 50), 0.36375807554585027, 0.7721655496369628, 6.9651777552189e-08]"
1,1.3908873488188422,"['relu', 'lbfgs', (50, 20, 5), 0.4522136785046662, 0.14516584993387677, 1.0228221193074584e-08]"
1,1.6644285357460296,"['tanh', 'adam', (50, 20, 5), 0.7756250976823725, 0.6074926830287259, 3.100418863213285e-05]"
1,1.5503630169473044,"['tanh', 'sgd', (100, 50, 20), 0.1587571754907623, 0.9654775639663514, 0.0006384162889704041]"
1,1.15651446554385,"['relu', 'sgd', (100, 100, 50), 0.32121908370874747, 0.33168672793224885, 1.959880740959602e-07]"
1,1.5784040341075947,"['tanh', 'adam', (100, 100, 50), 0.3432525538348615, 0.17423661928933276, 0.002605935068206286]"
1,1.47523105120408,"['relu', 'sgd', (50, 20, 5), 0.5466736219835455, 0.3686131029322355, 1.2073357325036266e-06]"
1,1.1778097282572946,"['logistic', 'lbfgs', (50, 20), 0.5425194563432737, 0.45723143176477077, 7.47357184057156e-07]"
1,1.3176460543969246,"['relu', 'adam', (100, 50), 0.9748349665017688, 0.4970635793113293, 0.002842700598762986]"
1,1.2229998851695638,"['tanh', 'lbfgs', (50, 20, 5), 0.4662039015000221, 0.8491014598629474, 2.1631857954941604e-07]"
1,1.5877797434798668,"['logistic', 'sgd', (50, 20, 5), 0.530764883326487, 0.32331790693070595, 2.388561060181209e-06]"
1,2.075330031947458,"['tanh', 'adam', (100, 50, 20), 0.21963009791576327, 0.34841691727326074, 1.8061118649174523e-05]"
1,1.5604020684491666,"['tanh', 'adam', (100, 50), 0.6774091194122166, 0.6800099016844662, 0.013982539454706025]"
1,1.6224494527299405,"['tanh', 'adam', (100, 50, 20), 0.276633235341048, 0.43603536489449324, 5.364602729949006e-05]"
2,1.4942856548251435,"['logistic', 'lbfgs', (100, 50), 0.1, 0.1, 0.1]"
2,2.0787303313736647,"['logistic', 'sgd', (100, 100, 50), 0.11161962390011199, 0.1566442712628748, 1.2920173743755243e-05]"
2,1.9122255715784924,"['tanh', 'lbfgs', (50, 20, 5), 0.31511104563494285, 0.4537472320797318, 6.179249862145882e-08]"
2,1.863192802287772,"['logistic', 'sgd', (100, 50), 0.9732600788746564, 0.34110257158139035, 0.0020037303204836687]"
2,1.8045849259271967,"['relu', 'lbfgs', (100, 50), 0.33691373663798696, 0.3661207184926031, 0.00040389792537746016]"
2,1.9272271268554002,"['logistic', 'sgd', (50, 20), 0.3189780472037761, 0.3402368403545332, 0.0952030293919996]"
2,1.4975966752761396,"['relu', 'lbfgs', (100, 50, 20), 0.5686780944836481, 0.8397133065865137, 2.218207463691028e-06]"
2,1.7309758112875415,"['relu', 'sgd', (100, 50, 20), 0.6416772843983056, 0.3344358139499152, 8.363970181427964e-05]"
2,1.7546165730195877,"['tanh', 'sgd', (50, 20), 0.43898153127379336, 0.27964049277886116, 0.004859626354208657]"
2,1.948192193684457,"['logistic', 'sgd', (50, 20), 0.26284439425479045, 0.6620078405225264, 7.702386800598907e-07]"
2,1.6292187361442223,"['tanh', 'sgd', (100, 50), 0.6050365176974823, 0.5768853059775733, 1.9648360246521667e-06]"
2,1.4917393879154501,"['relu', 'adam', (100, 50, 20), 0.8391321455435603, 0.99, 1.0029427408075597e-06]"
2,1.7721192233870011,"['logistic', 'adam', (50, 20), 0.8774149710689588, 0.7246435674858119, 1e-08]"
2,1.2202549567815404,"['logistic', 'adam', (100, 50), 0.99, 0.99, 1e-08]"
