Fold,MAE (kcal/mol),Hyperparameters
1,4.607332154748681,"['logistic', 'lbfgs', (100, 50), 0.1, 0.1, 0.1]"
1,4.426587694560884,"['logistic', 'lbfgs', (100, 100, 50), 0.7078059447136774, 0.21260596263610146, 0.0002873036692564972]"
1,3.8441377735216764,"['tanh', 'adam', (100, 50, 20), 0.5760290379322479, 0.537920743182457, 2.311884599427309e-07]"
1,3.712356174249763,"['relu', 'lbfgs', (100, 50), 0.25098002652212315, 0.8218971712087728, 9.392800161554433e-05]"
1,4.039933320818565,"['tanh', 'lbfgs', (100, 50, 20), 0.17854099642028634, 0.3477095597133113, 0.02245911769487512]"
1,4.288718493590516,"['logistic', 'lbfgs', (100, 100, 50), 0.42328408465633893, 0.6897416135795099, 3.1659423398506926e-07]"
1,3.9792897664352687,"['tanh', 'lbfgs', (100, 50), 0.14604314119357098, 0.288787102182135, 0.000459465506055854]"
1,2.6743396913810615,"['logistic', 'sgd', (100, 50, 20), 0.10011546944759454, 0.8986674509982384, 0.00023916977108068274]"
1,3.456651145209219,"['relu', 'sgd', (100, 50, 20), 0.8247601183656895, 0.1856667418480183, 0.015879182258908567]"
1,3.540209084038192,"['relu', 'adam', (50, 20), 0.4999530014833019, 0.5409707994583082, 1.4653857212594053e-06]"
1,4.361730908904719,"['tanh', 'lbfgs', (50, 20, 5), 0.6458154187263858, 0.9670670049885939, 1.4502231567245359e-08]"
1,4.085749595463133,"['logistic', 'sgd', (50, 20), 0.99, 0.5031899464185493, 1e-08]"
1,2.669432512102994,"['logistic', 'sgd', (100, 50, 20), 0.99, 0.1, 1e-08]"
1,2.6672399604743804,"['logistic', 'sgd', (100, 50, 20), 0.1, 0.99, 7.906009764577051e-07]"
1,3.252220164826731,"['relu', 'adam', (100, 50), 0.5729592340675336, 0.8300418121932378, 1.2551218278742392e-06]"
1,2.6865765668809622,"['logistic', 'adam', (100, 100, 50), 0.9222560869683628, 0.8203507558459259, 1.0839410468447393e-08]"
1,2.762523037523272,"['logistic', 'adam', (100, 100, 50), 0.9623232988172948, 0.4717998381283931, 1e-08]"
1,2.6742307492354005,"['logistic', 'sgd', (50, 20, 5), 0.43903315120050124, 0.931790130379764, 2.9570474771570816e-07]"
1,4.078832789814146,"['logistic', 'adam', (100, 50), 0.1, 0.99, 0.1]"
1,2.671346173239437,"['logistic', 'sgd', (100, 50, 20), 0.7643020405769057, 0.99, 1e-08]"
1,2.6644041481882765,"['logistic', 'sgd', (100, 100, 50), 0.1, 0.99, 1e-08]"
1,2.6748885178757082,"['logistic', 'sgd', (100, 100, 50), 0.1, 0.99, 1e-08]"
1,2.671014626796136,"['logistic', 'sgd', (100, 50, 20), 0.1, 0.9849026298071779, 1e-08]"
1,3.5127216686142333,"['relu', 'lbfgs', (50, 20), 0.4803648113475374, 0.9899648074122657, 1.0378700212441084e-08]"
1,4.090967227226815,"['logistic', 'sgd', (100, 50), 0.16250333007207135, 0.7715509151375489, 4.078722495736008e-08]"
1,4.1160133392119285,"['logistic', 'lbfgs', (50, 20), 0.9473384937130002, 0.1, 0.0015708953868637117]"
1,3.8153330773197704,"['tanh', 'sgd', (100, 50), 0.3251222167583683, 0.1, 0.04006807583229303]"
1,3.5143792909958114,"['relu', 'lbfgs', (50, 20, 5), 0.4913512657276372, 0.1, 0.04272448528660046]"
1,3.980490841835222,"['tanh', 'lbfgs', (50, 20), 0.15307936723715448, 0.99, 0.00988889959491329]"
1,3.5684461351629264,"['relu', 'sgd', (100, 50), 0.10242982909598114, 0.1, 0.003667308698790485]"
1,4.589635473976787,"['tanh', 'adam', (50, 20), 0.7337144688724224, 0.99, 0.009512045755310025]"
1,2.670583306872175,"['logistic', 'sgd', (100, 50, 20), 0.1, 0.99, 9.450724552069199e-07]"
1,4.9502782570927915,"['logistic', 'adam', (50, 20, 5), 0.99, 0.99, 1e-08]"
1,2.668501468463142,"['logistic', 'sgd', (50, 20, 5), 0.10000001467427802, 0.10000796339781058, 5.478357806125417e-08]"
1,2.6731644819148404,"['logistic', 'sgd', (100, 50, 20), 0.1, 0.9122703717605325, 1e-08]"
1,2.670918737335266,"['logistic', 'sgd', (100, 100, 50), 0.1796823570358243, 0.99, 1.0306932859344699e-05]"
1,3.8744493604333385,"['tanh', 'sgd', (100, 100, 50), 0.1, 0.9746463284268779, 1e-08]"
1,2.668663328212566,"['logistic', 'sgd', (100, 100, 50), 0.2948132924799942, 0.99, 1e-08]"
1,2.6648660508364017,"['logistic', 'sgd', (100, 100, 50), 0.99, 0.99, 1e-08]"
1,2.672468184946169,"['logistic', 'sgd', (100, 100, 50), 0.99, 0.99, 1e-08]"
1,2.66936934654537,"['logistic', 'sgd', (100, 50, 20), 0.1, 0.99, 1e-08]"
1,2.671337441777992,"['logistic', 'sgd', (100, 100, 50), 0.1, 0.99, 0.0009120587939709849]"
1,3.864771230984905,"['tanh', 'adam', (100, 100, 50), 0.34691304739775936, 0.99, 2.715041942239379e-07]"
1,2.6736866936682118,"['logistic', 'sgd', (100, 50, 20), 0.1, 0.99, 1e-08]"
1,2.668931226274032,"['logistic', 'sgd', (100, 50, 20), 0.1, 0.99, 1e-08]"
1,2.675993135407902,"['logistic', 'sgd', (100, 50, 20), 0.15046523801246695, 0.99, 1e-08]"
1,2.673367930559185,"['logistic', 'sgd', (100, 100, 50), 0.5873484620675545, 0.99, 1e-08]"
1,2.670185106636045,"['logistic', 'sgd', (100, 50, 20), 0.1, 0.99, 1e-08]"
1,2.6760688638348498,"['logistic', 'sgd', (100, 50, 20), 0.1, 0.99, 1e-08]"
1,2.6726025556412183,"['logistic', 'sgd', (100, 50, 20), 0.421685968951635, 0.99, 0.1]"
1,2.6721283893027747,"['logistic', 'sgd', (100, 50, 20), 0.23031790020726053, 0.99, 1e-08]"
1,2.6666449251765436,"['logistic', 'sgd', (100, 100, 50), 0.6583650752999015, 0.99, 2.2179908405301776e-08]"
1,2.6733296866161087,"['logistic', 'sgd', (100, 50, 20), 0.5843470720072566, 0.99, 1e-08]"
1,2.6739597367228765,"['logistic', 'sgd', (100, 50, 20), 0.1, 0.99, 1e-08]"
1,3.44983502125311,"['relu', 'sgd', (50, 20, 5), 0.15226790399704979, 0.1, 4.81759537499229e-06]"
1,2.671482792142949,"['logistic', 'sgd', (100, 50, 20), 0.2167552321563747, 0.99, 1e-08]"
1,2.669996916481282,"['logistic', 'sgd', (100, 100, 50), 0.21174144034594197, 0.8063154054275491, 1e-08]"
1,3.6348706110998896,"['relu', 'sgd', (50, 20), 0.1, 0.1, 1e-08]"
1,2.669715122008793,"['logistic', 'sgd', (100, 50, 20), 0.1, 0.8761115065166156, 1e-08]"
1,2.672773434060877,"['logistic', 'sgd', (100, 100, 50), 0.574984909950752, 0.99, 2.5087362263843846e-07]"
