Fold,MAE (kcal/mol),Hyperparameters
1,1.1553392876206856,"['squared_loss', 5, 0.0001]"
1,1.1553392876206856,"['squared_loss', 47, 0.004333938223381022]"
1,1.1553392876206856,"['squared_epsilon_insensitive', 94, 0.08554016179805983]"
1,1.1553392876206856,"['squared_epsilon_insensitive', 92, 0.008869955420921043]"
1,1.1553392876206856,"['squared_epsilon_insensitive', 12, 0.008807628830970854]"
1,1.1553392876206856,"['epsilon_insensitive', 64, 0.035441414005242144]"
1,1.1553392876206856,"['squared_epsilon_insensitive', 76, 0.0022275628231271357]"
1,1.1553392876206856,"['epsilon_insensitive', 73, 0.0038841579123913596]"
1,1.1553392876206856,"['epsilon_insensitive', 57, 0.06567140388827168]"
1,1.1553392876206856,"['epsilon_insensitive', 75, 0.09513027964060576]"
1,1.1553392876206856,"['epsilon_insensitive', 60, 0.02273988245362882]"
1,1.1553392876206856,"['huber', 7, 0.0990174740113146]"
1,1.1553392876206856,"['huber', 100, 0.09696378022606544]"
1,1.1553392876206856,"['squared_loss', 5, 0.09863413256187231]"
1,1.1553392876206856,"['huber', 100, 0.0017218804769982897]"
1,1.1553392876206856,"['squared_loss', 100, 0.09960931369467763]"
1,1.1553392876206856,"['huber', 6, 0.003260708553899761]"
1,1.1553392876206856,"['squared_epsilon_insensitive', 6, 0.09995890802377105]"
1,1.1553392876206856,"['squared_loss', 100, 0.09863714408823665]"
1,1.1553392876206856,"['huber', 6, 0.09806001437055219]"
1,1.1553392876206856,"['epsilon_insensitive', 6, 0.09971782106172562]"
1,1.1553392876206856,"['huber', 99, 0.001290301260680132]"
1,1.1553392876206856,"['squared_loss', 5, 0.0009220155210990748]"
1,1.1553392876206856,"['squared_epsilon_insensitive', 7, 0.09983790203808682]"
1,1.1553392876206856,"['squared_loss', 99, 0.0994120161485371]"
1,1.1553392876206856,"['epsilon_insensitive', 6, 0.0016314225715141281]"
1,1.1553392876206856,"['squared_epsilon_insensitive', 98, 0.0015135111462846135]"
1,1.1553392876206856,"['huber', 5, 0.09983076249790881]"
1,1.1553392876206856,"['huber', 98, 0.0017073085869729592]"
1,1.1553392876206856,"['epsilon_insensitive', 100, 0.09925907015905708]"
1,1.1553392876206856,"['squared_loss', 6, 0.0009792569540270977]"
1,1.1553392876206856,"['squared_epsilon_insensitive', 5, 0.09805075948342222]"
1,1.1553392876206856,"['epsilon_insensitive', 5, 0.00023623808523898622]"
1,1.1553392876206856,"['squared_loss', 100, 0.09747645117765649]"
1,1.1553392876206856,"['squared_epsilon_insensitive', 100, 0.0011486966634519453]"
1,1.1553392876206856,"['huber', 99, 0.09929272245217205]"
1,1.1553392876206856,"['huber', 5, 0.003366050332242626]"
1,1.1553392876206856,"['squared_loss', 100, 0.0021515538040584236]"
1,1.1553392876206856,"['squared_epsilon_insensitive', 5, 0.09927828265459077]"
1,1.1553392876206856,"['epsilon_insensitive', 100, 0.09950546226566563]"
1,1.1553392876206856,"['squared_epsilon_insensitive', 100, 0.0005110826571825572]"
1,1.1553392876206856,"['squared_loss', 6, 0.09956181598031487]"
1,1.1553392876206856,"['epsilon_insensitive', 6, 0.0005262718111088324]"
1,1.1553392876206856,"['huber', 5, 0.0006237091502139081]"
1,1.1553392876206856,"['squared_epsilon_insensitive', 5, 0.0998395053912963]"
1,1.1553392876206856,"['huber', 100, 0.09780783376465042]"
1,1.1553392876206856,"['squared_loss', 99, 0.00011203444796185182]"
1,1.1553392876206856,"['epsilon_insensitive', 99, 0.0991258772605684]"
1,1.1553392876206856,"['squared_loss', 7, 0.0002372746388629738]"
1,1.1553392876206856,"['squared_epsilon_insensitive', 98, 0.00026105581409678586]"
1,1.1553392876206856,"['epsilon_insensitive', 100, 0.0005694573687640863]"
1,1.1553392876206856,"['huber', 5, 0.09926815670723409]"
1,1.1553392876206856,"['huber', 100, 0.0005276162309545146]"
1,1.1553392876206856,"['squared_loss', 100, 0.09900078630851578]"
1,1.1553392876206856,"['epsilon_insensitive', 5, 0.0994697428671274]"
1,1.1553392876206856,"['squared_epsilon_insensitive', 5, 0.000129381484247303]"
1,1.1553392876206856,"['squared_epsilon_insensitive', 99, 0.09978264753174991]"
1,1.1553392876206856,"['squared_loss', 6, 0.0027874877042846228]"
1,1.1553392876206856,"['epsilon_insensitive', 5, 0.0015708501562930212]"
1,1.1553392876206856,"['huber', 6, 0.09853940159568121]"
1,1.1553392876206856,"['huber', 99, 0.00022099474177697816]"
1,1.1553392876206856,"['epsilon_insensitive', 99, 0.09825855654028941]"
1,1.1553392876206856,"['squared_epsilon_insensitive', 6, 0.09986867746452538]"
1,1.1553392876206856,"['squared_loss', 99, 0.09770127347327125]"
1,1.1553392876206856,"['squared_loss', 6, 0.000704569068464001]"
2,0.8847095925759987,"['squared_loss', 5, 0.0001]"
2,0.8847095925759987,"['epsilon_insensitive', 33, 0.019537368170565783]"
2,0.8847095925759987,"['epsilon_insensitive', 96, 0.09692360913366027]"
2,0.8847095925759987,"['epsilon_insensitive', 75, 0.02476139784525185]"
2,0.8847095925759987,"['squared_epsilon_insensitive', 87, 0.007379542770978681]"
2,0.8847095925759987,"['epsilon_insensitive', 55, 0.09961761690343687]"
2,0.8847095925759987,"['huber', 43, 0.05977557911964689]"
2,0.8847095925759987,"['epsilon_insensitive', 14, 0.015098207770352028]"
2,0.8847095925759987,"['squared_epsilon_insensitive', 34, 0.07849486994746767]"
2,0.8847095925759987,"['huber', 87, 0.04966357802947718]"
2,0.8847095925759987,"['squared_epsilon_insensitive', 17, 0.02681451521308494]"
2,0.8847095925759987,"['squared_loss', 99, 0.09769165036665825]"
2,0.8847095925759987,"['huber', 5, 0.09856288843188776]"
2,0.8847095925759987,"['squared_loss', 99, 0.000526053461809816]"
2,0.8847095925759987,"['squared_loss', 5, 0.09908719477722518]"
2,0.8847095925759987,"['huber', 100, 0.002528466927916454]"
2,0.8847095925759987,"['squared_epsilon_insensitive', 97, 0.09987794018602834]"
2,0.8847095925759987,"['squared_epsilon_insensitive', 5, 0.00040821367073394765]"
2,0.8847095925759987,"['huber', 6, 0.09844971099553482]"
2,0.8847095925759987,"['squared_loss', 100, 0.0005992319783759962]"
2,0.8847095925759987,"['squared_loss', 6, 0.0998684714922621]"
2,0.8847095925759987,"['squared_epsilon_insensitive', 100, 0.09955686960345742]"
2,0.8847095925759987,"['huber', 5, 0.0003430767772224018]"
2,0.8847095925759987,"['epsilon_insensitive', 5, 0.0016481429506289217]"
2,0.8847095925759987,"['epsilon_insensitive', 100, 0.09954936769606049]"
2,0.8847095925759987,"['huber', 99, 0.0005791145519944867]"
2,0.8847095925759987,"['squared_epsilon_insensitive', 7, 0.09983240192247547]"
2,0.8847095925759987,"['squared_loss', 100, 0.09977165511930128]"
2,0.8847095925759987,"['squared_epsilon_insensitive', 98, 0.0002585979229029122]"
2,0.8847095925759987,"['squared_loss', 7, 0.001112389643200639]"
2,0.8847095925759987,"['huber', 99, 0.09869395916392834]"
2,0.8847095925759987,"['epsilon_insensitive', 7, 0.09901754234913723]"
2,0.8847095925759987,"['epsilon_insensitive', 99, 0.002745015413972828]"
2,0.8847095925759987,"['squared_epsilon_insensitive', 5, 0.0012901140950157825]"
2,0.8847095925759987,"['huber', 6, 0.09871344139455696]"
2,0.8847095925759987,"['squared_loss', 99, 0.0005034015726511029]"
2,0.8847095925759987,"['squared_loss', 5, 0.09930016966116618]"
2,0.8847095925759987,"['squared_epsilon_insensitive', 100, 0.09741594802558426]"
2,0.8847095925759987,"['huber', 99, 0.0003431904109306338]"
2,0.8847095925759987,"['epsilon_insensitive', 5, 0.002119255385189849]"
2,0.8847095925759987,"['huber', 5, 0.000415417342287804]"
2,0.8847095925759987,"['epsilon_insensitive', 100, 0.09844931848312177]"
2,0.8847095925759987,"['squared_loss', 100, 0.00047906647086920614]"
2,0.8847095925759987,"['squared_epsilon_insensitive', 6, 0.09985029092905809]"
2,0.8847095925759987,"['squared_loss', 6, 0.09927565793604334]"
2,0.8847095925759987,"['huber', 99, 0.09936279218572854]"
2,0.8847095925759987,"['squared_epsilon_insensitive', 6, 0.0013135317908624584]"
2,0.8847095925759987,"['epsilon_insensitive', 100, 0.09945504488958856]"
2,0.8847095925759987,"['squared_epsilon_insensitive', 98, 0.000356148449958406]"
2,0.8847095925759987,"['epsilon_insensitive', 5, 0.003803339809295468]"
2,0.8847095925759987,"['squared_loss', 5, 0.09950860306884766]"
2,0.8847095925759987,"['huber', 100, 0.0007659755560657587]"
2,0.8847095925759987,"['squared_loss', 100, 0.0009475376741995608]"
2,0.8847095925759987,"['huber', 5, 0.09848707356825309]"
2,0.8847095925759987,"['squared_epsilon_insensitive', 97, 0.0997943715904062]"
2,0.8847095925759987,"['epsilon_insensitive', 7, 0.002924916939405661]"
2,0.8847095925759987,"['epsilon_insensitive', 99, 0.09866717495151169]"
2,0.8847095925759987,"['squared_epsilon_insensitive', 5, 0.00206943148220591]"
2,0.8847095925759987,"['huber', 5, 0.0023920897069056187]"
2,0.8847095925759987,"['squared_loss', 100, 0.09969491959207541]"
2,0.8847095925759987,"['huber', 6, 0.09984889752418659]"
2,0.8847095925759987,"['squared_loss', 5, 0.0026285416941974732]"
2,0.8847095925759987,"['epsilon_insensitive', 99, 0.00043025913672312105]"
2,0.8847095925759987,"['squared_epsilon_insensitive', 100, 0.00036432443124679166]"
2,0.8847095925759987,"['epsilon_insensitive', 5, 0.09933487251866227]"
3,1.0006264623075212,"['squared_loss', 5, 0.0001]"
3,1.0006264623075212,"['squared_epsilon_insensitive', 68, 0.02634580932350636]"
3,1.0006264623075212,"['squared_epsilon_insensitive', 13, 0.03252422773940123]"
3,1.0006264623075212,"['epsilon_insensitive', 22, 0.09838574100444682]"
3,1.0006264623075212,"['huber', 21, 0.016532124673937124]"
3,1.0006264623075212,"['huber', 17, 0.028585346994548507]"
3,1.0006264623075212,"['huber', 43, 0.016486935491352175]"
3,1.0006264623075212,"['epsilon_insensitive', 53, 0.0470200411977453]"
3,1.0006264623075212,"['squared_epsilon_insensitive', 94, 0.04532311887080085]"
3,1.0006264623075212,"['huber', 56, 0.09473315153473245]"
3,1.0006264623075212,"['squared_epsilon_insensitive', 61, 0.03804918115269196]"
3,1.0006264623075212,"['squared_loss', 100, 0.09909861149253382]"
3,1.0006264623075212,"['epsilon_insensitive', 98, 0.0016899833363457533]"
3,1.0006264623075212,"['squared_loss', 5, 0.09995286606253553]"
3,1.0006264623075212,"['squared_loss', 100, 0.003041563060297386]"
3,1.0006264623075212,"['epsilon_insensitive', 98, 0.09944016871826948]"
3,1.0006264623075212,"['huber', 98, 0.09900857886139777]"
3,1.0006264623075212,"['epsilon_insensitive', 6, 0.001366300814429134]"
3,1.0006264623075212,"['squared_epsilon_insensitive', 7, 0.09995177382061274]"
3,1.0006264623075212,"['squared_loss', 99, 0.0005474783888080587]"
3,1.0006264623075212,"['squared_loss', 8, 0.09864923796640153]"
3,1.0006264623075212,"['huber', 100, 0.09980343183424069]"
3,1.0006264623075212,"['squared_epsilon_insensitive', 100, 0.0013888003208795325]"
3,1.0006264623075212,"['epsilon_insensitive', 5, 0.09698742564574053]"
3,1.0006264623075212,"['huber', 7, 0.001002606594284128]"
3,1.0006264623075212,"['epsilon_insensitive', 100, 0.0005447930882054396]"
3,1.0006264623075212,"['squared_epsilon_insensitive', 5, 0.09719833023881155]"
3,1.0006264623075212,"['squared_loss', 98, 0.0980454822932847]"
3,1.0006264623075212,"['squared_loss', 5, 0.0009879268636349891]"
3,1.0006264623075212,"['huber', 100, 0.09957053539952643]"
3,1.0006264623075212,"['squared_epsilon_insensitive', 100, 0.00015114762114075758]"
3,1.0006264623075212,"['epsilon_insensitive', 100, 0.09990512779342772]"
3,1.0006264623075212,"['squared_epsilon_insensitive', 5, 0.09957667087964221]"
3,1.0006264623075212,"['epsilon_insensitive', 7, 0.0003410800004662581]"
3,1.0006264623075212,"['huber', 5, 0.002350270338563985]"
3,1.0006264623075212,"['squared_loss', 100, 0.09998941895254601]"
3,1.0006264623075212,"['squared_loss', 7, 0.0001163988036794596]"
3,1.0006264623075212,"['huber', 100, 0.0005752899827610064]"
3,1.0006264623075212,"['squared_epsilon_insensitive', 100, 0.0006380625447177851]"
3,1.0006264623075212,"['squared_epsilon_insensitive', 6, 0.09989184805946281]"
3,1.0006264623075212,"['epsilon_insensitive', 6, 0.0979444325845689]"
3,1.0006264623075212,"['epsilon_insensitive', 99, 0.0004764036303044123]"
3,1.0006264623075212,"['huber', 100, 0.0999836611501453]"
3,1.0006264623075212,"['squared_loss', 5, 0.0018270622258460447]"
3,1.0006264623075212,"['squared_loss', 100, 0.09892014846306008]"
3,1.0006264623075212,"['huber', 6, 0.09960567786472149]"
3,1.0006264623075212,"['epsilon_insensitive', 6, 0.09968136913406137]"
3,1.0006264623075212,"['squared_epsilon_insensitive', 99, 0.09975451956595108]"
3,1.0006264623075212,"['epsilon_insensitive', 100, 0.0015013609471639137]"
