Fold,MAE (kcal/mol),Hyperparameters
1,2.1971248792303464,"['squared_loss', 5, 0.0001]"
1,2.1971248792303464,"['squared_loss', 30, 0.08061720842771072]"
1,2.1971248792303464,"['epsilon_insensitive', 60, 0.03319751320125059]"
1,2.1971248792303464,"['squared_loss', 5, 0.037653497250041766]"
1,2.1971248792303464,"['squared_epsilon_insensitive', 43, 0.002140606220829605]"
1,2.1971248792303464,"['squared_loss', 79, 0.09777187345246074]"
1,2.1971248792303464,"['huber', 66, 0.07660031663280278]"
1,2.1971248792303464,"['squared_epsilon_insensitive', 30, 0.014411039012815527]"
1,2.1971248792303464,"['squared_epsilon_insensitive', 27, 0.09255715664007082]"
1,2.1971248792303464,"['squared_loss', 59, 0.09605886974524842]"
1,2.1971248792303464,"['epsilon_insensitive', 94, 0.039390150677519095]"
1,2.1971248792303464,"['huber', 98, 0.00038818506438958637]"
1,2.1971248792303464,"['epsilon_insensitive', 5, 0.09915427476921937]"
1,2.1971248792303464,"['huber', 6, 0.09969929849886565]"
1,2.1971248792303464,"['squared_epsilon_insensitive', 97, 0.09770297819765539]"
1,2.1971248792303464,"['huber', 100, 0.0014064190253975358]"
1,2.1971248792303464,"['epsilon_insensitive', 100, 0.00020196681984415403]"
1,2.1971248792303464,"['huber', 6, 0.0008017897224609454]"
1,2.1971248792303464,"['epsilon_insensitive', 6, 0.09672924059573572]"
1,2.1971248792303464,"['squared_epsilon_insensitive', 100, 0.09821685931458192]"
1,2.1971248792303464,"['squared_loss', 99, 0.0016673065302231496]"
1,2.1971248792303464,"['squared_epsilon_insensitive', 6, 0.00017469391827996372]"
1,2.1971248792303464,"['huber', 100, 0.09904914039271252]"
1,2.1971248792303464,"['epsilon_insensitive', 5, 0.0015748788299506117]"
1,2.1971248792303464,"['huber', 5, 0.09895395266628683]"
1,2.1971248792303464,"['epsilon_insensitive', 99, 0.09699418027878622]"
1,2.1971248792303464,"['squared_loss', 98, 0.003989604385883184]"
1,2.1971248792303464,"['squared_epsilon_insensitive', 100, 0.0029032561572528556]"
1,2.1971248792303464,"['squared_epsilon_insensitive', 5, 0.09934667983017816]"
1,2.1971248792303464,"['huber', 6, 0.0004557659379621572]"
1,2.1971248792303464,"['squared_loss', 100, 0.09909514527287262]"
1,2.1971248792303464,"['epsilon_insensitive', 8, 0.0007181591455266036]"
1,2.1971248792303464,"['squared_loss', 5, 0.09934227003175028]"
1,2.1971248792303464,"['epsilon_insensitive', 99, 0.09951913225547532]"
1,2.1971248792303464,"['squared_epsilon_insensitive', 100, 0.001770324369892241]"
1,2.1971248792303464,"['huber', 99, 0.0974639714660974]"
1,2.1971248792303464,"['squared_epsilon_insensitive', 5, 0.09977230474899745]"
1,2.1971248792303464,"['squared_loss', 5, 0.00015982908281520516]"
1,2.1971248792303464,"['huber', 100, 0.0002847064199838039]"
1,2.1971248792303464,"['epsilon_insensitive', 5, 0.002172807346474864]"
1,2.1971248792303464,"['epsilon_insensitive', 99, 0.09982964466762442]"
1,2.1971248792303464,"['squared_loss', 97, 0.00021521417582964737]"
1,2.1971248792303464,"['huber', 8, 0.09988726816036547]"
1,2.1971248792303464,"['squared_epsilon_insensitive', 100, 0.002111256464907434]"
1,2.1971248792303464,"['epsilon_insensitive', 5, 0.0008406412806163533]"
1,2.1971248792303464,"['squared_epsilon_insensitive', 5, 0.09947772280352765]"
1,2.1971248792303464,"['huber', 5, 0.0008797974886247152]"
1,2.1971248792303464,"['squared_loss', 100, 0.09843391733255037]"
1,2.1971248792303464,"['epsilon_insensitive', 99, 0.09982335571422554]"
1,2.1971248792303464,"['squared_loss', 5, 0.09829104678125619]"
2,2.7686563990185857,"['squared_loss', 5, 0.0001]"
2,2.7686563990185857,"['squared_epsilon_insensitive', 66, 0.010825911646652182]"
2,2.7686563990185857,"['huber', 41, 0.08329983410288962]"
2,2.7686563990185857,"['squared_epsilon_insensitive', 11, 0.09130645179068186]"
2,2.7686563990185857,"['huber', 10, 0.0765133362699496]"
2,2.7686563990185857,"['huber', 21, 0.002696987496034033]"
2,2.7686563990185857,"['epsilon_insensitive', 59, 0.05440303687789332]"
2,2.7686563990185857,"['huber', 79, 0.0048360934255342655]"
2,2.7686563990185857,"['squared_loss', 85, 0.07662691669787497]"
2,2.7686563990185857,"['huber', 88, 0.018692716713639618]"
2,2.7686563990185857,"['squared_epsilon_insensitive', 11, 0.09030392118787516]"
2,2.7686563990185857,"['epsilon_insensitive', 100, 0.09846470900517273]"
2,2.7686563990185857,"['epsilon_insensitive', 6, 0.000645096030124752]"
2,2.7686563990185857,"['squared_loss', 100, 0.09912382365594997]"
2,2.7686563990185857,"['squared_epsilon_insensitive', 99, 0.001915227233366687]"
2,2.7686563990185857,"['epsilon_insensitive', 6, 0.09942318120123284]"
2,2.7686563990185857,"['squared_loss', 6, 0.002071141332744912]"
2,2.7686563990185857,"['epsilon_insensitive', 98, 0.0017224229607191877]"
2,2.7686563990185857,"['squared_loss', 100, 0.09965565875537097]"
2,2.7686563990185857,"['squared_epsilon_insensitive', 99, 0.09977934994657686]"
2,2.7686563990185857,"['squared_loss', 5, 0.0999841734902573]"
2,2.7686563990185857,"['squared_epsilon_insensitive', 6, 0.0007142157589725146]"
2,2.7686563990185857,"['huber', 97, 0.09976551326788033]"
2,2.7686563990185857,"['epsilon_insensitive', 100, 0.0020601363295021735]"
2,2.7686563990185857,"['epsilon_insensitive', 6, 0.09999505658107768]"
2,2.7686563990185857,"['squared_loss', 100, 0.00013868691393494718]"
2,2.7686563990185857,"['huber', 6, 0.09894287021958276]"
2,2.7686563990185857,"['squared_epsilon_insensitive', 100, 0.0005147066566532614]"
2,2.7686563990185857,"['squared_loss', 7, 0.0015007723514981121]"
2,2.7686563990185857,"['squared_epsilon_insensitive', 99, 0.09936566982439772]"
2,2.7686563990185857,"['huber', 100, 0.0014036977464104415]"
2,2.7686563990185857,"['epsilon_insensitive', 7, 0.0005286226985804361]"
2,2.7686563990185857,"['squared_epsilon_insensitive', 6, 0.09770456571734816]"
2,2.7686563990185857,"['epsilon_insensitive', 99, 0.09942410652468964]"
2,2.7686563990185857,"['huber', 5, 0.0998758379686234]"
2,2.7686563990185857,"['squared_loss', 99, 0.09902352448094372]"
2,2.7686563990185857,"['squared_epsilon_insensitive', 5, 0.00016926439637226983]"
2,2.7686563990185857,"['huber', 100, 0.001204937873575512]"
2,2.7686563990185857,"['squared_loss', 6, 0.0003636196768877489]"
2,2.7686563990185857,"['epsilon_insensitive', 5, 0.0003903394627534206]"
2,2.7686563990185857,"['epsilon_insensitive', 99, 0.09975081070073104]"
2,2.7686563990185857,"['squared_epsilon_insensitive', 100, 0.0009226500750430664]"
2,2.7686563990185857,"['squared_loss', 6, 0.09971484705664545]"
2,2.7686563990185857,"['huber', 5, 0.0986696299809444]"
2,2.7686563990185857,"['squared_epsilon_insensitive', 6, 0.09928035710058405]"
2,2.7686563990185857,"['squared_loss', 100, 0.00026041706624927406]"
2,2.7686563990185857,"['huber', 5, 0.0013260658526265626]"
2,2.7686563990185857,"['epsilon_insensitive', 100, 0.09803844592872031]"
2,2.7686563990185857,"['epsilon_insensitive', 6, 0.0032499246977595836]"
2,2.7686563990185857,"['huber', 99, 0.09911296500936444]"
3,2.7114029039002614,"['squared_loss', 5, 0.0001]"
3,2.7114029039002614,"['squared_loss', 54, 0.04547103519604585]"
3,2.7114029039002614,"['epsilon_insensitive', 25, 0.064172897731562]"
3,2.7114029039002614,"['huber', 15, 0.033735893705054164]"
3,2.7114029039002614,"['squared_loss', 37, 0.03900944613923827]"
3,2.7114029039002614,"['epsilon_insensitive', 63, 0.09774138510507333]"
3,2.7114029039002614,"['epsilon_insensitive', 37, 0.07474162438080356]"
3,2.7114029039002614,"['squared_loss', 79, 0.013690487902947064]"
3,2.7114029039002614,"['huber', 6, 0.08331089239509386]"
3,2.7114029039002614,"['squared_epsilon_insensitive', 13, 0.008099564551152844]"
3,2.7114029039002614,"['squared_epsilon_insensitive', 27, 0.09959492888765728]"
3,2.7114029039002614,"['huber', 100, 0.0005699684214539786]"
3,2.7114029039002614,"['squared_epsilon_insensitive', 99, 0.09996400993673221]"
3,2.7114029039002614,"['epsilon_insensitive', 98, 0.0001161595829130165]"
3,2.7114029039002614,"['huber', 98, 0.0988224637894283]"
3,2.7114029039002614,"['squared_epsilon_insensitive', 100, 0.0016270293998253782]"
3,2.7114029039002614,"['squared_loss', 97, 0.09834773703957865]"
3,2.7114029039002614,"['epsilon_insensitive', 8, 0.00011291191540436566]"
3,2.7114029039002614,"['squared_epsilon_insensitive', 5, 0.09792201523114141]"
3,2.7114029039002614,"['huber', 5, 0.0021077272483746292]"
3,2.7114029039002614,"['squared_epsilon_insensitive', 98, 0.0007489770381365383]"
3,2.7114029039002614,"['huber', 100, 0.09824852216324191]"
3,2.7114029039002614,"['squared_loss', 7, 0.09967545449481384]"
3,2.7114029039002614,"['epsilon_insensitive', 100, 0.09996179704713173]"
3,2.7114029039002614,"['squared_loss', 100, 0.0007240174359257752]"
3,2.7114029039002614,"['epsilon_insensitive', 5, 0.002231175367057193]"
3,2.7114029039002614,"['squared_epsilon_insensitive', 5, 0.09939305168642]"
3,2.7114029039002614,"['huber', 5, 0.0011901819974522805]"
3,2.7114029039002614,"['squared_epsilon_insensitive', 99, 0.002732702437378781]"
3,2.7114029039002614,"['squared_loss', 100, 0.09864711674782824]"
3,2.7114029039002614,"['huber', 98, 0.09934945980906495]"
3,2.7114029039002614,"['epsilon_insensitive', 99, 0.0010323066816305016]"
3,2.7114029039002614,"['epsilon_insensitive', 6, 0.09843283015900714]"
3,2.7114029039002614,"['squared_loss', 7, 0.09935598206723732]"
3,2.7114029039002614,"['squared_epsilon_insensitive', 6, 0.0009417321028620366]"
3,2.7114029039002614,"['huber', 100, 0.0016890941050528247]"
3,2.7114029039002614,"['huber', 6, 0.09832339783442874]"
3,2.7114029039002614,"['squared_epsilon_insensitive', 99, 0.09676140330640967]"
3,2.7114029039002614,"['squared_loss', 6, 0.0009275759954565632]"
3,2.7114029039002614,"['epsilon_insensitive', 99, 0.09880640548187467]"
3,2.7114029039002614,"['epsilon_insensitive', 6, 0.00034061596994470247]"
3,2.7114029039002614,"['squared_loss', 100, 0.0014935649422163132]"
3,2.7114029039002614,"['squared_epsilon_insensitive', 6, 0.09889906340382493]"
3,2.7114029039002614,"['huber', 6, 0.0004437112741531018]"
3,2.7114029039002614,"['huber', 98, 0.09873485066962719]"
3,2.7114029039002614,"['epsilon_insensitive', 99, 0.00012093218666823622]"
3,2.7114029039002614,"['squared_epsilon_insensitive', 97, 0.00025929221600725093]"
3,2.7114029039002614,"['squared_loss', 7, 0.09888374478503334]"
3,2.7114029039002614,"['epsilon_insensitive', 6, 0.09855807574213866]"
3,2.7114029039002614,"['squared_loss', 98, 0.09975981694222076]"
4,2.2100253949964674,"['squared_loss', 5, 0.0001]"
4,2.2100253949964674,"['squared_loss', 29, 0.09618323369316595]"
4,2.2100253949964674,"['squared_loss', 46, 0.029505558477981683]"
4,2.2100253949964674,"['squared_epsilon_insensitive', 17, 0.03649934882879522]"
4,2.2100253949964674,"['squared_epsilon_insensitive', 75, 0.005426561599667375]"
4,2.2100253949964674,"['squared_loss', 68, 0.019291075562411802]"
4,2.2100253949964674,"['squared_loss', 82, 0.047663793366183586]"
4,2.2100253949964674,"['epsilon_insensitive', 22, 0.06690984738707005]"
4,2.2100253949964674,"['epsilon_insensitive', 52, 0.025692778613509062]"
4,2.2100253949964674,"['huber', 94, 0.06932900990264822]"
