Fold,MAE (kcal/mol),Hyperparameters
1,4.2190674164320825,"['squared_loss', 5, 0.0001]"
1,4.2190674164320825,"['squared_epsilon_insensitive', 24, 0.04003004968677076]"
1,4.2190674164320825,"['huber', 60, 0.08683206720543986]"
1,4.2190674164320825,"['squared_loss', 35, 0.09870268352403301]"
1,4.2190674164320825,"['squared_loss', 82, 0.019556568633251246]"
1,4.2190674164320825,"['huber', 79, 0.08107605441856619]"
1,4.2190674164320825,"['huber', 89, 0.07668024007904807]"
1,4.2190674164320825,"['huber', 44, 0.05465674716328476]"
1,4.2190674164320825,"['squared_loss', 10, 0.0427793778878947]"
1,4.2190674164320825,"['huber', 48, 0.02533645160625249]"
1,4.2190674164320825,"['huber', 27, 0.016522544684465502]"
1,4.2190674164320825,"['epsilon_insensitive', 99, 0.0003954739124728788]"
1,4.2190674164320825,"['epsilon_insensitive', 7, 0.09906400054506265]"
1,4.2190674164320825,"['squared_epsilon_insensitive', 98, 0.09897844737808598]"
1,4.2190674164320825,"['squared_epsilon_insensitive', 99, 0.0010962243502516467]"
1,4.2190674164320825,"['epsilon_insensitive', 5, 0.0988383579924662]"
1,4.2190674164320825,"['epsilon_insensitive', 99, 0.0006491787536345682]"
1,4.2190674164320825,"['squared_epsilon_insensitive', 7, 0.0010725878039756507]"
1,4.2190674164320825,"['squared_loss', 100, 0.09872075400375566]"
1,4.2190674164320825,"['squared_epsilon_insensitive', 9, 0.09908259162518214]"
1,4.2190674164320825,"['epsilon_insensitive', 7, 0.0011269224358425977]"
1,4.2190674164320825,"['epsilon_insensitive', 100, 0.09879567559616799]"
1,4.2190674164320825,"['squared_loss', 99, 0.00013977025085384307]"
1,4.2190674164320825,"['squared_epsilon_insensitive', 98, 0.09926756120508992]"
1,4.2190674164320825,"['huber', 6, 0.0005129382875649585]"
1,4.2190674164320825,"['squared_loss', 7, 0.09931571332202589]"
1,4.2190674164320825,"['squared_epsilon_insensitive', 99, 0.0011353448363265696]"
1,4.2190674164320825,"['epsilon_insensitive', 6, 0.0009687808976045481]"
1,4.2190674164320825,"['epsilon_insensitive', 99, 0.09894102310486526]"
1,4.2190674164320825,"['squared_epsilon_insensitive', 6, 0.09911798703212735]"
1,4.2190674164320825,"['squared_loss', 100, 0.00042913538090567465]"
1,4.2190674164320825,"['huber', 100, 0.09765215529688476]"
1,4.2190674164320825,"['huber', 5, 0.0020178842521182605]"
1,4.2190674164320825,"['squared_loss', 8, 0.09988625268551928]"
1,4.2190674164320825,"['squared_epsilon_insensitive', 5, 0.0024956068258480345]"
1,4.2190674164320825,"['epsilon_insensitive', 99, 0.0016613241425308181]"
1,4.2190674164320825,"['epsilon_insensitive', 6, 0.09965439507717605]"
1,4.2190674164320825,"['squared_loss', 99, 0.00014912484146302514]"
1,4.2190674164320825,"['squared_epsilon_insensitive', 100, 0.09982034971072815]"
1,4.2190674164320825,"['huber', 100, 0.09882634093777645]"
1,4.2190674164320825,"['huber', 6, 0.0007448130583586769]"
1,4.2190674164320825,"['squared_loss', 5, 0.09814038638676711]"
1,4.2190674164320825,"['squared_epsilon_insensitive', 100, 0.0005317827545535364]"
1,4.2190674164320825,"['epsilon_insensitive', 5, 0.0008914266290975686]"
1,4.2190674164320825,"['epsilon_insensitive', 99, 0.09973540842448468]"
1,4.2190674164320825,"['squared_epsilon_insensitive', 6, 0.09922078912897951]"
