Fold,MAE (kcal/mol),Hyperparameters
1,0.6053182331698894,"['squared_loss', 5, 0.0001]"
1,0.6053182331698894,"['squared_loss', 80, 0.09257139701771691]"
1,0.6053182331698894,"['epsilon_insensitive', 42, 0.07648098535362255]"
1,0.6053182331698894,"['squared_loss', 72, 0.016889095270492576]"
1,0.6053182331698894,"['epsilon_insensitive', 38, 0.07979859210386325]"
1,0.6053182331698894,"['squared_epsilon_insensitive', 73, 0.06940429791501239]"
1,0.6053182331698894,"['huber', 77, 0.09787095259455839]"
1,0.6053182331698894,"['squared_epsilon_insensitive', 86, 0.08172910555588139]"
1,0.6053182331698894,"['squared_epsilon_insensitive', 27, 0.03975329611633796]"
1,0.6053182331698894,"['squared_epsilon_insensitive', 13, 0.05354178355447816]"
1,0.6053182331698894,"['squared_epsilon_insensitive', 17, 0.08240957998244211]"
1,0.6053182331698894,"['huber', 98, 0.0023225423880536313]"
1,0.6053182331698894,"['epsilon_insensitive', 99, 0.0006328912275441275]"
1,0.6053182331698894,"['huber', 6, 0.00014351109283567405]"
1,0.6053182331698894,"['huber', 5, 0.09752200635139668]"
1,0.6053182331698894,"['squared_loss', 100, 0.0988152409837285]"
1,0.6053182331698894,"['epsilon_insensitive', 98, 0.001527223743750943]"
1,0.6053182331698894,"['epsilon_insensitive', 6, 0.09919732635338804]"
1,0.6053182331698894,"['squared_loss', 6, 0.001986794493950288]"
1,0.6053182331698894,"['huber', 99, 0.09968076478653658]"
1,0.6053182331698894,"['squared_epsilon_insensitive', 97, 0.001130247264935696]"
1,0.6053182331698894,"['huber', 6, 0.0014852486775249767]"
1,0.6053182331698894,"['squared_loss', 7, 0.09982274585475982]"
1,0.6053182331698894,"['epsilon_insensitive', 5, 0.002542290333574768]"
1,0.6053182331698894,"['epsilon_insensitive', 100, 0.09868475941573018]"
1,0.6053182331698894,"['squared_loss', 100, 0.0003972898931206346]"
1,0.6053182331698894,"['squared_epsilon_insensitive', 100, 0.0019816193082612408]"
1,0.6053182331698894,"['huber', 99, 0.09983511801077428]"
1,0.6053182331698894,"['squared_epsilon_insensitive', 5, 0.09895242251051274]"
1,0.6053182331698894,"['huber', 6, 0.00024697756410778837]"
1,0.6053182331698894,"['squared_loss', 6, 0.09983883819024027]"
1,0.6053182331698894,"['epsilon_insensitive', 5, 0.002075678699639421]"
1,0.6053182331698894,"['squared_loss', 100, 0.0028132589223172763]"
1,0.6053182331698894,"['epsilon_insensitive', 99, 0.09928789351153999]"
1,0.6053182331698894,"['squared_epsilon_insensitive', 100, 0.0021072112373998948]"
1,0.6053182331698894,"['huber', 99, 0.09892466522522232]"
1,0.6053182331698894,"['squared_epsilon_insensitive', 7, 0.09962466855096579]"
1,0.6053182331698894,"['huber', 7, 0.001974761727543025]"
1,0.6053182331698894,"['epsilon_insensitive', 5, 0.09934833816065644]"
1,0.6053182331698894,"['squared_loss', 5, 0.09917811130609464]"
1,0.6053182331698894,"['epsilon_insensitive', 99, 0.0016123478838967335]"
1,0.6053182331698894,"['squared_epsilon_insensitive', 5, 0.00021234762802941]"
1,0.6053182331698894,"['squared_loss', 100, 0.09673588814975223]"
1,0.6053182331698894,"['huber', 100, 0.0004604625967922182]"
1,0.6053182331698894,"['squared_loss', 5, 0.0002727471826638273]"
1,0.6053182331698894,"['huber', 5, 0.09926418518307968]"
1,0.6053182331698894,"['squared_epsilon_insensitive', 99, 0.09889041963875898]"
1,0.6053182331698894,"['epsilon_insensitive', 5, 0.002363266981194549]"
1,0.6053182331698894,"['squared_loss', 100, 0.0015269199084749063]"
1,0.6053182331698894,"['epsilon_insensitive', 100, 0.09886135838064955]"
2,0.6238643658337728,"['squared_loss', 5, 0.0001]"
2,0.6238643658337728,"['squared_loss', 31, 0.0680861738022643]"
2,0.6238643658337728,"['epsilon_insensitive', 16, 0.08894719669731387]"
2,0.6238643658337728,"['epsilon_insensitive', 94, 0.09640441870506117]"
2,0.6238643658337728,"['squared_epsilon_insensitive', 34, 0.09050433163967313]"
2,0.6238643658337728,"['squared_loss', 78, 0.09769492882845585]"
2,0.6238643658337728,"['squared_loss', 86, 0.08254776484114805]"
2,0.6238643658337728,"['squared_epsilon_insensitive', 99, 0.027954166391812304]"
2,0.6238643658337728,"['squared_loss', 45, 0.023500804785799783]"
2,0.6238643658337728,"['squared_loss', 53, 0.03534245602096801]"
2,0.6238643658337728,"['squared_epsilon_insensitive', 64, 0.0067970694211253666]"
2,0.6238643658337728,"['huber', 5, 0.0007872183563485156]"
2,0.6238643658337728,"['huber', 99, 0.09787400300165662]"
2,0.6238643658337728,"['epsilon_insensitive', 99, 0.002310129107634926]"
2,0.6238643658337728,"['huber', 7, 0.09989256172722796]"
2,0.6238643658337728,"['huber', 100, 0.0014654114888634892]"
2,0.6238643658337728,"['epsilon_insensitive', 6, 0.0003424573994780864]"
2,0.6238643658337728,"['squared_epsilon_insensitive', 5, 0.09666727633608471]"
2,0.6238643658337728,"['squared_epsilon_insensitive', 97, 0.002141051700920345]"
2,0.6238643658337728,"['epsilon_insensitive', 100, 0.09925760446867252]"
2,0.6238643658337728,"['huber', 7, 0.00024631234104078025]"
2,0.6238643658337728,"['squared_epsilon_insensitive', 5, 0.09890752828721767]"
2,0.6238643658337728,"['huber', 99, 0.0984479088964202]"
2,0.6238643658337728,"['epsilon_insensitive', 5, 0.0010095975810083088]"
2,0.6238643658337728,"['squared_loss', 100, 0.0005103555744254227]"
