Fold,MAE (kcal/mol),Hyperparameters
1,1.031127793245957,"['squared_loss', 5, 0.0001]"
1,1.031127793245957,"['epsilon_insensitive', 41, 0.06728932409594954]"
1,1.031127793245957,"['squared_epsilon_insensitive', 31, 0.04792535318131425]"
1,1.031127793245957,"['squared_epsilon_insensitive', 8, 0.05299044046674462]"
1,1.031127793245957,"['squared_loss', 28, 0.02977247566328206]"
1,1.031127793245957,"['huber', 65, 0.05477291123295641]"
1,1.031127793245957,"['huber', 71, 0.09938484774912816]"
1,1.031127793245957,"['epsilon_insensitive', 40, 0.03102555418333121]"
1,1.031127793245957,"['squared_loss', 98, 0.05188497778354455]"
1,1.031127793245957,"['squared_epsilon_insensitive', 53, 0.0398798326457816]"
1,1.031127793245957,"['squared_epsilon_insensitive', 45, 0.048479958391891266]"
1,1.031127793245957,"['huber', 100, 0.000786288683489854]"
1,1.031127793245957,"['epsilon_insensitive', 98, 0.09965303161598872]"
1,1.031127793245957,"['huber', 8, 0.09983702537770163]"
1,1.031127793245957,"['squared_loss', 100, 0.09908898132117239]"
1,1.031127793245957,"['epsilon_insensitive', 100, 0.0015879163377848767]"
1,1.031127793245957,"['huber', 7, 0.00021152816459129556]"
1,1.031127793245957,"['squared_loss', 6, 0.09953473231531962]"
1,1.031127793245957,"['squared_epsilon_insensitive', 100, 0.098196767528089]"
1,1.031127793245957,"['epsilon_insensitive', 6, 0.09991419062403255]"
1,1.031127793245957,"['squared_loss', 100, 0.0005885589706914709]"
1,1.031127793245957,"['epsilon_insensitive', 6, 0.0017080056395311822]"
1,1.031127793245957,"['squared_epsilon_insensitive', 100, 0.002337028929232792]"
1,1.031127793245957,"['huber', 99, 0.09838119976688676]"
1,1.031127793245957,"['huber', 7, 0.0005922036731480804]"
1,1.031127793245957,"['squared_loss', 6, 0.09944802279085652]"
1,1.031127793245957,"['epsilon_insensitive', 98, 0.0007558688438328527]"
1,1.031127793245957,"['squared_epsilon_insensitive', 5, 0.09960213271735444]"
1,1.031127793245957,"['epsilon_insensitive', 99, 0.09997674141593298]"
1,1.031127793245957,"['squared_epsilon_insensitive', 100, 0.001318930399305981]"
1,1.031127793245957,"['squared_loss', 7, 0.00034156744810187866]"
1,1.031127793245957,"['huber', 5, 0.001632341480734884]"
1,1.031127793245957,"['huber', 100, 0.09844577366553568]"
1,1.031127793245957,"['epsilon_insensitive', 5, 0.097889533306307]"
