Fold,MAE (kcal/mol),Hyperparameters
1,1.1801369449352992,"['squared_loss', 5, 0.0001]"
1,1.1801369449352992,"['squared_epsilon_insensitive', 70, 0.09907325292208512]"
1,1.1801369449352992,"['squared_epsilon_insensitive', 26, 0.06862662994144461]"
1,1.1801369449352992,"['squared_epsilon_insensitive', 73, 0.043020909921645506]"
1,1.1801369449352992,"['squared_loss', 86, 0.0037559183866935205]"
1,1.1801369449352992,"['squared_loss', 71, 0.07047859231371931]"
1,1.1801369449352992,"['squared_epsilon_insensitive', 38, 0.02009453353234837]"
1,1.1801369449352992,"['squared_epsilon_insensitive', 10, 0.07667820301000833]"
1,1.1801369449352992,"['epsilon_insensitive', 64, 0.016475328026315978]"
1,1.1801369449352992,"['epsilon_insensitive', 67, 0.022308083945236132]"
1,1.1801369449352992,"['epsilon_insensitive', 63, 0.029078759699789146]"
1,1.1801369449352992,"['huber', 5, 0.0989549430821109]"
1,1.1801369449352992,"['huber', 98, 0.0003868305961241098]"
1,1.1801369449352992,"['huber', 96, 0.09947534396553505]"
1,1.1801369449352992,"['epsilon_insensitive', 7, 0.09866802874074304]"
1,1.1801369449352992,"['huber', 6, 0.0020468338292527104]"
1,1.1801369449352992,"['squared_loss', 98, 0.09987896211678485]"
1,1.1801369449352992,"['squared_loss', 6, 0.09877049057467328]"
1,1.1801369449352992,"['huber', 100, 0.09964385480159818]"
1,1.1801369449352992,"['epsilon_insensitive', 99, 0.0001876216562346856]"
1,1.1801369449352992,"['huber', 5, 0.0009889471725304446]"
1,1.1801369449352992,"['epsilon_insensitive', 5, 0.09971126221003289]"
1,1.1801369449352992,"['squared_epsilon_insensitive', 99, 0.0007894550671526916]"
1,1.1801369449352992,"['squared_loss', 8, 0.0008363932105631426]"
1,1.1801369449352992,"['squared_loss', 99, 0.09842912509108616]"
1,1.1801369449352992,"['epsilon_insensitive', 99, 0.09836288526161921]"
1,1.1801369449352992,"['huber', 6, 0.09965994540217413]"
1,1.1801369449352992,"['squared_epsilon_insensitive', 6, 0.0009503171427345571]"
1,1.1801369449352992,"['huber', 100, 0.0011536702039686905]"
1,1.1801369449352992,"['squared_epsilon_insensitive', 99, 0.09966733061979341]"
1,1.1801369449352992,"['epsilon_insensitive', 7, 0.000630377370929777]"
1,1.1801369449352992,"['squared_loss', 100, 0.0003955989116299113]"
1,1.1801369449352992,"['squared_loss', 8, 0.09960747634027523]"
1,1.1801369449352992,"['epsilon_insensitive', 100, 0.09910743782053058]"
1,1.1801369449352992,"['squared_epsilon_insensitive', 5, 0.0007160346616375278]"
1,1.1801369449352992,"['huber', 5, 0.0999178779537342]"
1,1.1801369449352992,"['huber', 99, 0.0011559147962493946]"
1,1.1801369449352992,"['squared_epsilon_insensitive', 100, 0.09895909777887403]"
1,1.1801369449352992,"['epsilon_insensitive', 6, 0.0005737856967568828]"
1,1.1801369449352992,"['squared_loss', 6, 0.00015875037653130666]"
1,1.1801369449352992,"['squared_loss', 100, 0.09986790382994164]"
1,1.1801369449352992,"['epsilon_insensitive', 6, 0.09720968868679897]"
1,1.1801369449352992,"['squared_epsilon_insensitive', 99, 0.00019981899930856666]"
1,1.1801369449352992,"['huber', 100, 0.0014420355760185112]"
1,1.1801369449352992,"['squared_epsilon_insensitive', 5, 0.0992788640857076]"
1,1.1801369449352992,"['epsilon_insensitive', 98, 0.0008289581624767164]"
1,1.1801369449352992,"['huber', 5, 0.09690039544718876]"
1,1.1801369449352992,"['epsilon_insensitive', 100, 0.09989910840188629]"
1,1.1801369449352992,"['squared_loss', 9, 0.0010688573953901166]"
1,1.1801369449352992,"['squared_loss', 100, 0.09768125626636992]"
1,1.1801369449352992,"['squared_epsilon_insensitive', 5, 0.09993939212440202]"
1,1.1801369449352992,"['huber', 100, 0.09963751706602116]"
1,1.1801369449352992,"['squared_epsilon_insensitive', 100, 0.0007317646180650751]"
1,1.1801369449352992,"['huber', 6, 0.0009065831871894638]"
1,1.1801369449352992,"['epsilon_insensitive', 5, 0.09873807325412248]"
1,1.1801369449352992,"['squared_loss', 5, 0.00012261927193784366]"
1,1.1801369449352992,"['epsilon_insensitive', 99, 0.001717864405165941]"
1,1.1801369449352992,"['squared_loss', 99, 0.09703628143120797]"
1,1.1801369449352992,"['squared_epsilon_insensitive', 5, 0.00037911294159475656]"
1,1.1801369449352992,"['huber', 99, 0.00031023435438148406]"
1,1.1801369449352992,"['huber', 7, 0.09935671498552377]"
1,1.1801369449352992,"['squared_loss', 5, 0.00037327508995771414]"
1,1.1801369449352992,"['squared_epsilon_insensitive', 100, 0.09987816445816108]"
1,1.1801369449352992,"['epsilon_insensitive', 6, 0.09968773519445698]"
1,1.1801369449352992,"['epsilon_insensitive', 6, 0.00018712370360934812]"
2,1.5728747369779976,"['squared_loss', 5, 0.0001]"
2,1.5728747369779976,"['squared_epsilon_insensitive', 89, 0.07831936480106513]"
2,1.5728747369779976,"['squared_loss', 90, 0.07720424571736781]"
2,1.5728747369779976,"['squared_epsilon_insensitive', 42, 0.051864631024136715]"
2,1.5728747369779976,"['squared_loss', 64, 0.044317481143949254]"
2,1.5728747369779976,"['squared_loss', 35, 0.0009341430608629331]"
2,1.5728747369779976,"['squared_loss', 28, 0.041762388714148176]"
2,1.5728747369779976,"['squared_loss', 71, 0.049155196646017335]"
2,1.5728747369779976,"['epsilon_insensitive', 83, 0.029464990162943697]"
2,1.5728747369779976,"['huber', 16, 0.04779541589622483]"
2,1.5728747369779976,"['squared_loss', 33, 0.055850616217333685]"
2,1.5728747369779976,"['epsilon_insensitive', 7, 0.09904243108225434]"
2,1.5728747369779976,"['huber', 100, 0.001836463812574663]"
2,1.5728747369779976,"['huber', 100, 0.09970644401686336]"
2,1.5728747369779976,"['squared_epsilon_insensitive', 5, 0.0016353264611340458]"
2,1.5728747369779976,"['epsilon_insensitive', 100, 0.0004333801174432436]"
2,1.5728747369779976,"['huber', 6, 0.09864747860136246]"
2,1.5728747369779976,"['squared_epsilon_insensitive', 100, 0.09926613263731437]"
2,1.5728747369779976,"['epsilon_insensitive', 5, 0.09955141987840348]"
2,1.5728747369779976,"['squared_epsilon_insensitive', 5, 0.0006327416416390262]"
2,1.5728747369779976,"['huber', 98, 0.0006411869056392794]"
2,1.5728747369779976,"['epsilon_insensitive', 97, 0.00015415577839420936]"
2,1.5728747369779976,"['huber', 7, 0.09967542548855543]"
2,1.5728747369779976,"['squared_epsilon_insensitive', 97, 0.0993250448764557]"
2,1.5728747369779976,"['epsilon_insensitive', 5, 0.00016289913536033935]"
2,1.5728747369779976,"['epsilon_insensitive', 97, 0.09715859965410215]"
2,1.5728747369779976,"['squared_epsilon_insensitive', 5, 0.001232293426756477]"
2,1.5728747369779976,"['huber', 96, 0.001334180031153131]"
2,1.5728747369779976,"['squared_loss', 100, 0.09726082689076003]"
2,1.5728747369779976,"['huber', 5, 0.09923719596918264]"
2,1.5728747369779976,"['epsilon_insensitive', 9, 0.09921115505384923]"
2,1.5728747369779976,"['squared_epsilon_insensitive', 99, 0.09958644377524144]"
2,1.5728747369779976,"['huber', 99, 0.0007366563426139524]"
2,1.5728747369779976,"['squared_epsilon_insensitive', 7, 0.0003237704971281637]"
2,1.5728747369779976,"['squared_loss', 6, 0.09737859711748569]"
2,1.5728747369779976,"['epsilon_insensitive', 98, 0.0009976713482087965]"
2,1.5728747369779976,"['huber', 5, 0.09918225677434593]"
2,1.5728747369779976,"['squared_epsilon_insensitive', 98, 0.09878652027127618]"
2,1.5728747369779976,"['epsilon_insensitive', 6, 0.0003119444902741591]"
2,1.5728747369779976,"['squared_loss', 100, 0.0009923736836081544]"
2,1.5728747369779976,"['epsilon_insensitive', 99, 0.0991024287747615]"
2,1.5728747369779976,"['huber', 5, 0.00012848590292424363]"
2,1.5728747369779976,"['squared_epsilon_insensitive', 5, 0.0010801355185468516]"
2,1.5728747369779976,"['squared_loss', 7, 0.09819801747255394]"
2,1.5728747369779976,"['squared_epsilon_insensitive', 100, 0.09926451287116944]"
