Fold,MAE (kcal/mol),Hyperparameters
1,1.490164365116179,"['squared_loss', 5, 0.0001]"
1,1.490164365116179,"['huber', 86, 0.04594285152399735]"
1,1.490164365116179,"['huber', 20, 0.038680798293818035]"
1,1.490164365116179,"['epsilon_insensitive', 91, 0.06532953470474628]"
1,1.490164365116179,"['huber', 52, 0.06357934449291767]"
1,1.490164365116179,"['squared_loss', 98, 0.09113779857476655]"
1,1.490164365116179,"['squared_epsilon_insensitive', 58, 0.012640280224952284]"
1,1.490164365116179,"['epsilon_insensitive', 70, 0.043352133991363936]"
1,1.490164365116179,"['huber', 5, 0.026380545641475846]"
1,1.490164365116179,"['squared_epsilon_insensitive', 90, 0.05000583154519526]"
1,1.490164365116179,"['epsilon_insensitive', 67, 0.06768610093351876]"
1,1.490164365116179,"['squared_epsilon_insensitive', 6, 0.09993903842044415]"
1,1.490164365116179,"['squared_loss', 6, 0.09923623561507579]"
1,1.490164365116179,"['squared_loss', 99, 0.0007895493892358328]"
1,1.490164365116179,"['epsilon_insensitive', 5, 0.003843550531111448]"
1,1.490164365116179,"['squared_epsilon_insensitive', 99, 0.09919300781481383]"
1,1.490164365116179,"['epsilon_insensitive', 5, 0.09987409567164843]"
1,1.490164365116179,"['squared_epsilon_insensitive', 8, 0.00010935529967752913]"
1,1.490164365116179,"['huber', 99, 0.0013029848643092965]"
1,1.490164365116179,"['squared_loss', 99, 0.09991963376536736]"
1,1.490164365116179,"['epsilon_insensitive', 98, 0.00013264981780495362]"
1,1.490164365116179,"['huber', 7, 0.09909378853623765]"
1,1.490164365116179,"['squared_loss', 6, 0.0003285910921732798]"
1,1.490164365116179,"['squared_epsilon_insensitive', 5, 0.0002717875770169253]"
1,1.490164365116179,"['squared_epsilon_insensitive', 99, 0.0997350001024263]"
1,1.490164365116179,"['epsilon_insensitive', 7, 0.09983535434651804]"
1,1.490164365116179,"['huber', 100, 0.0004887949721660308]"
1,1.490164365116179,"['squared_loss', 5, 0.09796377029606922]"
1,1.490164365116179,"['squared_loss', 99, 0.0001508022506114165]"
