Fold,MAE (kcal/mol),Hyperparameters
1,1.2533801833567597,"['squared_loss', 5, 0.0001]"
1,1.2533801833567597,"['epsilon_insensitive', 40, 0.08153650726943869]"
1,1.2533801833567597,"['epsilon_insensitive', 44, 0.09644155954757493]"
1,1.2533801833567597,"['squared_loss', 24, 0.08773231450595104]"
1,1.2533801833567597,"['squared_epsilon_insensitive', 28, 0.03983233416045218]"
1,1.2533801833567597,"['huber', 19, 0.036516288038444214]"
1,1.2533801833567597,"['epsilon_insensitive', 63, 0.029458997608094645]"
1,1.2533801833567597,"['squared_loss', 68, 0.06676438001291418]"
1,1.2533801833567597,"['squared_epsilon_insensitive', 98, 0.08900782152480348]"
1,1.2533801833567597,"['huber', 86, 0.07003113885943468]"
1,1.2533801833567597,"['squared_epsilon_insensitive', 45, 0.08343366407003189]"
1,1.2533801833567597,"['huber', 99, 0.001140674989785987]"
1,1.2533801833567597,"['squared_loss', 100, 0.0003188428367448144]"
1,1.2533801833567597,"['squared_epsilon_insensitive', 5, 0.0026602462667655695]"
1,1.2533801833567597,"['huber', 6, 0.0998405003705911]"
1,1.2533801833567597,"['epsilon_insensitive', 97, 0.0006207295175633065]"
1,1.2533801833567597,"['squared_loss', 100, 0.09984005668204957]"
1,1.2533801833567597,"['epsilon_insensitive', 6, 0.0010021223785511273]"
1,1.2533801833567597,"['squared_epsilon_insensitive', 99, 0.0034238521100453355]"
1,1.2533801833567597,"['huber', 8, 0.09961988952720702]"
1,1.2533801833567597,"['epsilon_insensitive', 100, 0.09792789063465104]"
1,1.2533801833567597,"['huber', 99, 0.00041773767303150905]"
1,1.2533801833567597,"['squared_loss', 7, 0.0007178061446828444]"
1,1.2533801833567597,"['squared_epsilon_insensitive', 6, 0.0976392995742804]"
1,1.2533801833567597,"['epsilon_insensitive', 5, 0.0002700101495056322]"
1,1.2533801833567597,"['squared_loss', 99, 0.09942108328683406]"
1,1.2533801833567597,"['squared_epsilon_insensitive', 97, 0.000319983328241216]"
1,1.2533801833567597,"['huber', 100, 0.09936230305605825]"
1,1.2533801833567597,"['huber', 6, 0.0016859061849222705]"
1,1.2533801833567597,"['squared_epsilon_insensitive', 8, 0.09984621380670411]"
1,1.2533801833567597,"['epsilon_insensitive', 99, 0.09937293834707875]"
1,1.2533801833567597,"['squared_loss', 6, 0.0008752381409841539]"
1,1.2533801833567597,"['squared_epsilon_insensitive', 99, 0.0004298091726497353]"
1,1.2533801833567597,"['squared_loss', 5, 0.09754889930457544]"
1,1.2533801833567597,"['epsilon_insensitive', 6, 0.0006751548253594173]"
1,1.2533801833567597,"['huber', 6, 0.09997890800181888]"
1,1.2533801833567597,"['huber', 99, 0.00043205927770722065]"
1,1.2533801833567597,"['squared_loss', 99, 0.09923805867671141]"
1,1.2533801833567597,"['squared_epsilon_insensitive', 6, 0.09984224838340737]"
1,1.2533801833567597,"['epsilon_insensitive', 99, 0.09775685187799008]"
1,1.2533801833567597,"['squared_loss', 100, 0.00048594937806001516]"
1,1.2533801833567597,"['epsilon_insensitive', 7, 0.0006157557163281028]"
1,1.2533801833567597,"['squared_epsilon_insensitive', 100, 0.001927539148808954]"
1,1.2533801833567597,"['huber', 100, 0.09981793211231098]"
1,1.2533801833567597,"['huber', 5, 0.0015026243223512565]"
1,1.2533801833567597,"['squared_loss', 7, 0.09953181008609327]"
1,1.2533801833567597,"['squared_epsilon_insensitive', 6, 0.09934819391433117]"
1,1.2533801833567597,"['epsilon_insensitive', 98, 0.09820055431300638]"
1,1.2533801833567597,"['squared_epsilon_insensitive', 99, 0.0025022922049178615]"
1,1.2533801833567597,"['squared_loss', 99, 0.0003593027914135835]"
2,1.4267876735713134,"['squared_loss', 5, 0.0001]"
2,1.4267876735713134,"['epsilon_insensitive', 18, 0.059591846481685355]"
2,1.4267876735713134,"['squared_epsilon_insensitive', 59, 0.038765289849188776]"
2,1.4267876735713134,"['huber', 16, 0.08715780242227072]"
2,1.4267876735713134,"['squared_loss', 32, 0.06233684903329032]"
2,1.4267876735713134,"['epsilon_insensitive', 86, 0.01479431690576611]"
2,1.4267876735713134,"['squared_loss', 83, 0.01697990223805181]"
2,1.4267876735713134,"['epsilon_insensitive', 32, 0.07617337456998173]"
2,1.4267876735713134,"['squared_loss', 21, 0.017552156028092968]"
2,1.4267876735713134,"['epsilon_insensitive', 95, 0.0626221068214586]"
2,1.4267876735713134,"['squared_loss', 100, 0.016586547728598296]"
2,1.4267876735713134,"['squared_epsilon_insensitive', 100, 0.09793526733968294]"
2,1.4267876735713134,"['huber', 98, 0.0001750656473276416]"
2,1.4267876735713134,"['squared_epsilon_insensitive', 6, 0.00016658116623875872]"
2,1.4267876735713134,"['huber', 6, 0.0993050277254421]"
2,1.4267876735713134,"['squared_epsilon_insensitive', 99, 0.09996536524818188]"
2,1.4267876735713134,"['huber', 99, 0.0005853085356755901]"
2,1.4267876735713134,"['squared_loss', 100, 0.09962857805511452]"
2,1.4267876735713134,"['squared_epsilon_insensitive', 5, 0.0007152041165533025]"
2,1.4267876735713134,"['epsilon_insensitive', 5, 0.09964653556418847]"
2,1.4267876735713134,"['huber', 100, 0.09932692437943648]"
2,1.4267876735713134,"['huber', 5, 0.001006565224506567]"
2,1.4267876735713134,"['epsilon_insensitive', 97, 0.001003372426713412]"
2,1.4267876735713134,"['squared_epsilon_insensitive', 5, 0.09716962116346324]"
2,1.4267876735713134,"['squared_loss', 5, 0.09684618112985402]"
2,1.4267876735713134,"['squared_epsilon_insensitive', 100, 0.0013960544546165858]"
2,1.4267876735713134,"['epsilon_insensitive', 5, 0.0024687479865395916]"
2,1.4267876735713134,"['huber', 100, 0.09927377213043498]"
2,1.4267876735713134,"['huber', 5, 0.0050858946550868395]"
2,1.4267876735713134,"['epsilon_insensitive', 99, 0.09885164448255972]"
2,1.4267876735713134,"['squared_loss', 100, 0.09888697896884847]"
2,1.4267876735713134,"['squared_epsilon_insensitive', 6, 0.09776246123095243]"
2,1.4267876735713134,"['squared_epsilon_insensitive', 99, 0.0009870069969972182]"
2,1.4267876735713134,"['huber', 6, 0.09945166827287467]"
2,1.4267876735713134,"['squared_loss', 6, 0.0008459671781649482]"
2,1.4267876735713134,"['epsilon_insensitive', 99, 0.0013147958940133708]"
2,1.4267876735713134,"['epsilon_insensitive', 6, 0.0969600781116751]"
2,1.4267876735713134,"['huber', 100, 0.0017048895073319434]"
2,1.4267876735713134,"['squared_loss', 98, 0.0986019701550238]"
2,1.4267876735713134,"['squared_epsilon_insensitive', 6, 0.0011489322352135917]"
2,1.4267876735713134,"['squared_epsilon_insensitive', 97, 0.09884209963302944]"
2,1.4267876735713134,"['epsilon_insensitive', 5, 0.0018228587533907872]"
2,1.4267876735713134,"['squared_loss', 5, 0.09879742420566677]"
2,1.4267876735713134,"['huber', 6, 0.09824752090491232]"
2,1.4267876735713134,"['epsilon_insensitive', 98, 0.09971055545867243]"
2,1.4267876735713134,"['huber', 100, 0.0040343776459970575]"
2,1.4267876735713134,"['squared_loss', 99, 0.0019087124858023273]"
2,1.4267876735713134,"['squared_epsilon_insensitive', 6, 0.09953042265890447]"
2,1.4267876735713134,"['huber', 5, 0.0009190304636237936]"
2,1.4267876735713134,"['squared_epsilon_insensitive', 99, 0.00020809560395862746]"
3,1.8699294732560514,"['squared_loss', 5, 0.0001]"
3,1.8699294732560514,"['squared_epsilon_insensitive', 83, 0.042519504491233595]"
3,1.8699294732560514,"['epsilon_insensitive', 77, 0.04621146070551917]"
3,1.8699294732560514,"['squared_epsilon_insensitive', 7, 0.09076654986583291]"
3,1.8699294732560514,"['squared_loss', 36, 0.05296865466944813]"
3,1.8699294732560514,"['huber', 65, 0.028445527328460583]"
3,1.8699294732560514,"['epsilon_insensitive', 65, 0.05399126419036205]"
3,1.8699294732560514,"['huber', 70, 0.09727836697393626]"
3,1.8699294732560514,"['epsilon_insensitive', 69, 0.05187175238679602]"
