Fold,MAE (kcal/mol),Hyperparameters
1,1.5280659886221322,"['squared_loss', 5, 0.0001]"
1,1.5280659886221322,"['epsilon_insensitive', 11, 0.01355993558859973]"
1,1.5280659886221322,"['squared_epsilon_insensitive', 65, 0.04494457689657454]"
1,1.5280659886221322,"['huber', 99, 0.051575794481323316]"
1,1.5280659886221322,"['epsilon_insensitive', 29, 0.014719058156084886]"
1,1.5280659886221322,"['squared_loss', 66, 0.04514888022798539]"
1,1.5280659886221322,"['squared_epsilon_insensitive', 56, 0.0967717795320818]"
1,1.5280659886221322,"['squared_loss', 81, 0.039553613832853066]"
1,1.5280659886221322,"['squared_loss', 57, 0.021784212043656714]"
1,1.5280659886221322,"['huber', 35, 0.06615800803872536]"
1,1.5280659886221322,"['huber', 15, 0.018588616315671564]"
1,1.5280659886221322,"['epsilon_insensitive', 99, 0.09891790202892174]"
1,1.5280659886221322,"['squared_epsilon_insensitive', 99, 0.001373927166610776]"
1,1.5280659886221322,"['squared_epsilon_insensitive', 7, 0.09915517521620563]"
1,1.5280659886221322,"['huber', 5, 0.09904881064732296]"
1,1.5280659886221322,"['epsilon_insensitive', 97, 0.09908499812451839]"
1,1.5280659886221322,"['huber', 100, 0.0008311301096954691]"
1,1.5280659886221322,"['squared_loss', 6, 0.09835640622036158]"
1,1.5280659886221322,"['squared_epsilon_insensitive', 5, 0.0016504302417429746]"
1,1.5280659886221322,"['epsilon_insensitive', 99, 0.0010804994508000836]"
1,1.5280659886221322,"['squared_loss', 100, 0.0963053182789314]"
1,1.5280659886221322,"['epsilon_insensitive', 6, 0.09820415675112075]"
1,1.5280659886221322,"['squared_epsilon_insensitive', 100, 0.09808675173544464]"
1,1.5280659886221322,"['huber', 6, 0.09978680946007354]"
1,1.5280659886221322,"['huber', 99, 0.0017359418388593576]"
1,1.5280659886221322,"['squared_epsilon_insensitive', 5, 0.0013593623973617306]"
1,1.5280659886221322,"['epsilon_insensitive', 7, 0.00040144971632582706]"
1,1.5280659886221322,"['squared_loss', 100, 0.09873451971945833]"
1,1.5280659886221322,"['squared_loss', 8, 0.0011913534850117669]"
1,1.5280659886221322,"['squared_epsilon_insensitive', 100, 0.0029938657314310404]"
1,1.5280659886221322,"['huber', 6, 0.09934740762051765]"
1,1.5280659886221322,"['epsilon_insensitive', 99, 0.09986790563528349]"
1,1.5280659886221322,"['huber', 98, 0.000925780381284055]"
1,1.5280659886221322,"['squared_epsilon_insensitive', 5, 0.09872758227886005]"
