Fold,MAE (kcal/mol),Hyperparameters
1,3.447937924424772,"['squared_loss', 5, 0.0001]"
1,3.447937924424772,"['squared_epsilon_insensitive', 66, 0.016902437958878806]"
1,3.447937924424772,"['epsilon_insensitive', 24, 0.0696361749425393]"
1,3.447937924424772,"['squared_loss', 32, 0.09218362848322526]"
1,3.447937924424772,"['huber', 33, 0.025512937253530293]"
1,3.447937924424772,"['epsilon_insensitive', 63, 0.07598711592044927]"
1,3.447937924424772,"['epsilon_insensitive', 54, 0.0864299342730081]"
1,3.447937924424772,"['epsilon_insensitive', 40, 0.04262611674211127]"
1,3.447937924424772,"['epsilon_insensitive', 45, 0.0972907162172581]"
1,3.447937924424772,"['squared_epsilon_insensitive', 49, 0.03572292014169457]"
1,3.447937924424772,"['squared_loss', 68, 0.07456323216290875]"
1,3.447937924424772,"['huber', 100, 0.09939664307719046]"
1,3.447937924424772,"['huber', 100, 0.0014592454738147054]"
1,3.447937924424772,"['squared_epsilon_insensitive', 5, 0.09696837886392008]"
1,3.447937924424772,"['squared_loss', 100, 0.0001734533835403655]"
1,3.447937924424772,"['huber', 7, 0.0003826149524946869]"
1,3.447937924424772,"['squared_epsilon_insensitive', 100, 0.0002423556592303394]"
1,3.447937924424772,"['huber', 6, 0.09904143187758573]"
1,3.447937924424772,"['squared_epsilon_insensitive', 99, 0.09918433920549584]"
1,3.447937924424772,"['squared_loss', 99, 0.09968030496769391]"
1,3.447937924424772,"['epsilon_insensitive', 100, 0.0008627045662834205]"
1,3.447937924424772,"['squared_loss', 5, 0.00024022407809552764]"
1,3.447937924424772,"['squared_epsilon_insensitive', 6, 0.0005898463362575611]"
1,3.447937924424772,"['huber', 99, 0.09977428857448885]"
1,3.447937924424772,"['squared_epsilon_insensitive', 6, 0.0998747463001835]"
1,3.447937924424772,"['epsilon_insensitive', 5, 0.002483689658854322]"
1,3.447937924424772,"['squared_loss', 5, 0.09691611767991004]"
1,3.447937924424772,"['huber', 99, 0.0011987390090701044]"
1,3.447937924424772,"['huber', 5, 0.0012912672667367614]"
1,3.447937924424772,"['squared_loss', 99, 0.00027609666116173775]"
1,3.447937924424772,"['squared_epsilon_insensitive', 100, 0.09738664444693153]"
1,3.447937924424772,"['epsilon_insensitive', 100, 0.004048482697712955]"
1,3.447937924424772,"['huber', 7, 0.09909636066944907]"
1,3.447937924424772,"['squared_epsilon_insensitive', 6, 0.001082538055014316]"
1,3.447937924424772,"['squared_loss', 100, 0.09851149396935693]"
1,3.447937924424772,"['epsilon_insensitive', 6, 0.09889548399615429]"
1,3.447937924424772,"['epsilon_insensitive', 99, 0.0006244852699402966]"
1,3.447937924424772,"['squared_loss', 5, 0.0006771700419286787]"
1,3.447937924424772,"['huber', 99, 0.09815362824898158]"
1,3.447937924424772,"['squared_epsilon_insensitive', 100, 0.0026480293040754997]"
1,3.447937924424772,"['huber', 6, 0.00011476871110471375]"
1,3.447937924424772,"['squared_loss', 100, 0.09954491891178517]"
1,3.447937924424772,"['squared_epsilon_insensitive', 6, 0.09956851995636493]"
1,3.447937924424772,"['epsilon_insensitive', 5, 0.09892341838723165]"
1,3.447937924424772,"['squared_epsilon_insensitive', 100, 0.09925250380500054]"
1,3.447937924424772,"['epsilon_insensitive', 99, 0.0019341825943654737]"
1,3.447937924424772,"['squared_loss', 5, 0.001179280064710139]"
1,3.447937924424772,"['huber', 100, 0.00019784238669446258]"
