Fold,MAE (kcal/mol),Hyperparameters
1,0.8744561270263215,"[1, 1, 2, True]"
1,0.8137541668907835,"[921, 2, 10, False]"
1,0.8351192758329268,"[344, 3, 9, False]"
1,0.8339699345775937,"[904, 3, 3, False]"
1,0.7230937828497689,"[374, 4, 7, True]"
1,0.8334925096660672,"[517, 3, 5, False]"
1,0.8709175172214807,"[290, 1, 4, False]"
1,0.8144261620732205,"[184, 2, 5, False]"
1,0.8709175172214809,"[855, 1, 10, False]"
1,0.7322649111312323,"[188, 5, 9, False]"
1,0.8245501707237302,"[198, 2, 3, True]"
1,0.8286016205979617,"[985, 4, 2, False]"
1,0.7052175513221726,"[63, 5, 10, True]"
1,0.7821232235052744,"[999, 3, 10, True]"
1,0.6973507926194977,"[998, 5, 2, True]"
1,0.692728203102386,"[994, 5, 2, True]"
1,0.6931661039011532,"[27, 5, 2, True]"
1,0.7525752060132753,"[7, 5, 2, True]"
1,0.6983371499790463,"[974, 5, 10, True]"
1,0.696712843930319,"[985, 5, 10, True]"
1,0.6949988623634143,"[998, 5, 8, True]"
1,0.7006219813637006,"[998, 5, 9, True]"
1,0.694537857077681,"[996, 5, 10, True]"
1,0.6961774383916983,"[1000, 5, 9, True]"
1,0.6973793394389122,"[1000, 5, 5, True]"
1,0.6954866687823402,"[1000, 5, 5, True]"
1,0.6939937866670308,"[1000, 5, 10, True]"
1,0.6947017015441208,"[1000, 5, 9, True]"
1,0.6943668675487047,"[1000, 5, 8, True]"
1,0.7309885053561563,"[1000, 5, 4, False]"
1,0.7330875624943262,"[999, 4, 9, True]"
1,0.6988547105630133,"[988, 5, 2, True]"
1,0.692105169045442,"[992, 5, 2, True]"
1,0.9833558483908359,"[1, 4, 7, True]"
1,0.7004503358872419,"[335, 5, 3, True]"
1,0.7016393601537108,"[410, 5, 4, True]"
1,0.7000242700839013,"[728, 5, 9, True]"
1,0.6987111838546831,"[810, 5, 10, True]"
1,0.7397301365802282,"[768, 4, 2, True]"
