Fold,MAE (kcal/mol),Hyperparameters
1,2.658112530424432,"[1, 1, 2, True]"
1,2.3353283832012193,"[368, 5, 8, False]"
1,2.5531672897295805,"[108, 2, 7, False]"
1,2.0718606182323307,"[286, 5, 9, True]"
1,2.5644373412386834,"[896, 1, 7, True]"
1,2.532073471366135,"[245, 3, 10, False]"
1,2.127151962007764,"[694, 4, 5, True]"
1,2.3506758777153642,"[630, 5, 5, False]"
1,2.2317088806752468,"[846, 3, 7, True]"
1,2.2358681419770834,"[679, 3, 10, True]"
1,2.5531672897295805,"[271, 2, 8, False]"
1,2.0624030098167614,"[1000, 5, 10, True]"
1,2.0582989833335366,"[1000, 5, 2, True]"
1,2.135409945919456,"[6, 5, 3, True]"
1,2.048783061240045,"[661, 5, 2, True]"
1,2.0563247590619707,"[678, 5, 10, True]"
1,2.0655631186753216,"[556, 5, 2, True]"
1,2.052854192765133,"[767, 5, 10, True]"
1,2.0695786509525287,"[751, 5, 10, True]"
1,2.053789286940719,"[999, 5, 5, True]"
1,2.0613073936687933,"[995, 5, 2, True]"
1,2.0622734212100573,"[719, 5, 2, True]"
1,2.068826087078741,"[983, 5, 10, True]"
1,2.065784587570456,"[662, 5, 2, True]"
1,2.3179758726174726,"[5, 4, 9, True]"
1,2.1348084711602455,"[1000, 4, 7, True]"
1,2.6770695691107176,"[993, 1, 6, False]"
1,2.070249771565373,"[471, 5, 10, True]"
1,2.0498226773572545,"[870, 5, 2, True]"
1,2.042120327335902,"[850, 5, 2, True]"
1,2.0632334059973854,"[852, 5, 2, True]"
1,2.052123413862823,"[405, 5, 2, True]"
1,2.065265871646008,"[406, 5, 2, True]"
1,2.329771340720196,"[4, 5, 9, False]"
1,2.367416988509042,"[999, 4, 8, False]"
1,2.0717272599144283,"[839, 5, 10, True]"
1,2.062678151470473,"[320, 5, 2, True]"
1,2.052284740709902,"[534, 5, 2, True]"
1,2.058486225025764,"[996, 5, 2, True]"
1,2.058341595228801,"[514, 5, 10, True]"
1,2.049399705590643,"[842, 5, 2, True]"
1,2.061492713484579,"[558, 5, 2, True]"
1,2.0442440277821645,"[274, 5, 2, True]"
1,2.0643348532636367,"[268, 5, 2, True]"
1,2.0619228249806563,"[860, 5, 2, True]"
1,2.068117580368928,"[382, 5, 10, True]"
1,2.349936255094802,"[997, 5, 6, False]"
1,2.052816946795075,"[453, 5, 2, True]"
1,2.054452648320449,"[857, 5, 2, True]"
1,2.0667154608115608,"[430, 5, 2, True]"
2,2.699263285643637,"[1, 1, 2, True]"
2,2.704675248324973,"[287, 4, 9, False]"
2,2.118299573849528,"[366, 4, 10, True]"
2,2.0453231517322794,"[408, 5, 7, True]"
2,2.025571790391264,"[840, 5, 6, True]"
2,2.0962888247153395,"[838, 4, 5, True]"
2,2.587359984429334,"[736, 3, 4, False]"
2,2.557530404910925,"[492, 1, 9, True]"
2,2.3479273548404693,"[496, 2, 6, True]"
2,2.2092738472289395,"[521, 3, 5, True]"
2,2.355149630773897,"[682, 2, 8, True]"
2,2.031467337211335,"[1000, 5, 2, True]"
2,2.0347316408546634,"[709, 5, 2, True]"
2,2.8304548216400334,"[1, 1, 2, False]"
2,2.037257453500145,"[1000, 5, 10, True]"
2,2.788727528024237,"[1, 5, 2, True]"
2,2.030687518644716,"[523, 5, 2, True]"
2,2.025762975069218,"[1000, 5, 2, True]"
2,2.0294851197673665,"[1000, 5, 2, True]"
2,2.0402569246718874,"[1000, 5, 2, True]"
2,2.032706805234917,"[1000, 5, 2, True]"
2,2.0410954725585553,"[1000, 5, 2, True]"
