Fold,MAE (kcal/mol),Hyperparameters
1,0.9555338289161819,"[1, 1, 2, True]"
1,0.7738263731372294,"[477, 5, 6, True]"
1,0.8656451930237206,"[299, 1, 9, True]"
1,0.8932100575893316,"[485, 4, 8, False]"
1,0.8580662166505951,"[891, 2, 4, False]"
1,0.8604150365380313,"[260, 3, 3, False]"
1,0.8604150365380308,"[796, 3, 3, False]"
1,0.8141017991256875,"[623, 2, 9, True]"
1,0.8570933554581255,"[945, 1, 4, False]"
1,0.8580662166505943,"[952, 2, 6, False]"
1,0.868695672918942,"[363, 1, 10, True]"
1,0.7800041347975815,"[993, 5, 10, True]"
1,0.8519126383672775,"[1, 4, 8, True]"
1,0.7819533469366139,"[1000, 5, 6, True]"
1,0.7740365191495236,"[635, 5, 10, True]"
1,0.7816575908840881,"[717, 5, 2, True]"
1,0.8642149799287571,"[1000, 1, 9, True]"
1,0.8935435377257029,"[1, 5, 8, False]"
1,0.8570933554581253,"[1, 1, 4, False]"
1,0.8171198564473348,"[40, 3, 10, True]"
1,0.8812007962781613,"[954, 5, 2, False]"
1,0.8077630882878031,"[996, 3, 2, True]"
1,0.8825409327863822,"[4, 2, 2, True]"
1,0.8604150365380313,"[24, 3, 10, False]"
1,0.7908697772844588,"[995, 4, 2, True]"
1,0.8570933554581253,"[24, 1, 10, False]"
1,0.792648807992915,"[11, 5, 8, True]"
1,0.772096749620233,"[1000, 5, 2, True]"
1,1.0658465841586813,"[1, 5, 4, True]"
1,0.8251127666167308,"[9, 5, 9, True]"
1,0.8857105866812146,"[1, 2, 6, True]"
1,0.8137169744969798,"[14, 5, 7, True]"
1,0.8759939378559488,"[11, 5, 5, False]"
1,0.8570933554581255,"[955, 1, 2, False]"
1,0.8570933554581253,"[20, 1, 7, False]"
1,0.8570933554581253,"[990, 1, 9, False]"
1,0.7724556350294401,"[186, 5, 6, True]"
1,0.7810833327336367,"[919, 5, 10, True]"
1,0.7917621770744281,"[979, 4, 3, True]"
1,0.9017368150366274,"[1, 5, 6, False]"
1,0.8570933554581253,"[979, 1, 5, False]"
1,0.7764013976133559,"[1000, 5, 3, True]"
1,0.9495861825224158,"[1, 5, 10, True]"
1,0.7769690808667411,"[1000, 5, 10, True]"
1,0.7818700737093923,"[706, 5, 9, True]"
1,0.7818812633679509,"[597, 5, 7, True]"
1,0.7731200066767839,"[592, 5, 7, True]"
1,0.7791108435282275,"[1000, 5, 5, True]"
1,0.7744548189603584,"[653, 5, 7, True]"
1,0.7717775535054714,"[1000, 5, 7, True]"
1,0.7920359425316034,"[701, 4, 10, True]"
1,0.816615785365593,"[1000, 2, 6, True]"
1,0.7895424490024888,"[261, 5, 7, True]"
1,0.7775515233716319,"[1000, 5, 10, True]"
1,0.8815765251895438,"[1000, 5, 10, False]"
1,0.777905241117816,"[1000, 5, 8, True]"
1,0.8088610824491927,"[1000, 3, 7, True]"
1,0.7855993841758003,"[409, 5, 8, True]"
1,0.86306697017697,"[1000, 1, 4, True]"
1,0.781457931954494,"[1000, 5, 2, True]"
1,0.7832378593189073,"[1000, 5, 2, True]"
1,0.7786186021522051,"[1000, 5, 2, True]"
1,0.7771497794877955,"[1000, 5, 7, True]"
1,0.8772270380701057,"[1000, 5, 5, False]"
1,0.8570933554581253,"[1, 1, 2, False]"
2,0.9468306489262371,"[1, 1, 2, True]"
2,0.8461324702384181,"[190, 4, 10, False]"
2,0.9174044806971026,"[268, 2, 9, False]"
2,0.8949803069107132,"[834, 5, 9, False]"
2,0.9282226437141379,"[526, 1, 7, True]"
2,0.8870854058653272,"[667, 3, 4, True]"
2,0.9174044806971028,"[31, 2, 6, False]"
2,0.8885286269016607,"[353, 3, 6, False]"
2,0.8796364258812307,"[504, 4, 7, True]"
2,0.8664378278060072,"[807, 4, 3, True]"
2,0.8893411969400218,"[506, 3, 9, False]"
2,0.9067044231360123,"[18, 5, 2, True]"
2,0.8310424097073069,"[997, 4, 2, False]"
2,0.8925660826270515,"[3, 4, 2, False]"
2,0.9465769192236366,"[1000, 1, 2, False]"
2,0.8701876512657816,"[999, 4, 8, True]"
2,0.8871864439908254,"[998, 5, 5, False]"
2,0.8471973428691032,"[998, 4, 10, False]"
2,0.8326610767672876,"[1000, 4, 7, False]"
2,0.8480410347777613,"[1000, 4, 10, False]"
2,0.8340361924130785,"[1000, 4, 4, False]"
2,0.8279328158135097,"[1000, 4, 2, False]"
2,0.9020488612502784,"[999, 2, 5, True]"
2,0.8881561032794958,"[1000, 3, 2, False]"
2,0.9233281420360699,"[1, 5, 10, False]"
2,0.8552246867959896,"[1000, 5, 2, True]"
2,0.9465769192236357,"[38, 1, 10, False]"
2,0.883913518590524,"[19, 3, 10, True]"
2,0.8595923676285644,"[990, 5, 10, True]"
2,0.915022889501447,"[26, 2, 10, True]"
2,0.8331168670505475,"[689, 4, 5, False]"
2,0.8482695402021907,"[996, 4, 10, False]"
2,0.8845915470004443,"[999, 3, 10, True]"
2,0.8852386365031738,"[13, 5, 10, True]"
2,0.8389867162525426,"[758, 4, 2, False]"
2,0.9268214389273978,"[999, 1, 2, True]"
2,0.8547351174075538,"[13, 4, 10, True]"
2,0.9841534406613852,"[5, 3, 2, True]"
2,0.8879807724446116,"[2, 3, 10, False]"
2,0.8374981420138519,"[627, 4, 8, False]"
2,0.9243946629523747,"[999, 1, 10, True]"
2,0.8859793125915149,"[995, 3, 2, True]"
2,0.8496709239201996,"[989, 5, 6, True]"
2,0.891937716694023,"[384, 5, 2, False]"
2,0.8927946801042194,"[4, 4, 8, False]"
2,0.8291984604987184,"[992, 4, 2, False]"
2,0.8577475492185244,"[588, 5, 10, True]"
2,0.8684167079025495,"[526, 4, 10, True]"
2,0.8319113399470381,"[424, 4, 5, False]"
2,0.8538090363041954,"[410, 4, 10, False]"
2,0.8336557104916889,"[730, 4, 2, False]"
2,0.8330792759439196,"[800, 4, 5, False]"
2,0.8321026261567691,"[984, 4, 2, False]"
2,0.8387885499858874,"[620, 4, 2, False]"
2,0.8455903046802776,"[655, 5, 2, True]"
2,0.9174044806971038,"[969, 2, 10, False]"
2,0.8338492740285632,"[999, 4, 5, False]"
2,0.8329241661504669,"[450, 4, 2, False]"
2,0.8801218355709611,"[435, 3, 10, True]"
2,0.9377748705947462,"[3, 1, 10, True]"
2,0.9465769192236362,"[289, 1, 2, False]"
2,0.893460591661814,"[988, 3, 10, False]"
2,0.8390506766867779,"[442, 4, 2, False]"
2,0.9038490991335865,"[657, 2, 10, True]"
2,0.9465769192236366,"[998, 1, 10, False]"
3,1.0128571826913662,"[1, 1, 2, True]"
3,0.955955873275371,"[206, 2, 8, True]"
3,1.0214371619035556,"[969, 4, 8, False]"
3,1.0217459146517505,"[93, 4, 7, False]"
3,0.986227662883662,"[15, 3, 7, True]"
3,0.9521506069080194,"[162, 4, 4, True]"
3,1.038357588168649,"[199, 1, 7, False]"
3,0.9373830118838944,"[454, 5, 3, True]"
3,1.0409148590211728,"[159, 2, 4, False]"
3,0.9742427829802194,"[358, 1, 7, True]"
3,0.9627834536212997,"[259, 2, 8, True]"
3,0.9498603760160073,"[326, 5, 10, True]"
3,0.9414492986541793,"[1000, 5, 8, True]"
3,0.9412617433035941,"[1000, 5, 10, True]"
3,0.9442770664160217,"[1000, 5, 10, True]"
3,0.9456432379913681,"[717, 5, 2, True]"
3,0.9726551240378518,"[1000, 1, 9, True]"
3,0.9451342994479163,"[967, 5, 2, True]"
3,0.9867676698570941,"[19, 5, 6, True]"
3,0.950052466703105,"[525, 4, 10, True]"
3,1.0207615923766291,"[503, 5, 2, False]"
3,0.9423148113981787,"[775, 5, 10, True]"
3,0.9469593163629384,"[405, 5, 2, True]"
3,0.9470047177737339,"[784, 3, 2, True]"
3,0.9433804112717938,"[656, 5, 10, True]"
3,0.9503755735121022,"[996, 4, 2, True]"
3,0.950901426503115,"[533, 3, 2, True]"
3,1.0383575881686489,"[1000, 1, 6, False]"
3,0.9475319875047896,"[842, 5, 2, True]"
3,0.9727576899876281,"[700, 1, 10, True]"
3,0.937173068388377,"[559, 5, 10, True]"
3,0.9399556505029742,"[413, 5, 10, True]"
3,0.9348417305315521,"[582, 5, 2, True]"
3,0.953295633466692,"[332, 5, 2, True]"
3,0.9484974767278048,"[721, 5, 10, True]"
3,0.9532519855321913,"[1000, 3, 10, True]"
3,0.944660054614916,"[474, 4, 10, True]"
3,0.945003906868449,"[996, 5, 2, True]"
3,0.9439403246869784,"[555, 5, 2, True]"
3,0.9491860298365873,"[791, 4, 10, True]"
3,0.9513424063852794,"[412, 3, 2, True]"
3,0.9410456007023319,"[1000, 5, 2, True]"
3,0.940880142172464,"[853, 5, 10, True]"
3,0.9393238699158685,"[560, 5, 10, True]"
3,0.9417204325148104,"[336, 4, 10, True]"
3,1.03835758816865,"[616, 1, 9, False]"
3,0.950266127308602,"[626, 4, 10, True]"
3,0.9508203340535109,"[281, 5, 10, True]"
3,0.9508109669161983,"[997, 3, 3, True]"
3,0.9478857822290678,"[359, 4, 2, True]"
3,0.941378237913024,"[998, 5, 10, True]"
3,0.9419121146557851,"[834, 5, 2, True]"
3,0.9407771323624217,"[515, 5, 2, True]"
3,0.9441262208407168,"[883, 4, 10, True]"
3,1.0224593481928665,"[4, 5, 3, False]"
3,0.9424611145796044,"[504, 5, 10, True]"
3,0.949294446958539,"[848, 3, 10, True]"
3,1.0383575881686489,"[5, 1, 7, False]"
3,0.9482568366124984,"[663, 4, 2, True]"
3,0.9462684769548644,"[313, 3, 10, True]"
3,1.02050935527956,"[999, 5, 4, False]"
3,0.9447479160631183,"[865, 5, 10, True]"
3,0.9584987122893414,"[842, 2, 2, True]"
3,0.9500358067337139,"[235, 4, 2, True]"
3,0.9559929847279348,"[547, 2, 10, True]"
4,1.0870236680530798,"[1, 1, 2, True]"
4,1.0933406369730858,"[944, 4, 7, False]"
4,1.0621526029766746,"[896, 1, 7, False]"
4,1.0931095193579774,"[936, 4, 3, False]"
4,1.0186040691123506,"[228, 1, 6, True]"
4,0.9685146126107331,"[732, 4, 7, True]"
4,1.0940349907777611,"[634, 4, 9, False]"
4,0.9708715005373478,"[719, 4, 5, True]"
4,1.0621526029766746,"[225, 1, 8, False]"
4,0.9849146843094727,"[935, 3, 4, True]"
4,1.0649257542088388,"[24, 2, 5, False]"
4,1.0193819804115183,"[653, 1, 10, True]"
4,0.9661576450256102,"[989, 5, 10, True]"
4,0.9601917307788528,"[1000, 5, 6, True]"
4,0.9680694211024242,"[435, 5, 2, True]"
4,0.9601883068234475,"[805, 5, 2, True]"
4,0.9592893800168042,"[619, 5, 10, True]"
4,0.9598504214468991,"[222, 5, 10, True]"
4,1.0718607866474432,"[1, 5, 8, True]"
4,0.9628239146903061,"[301, 5, 10, True]"
4,0.9584299948535967,"[701, 5, 2, True]"
4,0.9615464461397574,"[894, 5, 10, True]"
4,1.141800472100082,"[211, 5, 2, False]"
