Fold,MAE (kcal/mol),Hyperparameters
1,2.665018644400435,"[1, 1, 2, True]"
1,2.159167818520889,"[548, 3, 10, True]"
1,1.9885613329528904,"[448, 5, 4, True]"
1,2.2990471998446433,"[537, 2, 2, True]"
1,2.070565604951102,"[545, 4, 5, True]"
1,2.114903741059497,"[294, 5, 6, False]"
1,2.408138927965061,"[296, 1, 6, True]"
1,2.0866940791947166,"[378, 4, 5, False]"
1,2.4219436218407226,"[89, 2, 4, False]"
1,2.476064127949315,"[647, 1, 4, False]"
1,2.0866940791947157,"[683, 4, 3, False]"
1,1.9779441389832682,"[1000, 5, 10, True]"
1,1.9856312781207435,"[693, 5, 10, True]"
1,1.9863704392543664,"[1000, 5, 10, True]"
1,2.118785601055716,"[566, 5, 10, False]"
1,1.9816766878269307,"[1000, 5, 2, True]"
1,1.992677041105636,"[1000, 5, 2, True]"
1,2.1560591647705216,"[982, 3, 2, True]"
1,1.972925820382969,"[849, 5, 10, True]"
1,2.4573057034438475,"[1, 5, 10, True]"
1,2.1191743815537754,"[1000, 5, 10, False]"
1,1.9718928213949873,"[349, 5, 10, True]"
1,1.9754760505081301,"[782, 5, 2, True]"
1,2.0504041811256233,"[349, 4, 10, True]"
1,1.9900060493364597,"[911, 5, 10, True]"
1,2.0678501213963383,"[787, 4, 10, True]"
1,1.9836481332544524,"[371, 5, 2, True]"
1,1.9832169709732586,"[785, 5, 10, True]"
1,1.979467133050092,"[301, 5, 2, True]"
1,2.476064127949299,"[1000, 1, 5, False]"
1,1.9650970064485163,"[349, 5, 10, True]"
1,2.116505947171711,"[802, 5, 2, False]"
1,1.9695350641508838,"[591, 5, 9, True]"
1,1.9812937405522209,"[632, 5, 2, True]"
1,1.9940047934098817,"[518, 5, 10, True]"
1,1.9833673572294108,"[287, 5, 9, True]"
1,2.061891790590419,"[1000, 4, 8, True]"
1,1.979688537145131,"[347, 5, 10, True]"
1,1.9759188037082955,"[899, 5, 2, True]"
1,2.2050831944121283,"[1000, 3, 6, False]"
1,1.9636269926566043,"[703, 5, 2, True]"
1,1.9524919688002433,"[733, 5, 2, True]"
1,2.4219436218407218,"[381, 2, 10, False]"
1,2.1371597386966465,"[2, 5, 10, False]"
1,2.4174414887095543,"[1000, 1, 8, True]"
1,2.086694079194719,"[140, 4, 3, False]"
1,2.0866940791947175,"[2, 4, 9, False]"
1,2.2050831944121256,"[761, 3, 10, False]"
1,2.1681391767462452,"[222, 3, 2, True]"
1,1.9700614951696422,"[699, 5, 10, True]"
2,2.781926708697204,"[1, 1, 2, True]"
2,2.4913373423903713,"[573, 2, 8, False]"
2,2.5180298786181097,"[911, 1, 6, False]"
2,2.2248743740520758,"[179, 3, 6, True]"
2,2.9535057551994828,"[83, 4, 4, False]"
2,2.5826261116764067,"[868, 3, 7, False]"
2,2.4546195635527197,"[700, 1, 7, True]"
2,2.1156079017372065,"[501, 5, 7, True]"
2,2.491337342390372,"[999, 2, 4, False]"
2,2.954950222142888,"[631, 4, 7, False]"
2,2.2124898012474676,"[822, 3, 7, True]"
2,2.4966349568081374,"[1, 4, 10, True]"
2,2.1197644147745334,"[507, 5, 2, True]"
2,2.6131281663220243,"[1, 5, 10, True]"
2,2.1793130192684336,"[488, 4, 10, True]"
2,2.1141293552999896,"[835, 5, 10, True]"
2,2.1144596169078373,"[661, 5, 10, True]"
2,2.177691204344417,"[1000, 4, 10, True]"
2,2.1336297152493846,"[1000, 5, 10, True]"
2,2.5180298786181146,"[1, 1, 3, False]"
2,2.2369852456061046,"[474, 3, 10, True]"
2,2.3110460779698117,"[1000, 2, 10, True]"
2,2.120875321534063,"[758, 5, 10, True]"
2,2.1828674769792222,"[765, 4, 10, True]"
2,2.1460552174933896,"[577, 5, 10, True]"
2,2.11679321117806,"[761, 5, 4, True]"
2,2.120825779316962,"[876, 5, 2, True]"
2,2.1276391732568554,"[401, 5, 2, True]"
2,2.167140873265754,"[313, 4, 2, True]"
2,2.126361865885275,"[804, 5, 2, True]"
2,2.1396108504209943,"[894, 5, 10, True]"
2,2.1189705371716925,"[702, 5, 2, True]"
2,2.863522665763052,"[1000, 5, 5, False]"
2,2.1358743310901667,"[439, 5, 10, True]"
2,2.1127124050795203,"[695, 5, 2, True]"
2,2.5180298786181154,"[378, 1, 3, False]"
2,2.1360060160896226,"[653, 5, 2, True]"
2,2.1145405730419538,"[1000, 5, 2, True]"
2,2.111262632784081,"[1000, 5, 2, True]"
2,2.1299342537143824,"[1000, 5, 2, True]"
2,2.111332742330061,"[756, 5, 2, True]"
2,2.0965166559924877,"[790, 5, 2, True]"
2,2.445976197296338,"[1000, 1, 6, True]"
2,2.3062838143556674,"[355, 2, 2, True]"
2,2.112900524897309,"[321, 5, 3, True]"
2,2.110279108009174,"[319, 5, 10, True]"
2,2.1099462649737912,"[363, 5, 2, True]"
2,2.124234886694936,"[274, 5, 2, True]"
2,2.121005138084779,"[363, 5, 10, True]"
2,2.212743751483501,"[656, 3, 2, True]"
3,2.742514968088335,"[1, 1, 2, True]"
3,2.5458790205893203,"[949, 3, 5, False]"
3,2.5458790205893274,"[404, 3, 7, False]"
3,2.5849884834316548,"[720, 2, 7, False]"
3,2.445119619380972,"[886, 4, 6, False]"
3,2.250469636491426,"[87, 4, 7, True]"
3,2.545879020589323,"[605, 3, 7, False]"
3,2.727421321469764,"[710, 1, 7, False]"
3,2.5458790205893287,"[26, 3, 8, False]"
3,2.3344087902598125,"[149, 3, 6, True]"
3,2.3200428500349353,"[261, 3, 7, True]"
3,2.203544945404286,"[972, 5, 10, True]"
3,2.17818882633093,"[1000, 5, 2, True]"
3,2.2486702210471825,"[24, 5, 2, True]"
3,2.2356729904353005,"[1000, 4, 2, True]"
3,2.2535361326069503,"[1000, 4, 10, True]"
3,2.1931344147964893,"[1000, 5, 2, True]"
3,2.178101154193136,"[1000, 5, 2, True]"
3,2.1842500629820547,"[1000, 5, 2, True]"
3,2.181313471231951,"[1000, 5, 2, True]"
3,2.1833934701620104,"[1000, 5, 2, True]"
3,2.191468682801825,"[1000, 5, 2, True]"
3,2.4665662940853013,"[1000, 5, 2, False]"
3,2.4548750660680607,"[998, 2, 2, True]"
3,2.333509599747409,"[998, 3, 2, True]"
3,2.2004303196598896,"[966, 5, 10, True]"
3,2.206900611016734,"[996, 5, 2, True]"
3,2.1870636435985262,"[985, 5, 10, True]"
3,2.20201139590225,"[971, 5, 10, True]"
3,2.1957077957300704,"[992, 5, 2, True]"
3,2.17487476428664,"[998, 5, 9, True]"
3,2.196402105608021,"[997, 5, 10, True]"
3,2.2508455814960646,"[25, 5, 10, True]"
3,2.923057504026492,"[1, 4, 3, True]"
3,2.4668883758780176,"[1000, 5, 10, False]"
3,2.212780687745541,"[109, 5, 2, True]"
3,2.4502847114593345,"[79, 5, 2, False]"
3,2.1922734946160856,"[851, 5, 10, True]"
3,2.24244876066636,"[865, 4, 3, True]"
3,2.1900831809383963,"[448, 5, 9, True]"
3,2.19849774167047,"[1000, 5, 8, True]"
3,2.245134405352985,"[1000, 4, 6, True]"
3,2.214580628449087,"[365, 5, 3, True]"
3,2.19624780050733,"[285, 5, 8, True]"
3,2.221022033177739,"[27, 4, 10, True]"
3,2.6288837164650944,"[1000, 1, 10, True]"
3,2.225808922846483,"[314, 5, 7, True]"
3,2.266765288059377,"[436, 4, 9, True]"
3,2.2000150149994044,"[551, 5, 2, True]"
3,2.2443201085043274,"[1000, 4, 4, True]"
4,3.374637819493054,"[1, 1, 2, True]"
4,2.6677892121315505,"[854, 2, 6, False]"
4,2.2793084664758405,"[364, 5, 9, True]"
4,2.576730013597707,"[73, 3, 7, False]"
4,2.6677892121315527,"[176, 2, 9, False]"
4,2.69930656711018,"[486, 4, 4, False]"
4,2.8710906626063837,"[16, 5, 9, False]"
4,2.568178319687684,"[923, 2, 7, True]"
4,2.8126185131084247,"[585, 1, 4, True]"
4,2.434072349442836,"[576, 3, 3, True]"
4,2.8770846489336526,"[624, 5, 6, False]"
4,2.2993671344815967,"[801, 5, 3, True]"
4,2.3461632156664654,"[590, 4, 10, True]"
4,2.8605689673955252,"[1, 5, 2, True]"
4,2.2890157631464376,"[575, 5, 2, True]"
4,2.2840456150075763,"[572, 5, 10, True]"
4,2.282929771808098,"[1000, 5, 10, True]"
4,2.2782931146822953,"[448, 5, 10, True]"
4,2.3445784125395925,"[1000, 4, 10, True]"
4,2.3432489592794163,"[389, 4, 10, True]"
4,2.285965111147578,"[924, 5, 10, True]"
4,2.8411891715362985,"[1000, 1, 2, False]"
4,2.6995122602549206,"[1000, 4, 4, False]"
4,2.8411891715362945,"[1, 1, 7, False]"
4,2.2740405850500944,"[413, 5, 2, True]"
4,2.3503126929559643,"[821, 4, 10, True]"
4,2.2972461324631435,"[996, 5, 2, True]"
4,2.2977524220628607,"[685, 5, 10, True]"
4,2.3110811070461854,"[440, 5, 10, True]"
4,2.2997964625983407,"[471, 5, 2, True]"
4,2.2970800923181,"[893, 5, 10, True]"
4,2.282339031013449,"[1000, 5, 10, True]"
4,2.2987692485974627,"[361, 5, 2, True]"
4,2.2920821148431174,"[1000, 5, 3, True]"
4,2.289546080806827,"[489, 5, 10, True]"
4,2.295545990584532,"[705, 5, 10, True]"
4,2.8411891715362962,"[566, 1, 2, False]"
4,2.2941811512148953,"[922, 5, 2, True]"
4,2.296354465273291,"[999, 5, 10, True]"
4,2.310209529973925,"[340, 5, 10, True]"
4,2.286774120200681,"[447, 5, 2, True]"
4,2.285184448530656,"[630, 5, 2, True]"
4,2.308094905080824,"[526, 5, 2, True]"
4,2.2801546997095024,"[795, 5, 10, True]"
4,2.309822453820469,"[763, 5, 2, True]"
4,2.288067423841971,"[905, 5, 10, True]"
4,2.3135889750721237,"[408, 5, 10, True]"
4,2.297968653803089,"[625, 5, 10, True]"
4,2.280020763269408,"[999, 5, 9, True]"
4,2.2884778224568647,"[908, 5, 2, True]"
5,2.479391474538533,"[1, 1, 2, True]"
5,2.26697722211651,"[273, 2, 4, True]"
5,2.3530381531260485,"[172, 3, 7, False]"
5,2.018422511465736,"[743, 4, 7, True]"
5,2.113530361573754,"[870, 3, 3, True]"
5,2.008436315534544,"[504, 4, 5, True]"
5,2.341580978613849,"[202, 2, 3, False]"
5,2.341580978613851,"[29, 2, 4, False]"
5,2.132196955231501,"[337, 3, 8, True]"
5,2.261062320839067,"[647, 2, 5, True]"
5,2.352175481442388,"[450, 3, 7, False]"
5,1.9386739729101414,"[1000, 5, 2, True]"
5,2.3433817693101577,"[1, 5, 10, True]"
5,2.522050321730602,"[976, 5, 2, False]"
