Fold,MAE (kcal/mol),Hyperparameters
1,0.9644337058290546,"[1, 1, 2, True]"
1,0.8644062407073956,"[116, 2, 10, False]"
1,0.7715214332261072,"[280, 3, 8, True]"
1,0.7679541081080563,"[430, 3, 9, True]"
1,0.8240195143844377,"[392, 2, 2, True]"
1,0.8313705699671177,"[444, 1, 7, False]"
1,0.732894602830497,"[164, 4, 3, True]"
1,0.7985345915440963,"[890, 5, 7, False]"
1,0.7728448623792721,"[881, 3, 8, True]"
1,0.7290890026058147,"[589, 4, 3, True]"
1,0.7983354444366141,"[478, 5, 4, False]"
1,0.7878497128352815,"[1000, 4, 9, False]"
1,0.6752224504132783,"[999, 5, 10, True]"
1,0.7019962927377812,"[14, 5, 2, True]"
1,0.6758813130695879,"[42, 5, 10, True]"
1,0.7933728401985242,"[998, 3, 2, False]"
1,0.7229301801034491,"[971, 4, 10, True]"
1,0.6767417007182476,"[996, 5, 10, True]"
1,0.666943623209133,"[19, 5, 10, True]"
1,0.8138795919974416,"[1, 3, 10, False]"
1,0.6774776557269796,"[9, 5, 10, True]"
1,0.818139514513195,"[998, 2, 10, True]"
1,0.6748615117963231,"[951, 5, 10, True]"
1,0.7877513374851408,"[14, 4, 2, False]"
1,0.7897345728148057,"[4, 5, 10, True]"
1,0.6737076169770111,"[1000, 5, 4, True]"
1,0.6781592341824684,"[1000, 5, 5, True]"
1,0.6751803480939833,"[1000, 5, 3, True]"
1,0.6740660530619155,"[1000, 5, 2, True]"
1,0.6753993917324809,"[1000, 5, 3, True]"
1,0.6820138032522538,"[1000, 5, 3, True]"
1,0.6770200590651426,"[1000, 5, 3, True]"
1,0.6727405028131425,"[998, 5, 3, True]"
1,0.6741268825463117,"[995, 5, 9, True]"
1,0.6720924225576679,"[999, 5, 7, True]"
1,0.6721180068126023,"[999, 5, 8, True]"
1,0.7225902558650549,"[28, 5, 10, True]"
1,0.6930859849608859,"[52, 5, 10, True]"
1,0.6775306173843428,"[997, 5, 10, True]"
1,0.7926251665093516,"[946, 4, 7, False]"
1,0.6725624204320251,"[998, 5, 3, True]"
1,0.7908178170472919,"[46, 5, 9, False]"
1,0.6797193507508346,"[998, 5, 2, True]"
1,0.6750829136116089,"[992, 5, 3, True]"
1,0.6774165576745422,"[996, 5, 3, True]"
1,0.6744110307538888,"[992, 5, 10, True]"
1,0.8727301252468005,"[45, 1, 6, True]"
1,0.6735406211001068,"[963, 5, 10, True]"
1,0.6769788890770778,"[1000, 5, 10, True]"
1,0.7743520107509574,"[957, 3, 2, True]"
1,0.6753682492707057,"[999, 5, 8, True]"
1,0.7928321964401555,"[641, 3, 9, False]"
1,0.6766511673138824,"[999, 5, 2, True]"
1,0.8620544201286692,"[763, 1, 5, True]"
1,0.6775021667366673,"[986, 5, 10, True]"
1,0.6784549706279304,"[1000, 5, 2, True]"
1,0.8313705699671178,"[550, 1, 5, False]"
1,0.6790761438595976,"[998, 5, 10, True]"
1,0.8313705699671177,"[208, 1, 3, False]"
1,0.6733488182804622,"[994, 5, 9, True]"
1,0.7933719515311741,"[978, 5, 9, False]"
1,0.6717015017496546,"[998, 5, 2, True]"
1,0.6743192175391276,"[999, 5, 9, True]"
1,0.6781277882971294,"[699, 5, 3, True]"
1,0.6782008565896894,"[996, 5, 10, True]"
2,0.9577145376351826,"[1, 1, 2, True]"
2,0.9023512929314826,"[116, 5, 9, False]"
2,0.8897891223258969,"[816, 2, 10, False]"
2,0.89679285869503,"[761, 3, 2, False]"
2,0.8897891223258972,"[527, 2, 5, False]"
2,0.8924951790633784,"[442, 2, 10, True]"
2,0.8981197946920556,"[463, 2, 4, True]"
2,0.8025825864163227,"[548, 4, 7, True]"
2,0.9018350867123986,"[166, 5, 4, False]"
