Fold,MAE (kcal/mol),Hyperparameters
1,2.4862746667535927,"[1, 1, 2, True]"
1,1.2614693156576342,"[551, 5, 7, True]"
1,1.9489009258023957,"[970, 2, 10, True]"
1,2.1590644661401983,"[903, 2, 5, False]"
1,1.7337979781141515,"[67, 3, 7, True]"
1,2.1590644661402023,"[548, 2, 10, False]"
1,1.5174162164208453,"[186, 4, 5, False]"
1,2.3073732477679716,"[822, 1, 6, True]"
1,2.1590644661401996,"[974, 2, 5, False]"
1,1.9611073696976153,"[922, 2, 3, True]"
1,2.1590644661401988,"[784, 2, 5, False]"
1,1.2681530741499976,"[1000, 5, 10, True]"
1,1.4391181261078427,"[1, 5, 10, False]"
1,1.691104205281155,"[1, 5, 10, True]"
1,1.439118126107845,"[712, 5, 10, False]"
1,1.259422931457585,"[752, 5, 10, True]"
1,1.4203042541801627,"[711, 4, 2, True]"
1,1.251649508927381,"[655, 5, 2, True]"
1,1.2524264160608538,"[577, 5, 2, True]"
1,1.2650157701256108,"[571, 5, 2, True]"
1,1.2467935974648248,"[583, 5, 2, True]"
1,1.264923822462742,"[576, 5, 2, True]"
1,1.2467954113613993,"[581, 5, 2, True]"
1,1.250627004705594,"[579, 5, 2, True]"
1,1.260531134271639,"[576, 5, 2, True]"
1,1.2691530962091218,"[578, 5, 2, True]"
1,1.2689089210167273,"[582, 5, 2, True]"
1,1.266546145599987,"[583, 5, 2, True]"
1,1.2710117976276953,"[582, 5, 2, True]"
1,1.2683481075693022,"[584, 5, 2, True]"
1,1.2673477327331992,"[582, 5, 2, True]"
1,1.2615865090827278,"[582, 5, 2, True]"
1,1.2792781560167918,"[580, 5, 2, True]"
1,1.2618993403018812,"[588, 5, 2, True]"
1,1.272881813588116,"[580, 5, 10, True]"
1,1.2811822290703883,"[818, 5, 2, True]"
1,1.4327142599102016,"[344, 5, 2, False]"
1,1.2700083199523367,"[1000, 5, 8, True]"
1,1.2740438279991546,"[1000, 5, 5, True]"
1,1.2842208087205453,"[1000, 5, 10, True]"
1,1.2526065211941801,"[1000, 5, 2, True]"
1,1.2738709757932316,"[1000, 5, 2, True]"
1,1.2770500273445047,"[1000, 5, 2, True]"
1,1.2554462870374046,"[1000, 5, 2, True]"
1,1.2601097078520984,"[1000, 5, 2, True]"
1,1.2470224978260058,"[1000, 5, 2, True]"
1,1.261966163156119,"[1000, 5, 2, True]"
1,1.2705098973256062,"[1000, 5, 2, True]"
1,1.2588696988219297,"[1000, 5, 2, True]"
1,1.2665202756388272,"[1000, 5, 2, True]"
2,2.48713868274847,"[1, 1, 2, True]"
2,1.560801693424284,"[352, 4, 5, True]"
2,2.0934487219918307,"[161, 3, 3, False]"
2,1.8208259814914558,"[437, 3, 7, True]"
2,1.5484807934313445,"[585, 4, 5, True]"
2,1.5438528379679646,"[178, 4, 2, True]"
2,2.4498000716615906,"[534, 1, 8, True]"
2,2.3693251074527106,"[369, 2, 5, False]"
2,1.700108290242645,"[563, 5, 6, False]"
2,2.2045744368731683,"[366, 2, 8, True]"
2,1.7984413514119775,"[684, 3, 8, True]"
2,1.4166937420871653,"[1000, 5, 2, True]"
2,1.9050057886536476,"[1, 5, 10, True]"
2,1.4081454164743805,"[1000, 5, 2, True]"
2,1.787961483086747,"[1, 5, 2, True]"
2,1.4205131479588216,"[1000, 5, 2, True]"
2,1.4141291114085401,"[1000, 5, 2, True]"
2,1.7030018245596492,"[1000, 5, 2, False]"
2,1.4182635673968698,"[1000, 5, 2, True]"
2,1.4188873424200077,"[1000, 5, 2, True]"
