Fold,MAE (kcal/mol),Hyperparameters
1,0.8622652646917354,"[1, 1, 2, True]"
1,0.8566902291955358,"[719, 1, 8, True]"
1,0.8212653243776554,"[745, 4, 4, False]"
1,0.8282762610588926,"[730, 2, 2, False]"
1,0.8214401645304608,"[244, 4, 10, False]"
1,0.8493339372034164,"[65, 1, 6, True]"
1,0.753979387689887,"[683, 4, 4, True]"
1,0.8053498464817772,"[22, 3, 5, True]"
1,0.7441856268990472,"[343, 4, 9, True]"
1,0.8320708717790957,"[311, 3, 9, False]"
1,0.779666709747449,"[163, 5, 4, False]"
1,0.8726580629835315,"[1, 5, 10, True]"
1,0.7090478621938834,"[994, 5, 2, True]"
1,0.7181607327687503,"[1000, 5, 2, True]"
1,0.7184534498305707,"[678, 5, 9, True]"
1,0.8584719206787987,"[1, 1, 3, False]"
1,0.7199767953375191,"[853, 5, 10, True]"
1,0.7821179728293713,"[1000, 5, 9, False]"
1,0.8584719206787984,"[1000, 1, 9, False]"
1,0.7575427702130899,"[1000, 4, 7, True]"
1,0.7186777426592263,"[504, 5, 2, True]"
1,0.773683704598181,"[506, 5, 2, False]"
1,0.7939450853522414,"[405, 3, 2, True]"
1,0.8584719206787986,"[470, 1, 9, False]"
1,0.8218216716688366,"[1000, 2, 4, True]"
1,0.7208945591300754,"[999, 5, 10, True]"
1,0.7187345178011925,"[755, 5, 2, True]"
1,0.7196365822076609,"[561, 5, 10, True]"
1,0.8336009895282324,"[1000, 3, 7, False]"
1,0.8498739587159067,"[1, 3, 5, False]"
1,0.7211646320033436,"[396, 5, 2, True]"
1,0.723382374762507,"[882, 5, 2, True]"
1,0.7217303131714189,"[577, 5, 2, True]"
1,0.7172366842398087,"[344, 5, 9, True]"
1,0.7149459529017717,"[271, 5, 2, True]"
1,0.7226100919277441,"[419, 5, 6, True]"
1,0.757227717069374,"[202, 4, 3, True]"
1,0.7272819727515926,"[1000, 5, 6, True]"
1,0.7235006675551806,"[275, 5, 10, True]"
1,0.789955636623541,"[813, 3, 2, True]"
1,0.7185829245174645,"[685, 5, 2, True]"
1,0.7714103299790877,"[334, 5, 2, False]"
1,0.7739303888883702,"[763, 5, 3, False]"
1,0.7220066524611861,"[775, 5, 10, True]"
1,0.8243270812784498,"[225, 2, 10, True]"
1,0.7577504175673843,"[512, 4, 2, True]"
1,0.7179093548493432,"[915, 5, 2, True]"
1,0.7176292183675494,"[335, 5, 2, True]"
1,0.8575123580731678,"[409, 1, 2, True]"
1,0.7212022520528053,"[647, 5, 10, True]"
2,0.9926906985970354,"[1, 1, 2, True]"
2,0.8881357750096726,"[67, 3, 8, False]"
2,0.810128621396196,"[842, 3, 8, True]"
2,0.8867463089117171,"[806, 3, 9, False]"
2,0.8088248695149708,"[432, 3, 8, True]"
2,0.8083212548213851,"[772, 3, 6, True]"
2,0.883548563216136,"[108, 3, 3, False]"
2,0.8046297076696993,"[789, 3, 7, True]"
2,0.7167088069450327,"[995, 5, 10, True]"
2,0.9375207591480649,"[514, 2, 3, False]"
2,0.768340622879194,"[166, 4, 2, True]"
2,0.82258828056857,"[982, 5, 2, False]"
2,0.7161363363060118,"[53, 5, 2, True]"
2,0.7155301076344659,"[974, 5, 2, True]"
2,0.7088351225876973,"[44, 5, 10, True]"
2,0.7292876039761684,"[33, 5, 10, True]"
2,0.717457689753225,"[997, 5, 2, True]"
2,0.7810394705729478,"[8, 5, 2, True]"
2,0.7201240115965563,"[1000, 5, 10, True]"
2,0.7152503481315529,"[1000, 5, 10, True]"
2,0.7134479811394329,"[960, 5, 10, True]"
2,0.7117117670351404,"[997, 5, 10, True]"
2,0.7159826989983479,"[968, 5, 10, True]"
2,0.7134924412460817,"[966, 5, 10, True]"
2,0.7088329181345743,"[970, 5, 10, True]"
2,0.7179184672832979,"[995, 5, 10, True]"
2,0.7131330192592105,"[975, 5, 2, True]"
2,0.7091842416089955,"[998, 5, 2, True]"
2,0.7190072691431637,"[970, 5, 2, True]"
2,0.712212233986566,"[986, 5, 2, True]"
2,0.7125116366370321,"[176, 5, 10, True]"
2,0.7137801726359377,"[984, 5, 10, True]"
2,0.7131074974484255,"[934, 5, 10, True]"
2,0.7132535631130733,"[983, 5, 10, True]"
2,0.7163688624210255,"[982, 5, 10, True]"
2,0.717400381147084,"[101, 5, 10, True]"
2,0.7131164249664742,"[325, 5, 10, True]"
2,0.7169787817756264,"[706, 5, 10, True]"
2,0.713462822653466,"[509, 5, 10, True]"
2,0.8450146003078918,"[14, 5, 10, False]"
2,0.7151775728874772,"[995, 5, 6, True]"
2,0.7153160132837102,"[999, 5, 2, True]"
2,0.7646693428166271,"[986, 4, 10, True]"
2,0.7191174005273292,"[624, 5, 7, True]"
2,0.710486239759772,"[998, 5, 2, True]"
2,0.7139281091435158,"[670, 5, 6, True]"
2,0.7164528492919497,"[14, 5, 10, True]"
2,0.7143848593174008,"[984, 5, 5, True]"
2,0.7062738750038929,"[503, 5, 10, True]"
2,0.7187365465299658,"[518, 5, 10, True]"
3,0.9202908284525932,"[1, 1, 2, True]"
3,0.9536572860603251,"[455, 2, 9, True]"
3,0.9556038424360108,"[265, 2, 8, True]"
3,0.9680048956806673,"[902, 1, 4, True]"
3,0.9115407135598684,"[322, 4, 7, False]"
3,0.9121625952176698,"[192, 4, 8, False]"
3,0.8228953108386782,"[317, 5, 10, True]"
3,0.8624947264973108,"[982, 4, 9, True]"
3,0.926923129834347,"[777, 5, 7, False]"
3,0.9264110692590168,"[172, 5, 9, False]"
3,0.9557685033922998,"[834, 2, 5, True]"
3,1.097433617520656,"[1, 5, 2, True]"
3,0.9372015294933898,"[6, 1, 2, False]"
3,0.9372015294933898,"[51, 1, 10, False]"
3,0.7654002024968038,"[3, 5, 9, True]"
3,0.8971953387673429,"[1, 5, 8, True]"
3,0.8144968293463506,"[991, 5, 10, True]"
3,0.8368996687621276,"[28, 5, 10, True]"
3,0.8238875692663298,"[10, 4, 10, True]"
3,0.9896037879834725,"[998, 3, 10, False]"
3,0.9372015294933898,"[6, 1, 6, False]"
3,0.9233002569217967,"[954, 5, 2, False]"
3,0.992634779939373,"[5, 3, 2, False]"
3,0.8154635590575787,"[991, 5, 10, True]"
3,0.9676677116801861,"[977, 1, 10, True]"
3,0.9247200649454732,"[2, 5, 10, True]"
3,0.8146483058374422,"[998, 5, 7, True]"
3,0.8155085648773405,"[997, 5, 7, True]"
3,0.8713456186186873,"[24, 4, 9, True]"
3,0.8210435487214929,"[951, 5, 10, True]"
3,0.9372015294933892,"[933, 1, 2, False]"
3,0.8144078767199108,"[999, 5, 8, True]"
3,0.8145077669210616,"[992, 5, 10, True]"
3,0.9266728543659625,"[979, 5, 10, False]"
3,0.810963082793964,"[996, 5, 9, True]"
3,0.8205853852369909,"[993, 5, 6, True]"
3,0.8680277020323038,"[992, 4, 2, True]"
3,0.809369405304091,"[625, 5, 10, True]"
3,0.8146232249935016,"[575, 5, 8, True]"
3,0.8172707277120027,"[995, 5, 4, True]"
3,0.810947105857032,"[558, 5, 10, True]"
3,0.8143073445098332,"[965, 5, 2, True]"
3,0.8150495828170112,"[669, 5, 7, True]"
3,0.8613808891746239,"[501, 4, 10, True]"
3,0.8145877120656052,"[997, 5, 2, True]"
3,0.955510609634574,"[13, 1, 10, True]"
3,0.8117495130533208,"[589, 5, 10, True]"
3,0.9941613905836306,"[4, 3, 10, False]"
3,0.8172836044840497,"[993, 5, 5, True]"
