Fold,MAE (kcal/mol),Hyperparameters
1,1.156950326228795,"[1, 1, 2, True]"
1,1.2557967449369427,"[747, 3, 9, False]"
1,1.2607112122327433,"[76, 3, 8, False]"
1,0.9808948932903856,"[438, 4, 7, True]"
1,1.07893468197778,"[189, 2, 7, True]"
1,1.2532935079105292,"[47, 3, 5, False]"
1,1.23198560532543,"[991, 4, 4, False]"
1,0.9861567505345131,"[364, 4, 2, True]"
1,1.0217058112588926,"[882, 3, 7, True]"
1,1.2063982803238997,"[594, 1, 2, False]"
1,1.02198616853135,"[980, 3, 5, True]"
1,0.9567724060734708,"[969, 5, 10, True]"
1,0.9714135941694122,"[32, 5, 2, True]"
1,0.956817402228994,"[10, 5, 10, True]"
1,0.9568905723303994,"[972, 5, 10, True]"
1,1.019518914129076,"[13, 5, 10, True]"
1,0.95431478963568,"[1000, 5, 2, True]"
1,0.9487183833732059,"[1000, 5, 2, True]"
1,0.9542887063369149,"[1000, 5, 4, True]"
1,0.9565968776546598,"[1000, 5, 3, True]"
1,0.955059124424371,"[998, 5, 7, True]"
1,0.9550046224878088,"[996, 5, 3, True]"
1,0.9553240659052199,"[999, 5, 9, True]"
1,0.948686600945407,"[999, 5, 9, True]"
1,0.9579659159701176,"[996, 5, 3, True]"
1,0.9534989120950476,"[999, 5, 9, True]"
1,0.9518039292919226,"[998, 5, 3, True]"
1,0.9891994812725208,"[999, 4, 10, True]"
1,0.9556088944070402,"[990, 5, 3, True]"
1,0.9496179919924294,"[997, 5, 2, True]"
1,0.9553189435760338,"[997, 5, 10, True]"
1,0.9486231465910927,"[976, 5, 2, True]"
1,0.9578102419856208,"[999, 5, 10, True]"
1,0.9539686269047605,"[960, 5, 2, True]"
1,0.9548483114427692,"[983, 5, 2, True]"
1,0.9554680588398062,"[994, 5, 2, True]"
1,0.9571562068441631,"[989, 5, 10, True]"
1,0.9525610901270162,"[987, 5, 10, True]"
1,0.945066465949269,"[980, 5, 2, True]"
1,1.1032307673015878,"[4, 5, 2, True]"
1,0.9589199502159208,"[999, 5, 3, True]"
1,0.9860141217261306,"[997, 4, 9, True]"
1,0.9455887573735611,"[999, 5, 9, True]"
1,0.951875292840568,"[999, 5, 10, True]"
