Fold,MAE (kcal/mol),Hyperparameters
1,2.5102554248716373,"[1, 1, 2, True]"
1,1.846866989576949,"[301, 4, 4, False]"
1,1.4486957312008502,"[944, 4, 9, True]"
1,1.8427486488625024,"[664, 4, 7, False]"
1,1.8711333546030722,"[934, 3, 2, False]"
1,1.7271148727635859,"[682, 3, 2, True]"
1,1.8711333546030662,"[128, 3, 8, False]"
1,1.8504938063582594,"[291, 5, 7, False]"
1,2.0315360210389097,"[468, 2, 10, True]"
1,1.7262027628376877,"[916, 3, 9, True]"
1,2.0469740905875877,"[390, 2, 9, False]"
1,1.3025258802696416,"[1000, 5, 10, True]"
1,2.0354926772900788,"[1, 5, 2, True]"
1,1.2925160977711254,"[829, 5, 2, True]"
1,1.2997395074212383,"[893, 5, 10, True]"
1,1.312967212473474,"[937, 5, 2, True]"
1,1.309196495207929,"[734, 5, 10, True]"
1,1.3043435485748354,"[847, 5, 10, True]"
1,1.3079957961016648,"[1000, 5, 9, True]"
1,1.3125755683210496,"[1000, 5, 10, True]"
1,1.3112192119571235,"[1000, 5, 10, True]"
1,1.3187390226646205,"[1000, 5, 10, True]"
1,1.3108389679625434,"[1000, 5, 10, True]"
1,1.303751122761832,"[1000, 5, 10, True]"
1,1.2978823833827764,"[1000, 5, 10, True]"
1,1.291348604689003,"[1000, 5, 10, True]"
1,1.305060646321008,"[1000, 5, 10, True]"
1,1.3134193078505285,"[1000, 5, 10, True]"
1,1.305301104679501,"[1000, 5, 10, True]"
1,1.2888128800843064,"[1000, 5, 10, True]"
1,1.3049840001964939,"[1000, 5, 9, True]"
1,1.299048777978467,"[1000, 5, 10, True]"
1,1.3111043432458542,"[1000, 5, 10, True]"
1,1.3046343447561564,"[1000, 5, 9, True]"
1,1.3115184558653241,"[1000, 5, 10, True]"
1,1.3081044782972693,"[1000, 5, 10, True]"
1,1.3056543160597485,"[1000, 5, 10, True]"
1,1.297596767718608,"[1000, 5, 10, True]"
1,1.3033920346965413,"[1000, 5, 10, True]"
1,1.3105277269614357,"[1000, 5, 10, True]"
1,1.3161124024267208,"[1000, 5, 6, True]"
1,1.3040415384621304,"[1000, 5, 10, True]"
1,1.29162907827519,"[1000, 5, 10, True]"
1,1.3093092124237653,"[1000, 5, 10, True]"
1,1.296779252823148,"[1000, 5, 10, True]"
1,1.3188931731535987,"[1000, 5, 10, True]"
1,1.3076167730847543,"[1000, 5, 10, True]"
1,1.3097865099030641,"[1000, 5, 9, True]"
1,1.321806425854426,"[1000, 5, 10, True]"
1,1.2933376510844858,"[1000, 5, 10, True]"
1,1.299638093562336,"[1000, 5, 7, True]"
1,1.30594800210489,"[1000, 5, 10, True]"
1,1.315130160354193,"[1000, 5, 10, True]"
1,1.3143064528061605,"[1000, 5, 10, True]"
1,1.3104162005889883,"[1000, 5, 10, True]"
1,1.3098396671226356,"[1000, 5, 10, True]"
1,1.311162502839244,"[1000, 5, 10, True]"
1,1.3018625718200063,"[1000, 5, 10, True]"
1,1.294941941858696,"[1000, 5, 10, True]"
1,1.3142803341255498,"[1000, 5, 8, True]"
1,1.3034189685532442,"[1000, 5, 10, True]"
1,1.302165009225032,"[1000, 5, 10, True]"
