Fold,MAE (kcal/mol),Hyperparameters
1,2.57999934857664,"[1, 1, 2, True]"
1,2.171093219784709,"[924, 3, 10, False]"
1,1.9795265262486552,"[899, 4, 4, False]"
1,1.7507935178807559,"[239, 5, 9, False]"
1,2.5152737794787927,"[689, 1, 7, False]"
1,1.8065480156146068,"[854, 3, 6, True]"
1,2.370347643074321,"[557, 2, 9, False]"
1,1.9785030966389403,"[650, 4, 5, False]"
1,1.9785660861381322,"[286, 4, 6, False]"
1,1.9809726689972034,"[286, 4, 7, False]"
1,2.3406103250147727,"[247, 1, 8, True]"
1,1.35138840703492,"[1000, 5, 10, True]"
1,1.3506555325880059,"[1000, 5, 2, True]"
1,1.659340673240979,"[1, 5, 6, True]"
1,1.354601410694957,"[1000, 5, 6, True]"
1,1.3536787311811136,"[997, 5, 2, True]"
1,1.3603468685523528,"[838, 5, 10, True]"
1,1.3724701262430266,"[517, 5, 2, True]"
1,1.3565229151582976,"[637, 5, 10, True]"
1,1.3680811214445459,"[708, 5, 2, True]"
1,1.3743428108608728,"[422, 5, 10, True]"
1,1.362607581772988,"[990, 5, 10, True]"
1,1.355214381243993,"[917, 5, 2, True]"
1,1.3498281067693245,"[593, 5, 10, True]"
1,1.3669333155858143,"[577, 5, 10, True]"
1,1.3611743493457165,"[900, 5, 10, True]"
1,1.3614804857259921,"[989, 5, 2, True]"
1,1.358776919300133,"[997, 5, 9, True]"
1,1.3600581660470223,"[749, 5, 10, True]"
1,1.3435172905372748,"[888, 5, 2, True]"
1,1.352969553474933,"[864, 5, 2, True]"
1,1.3670895377075594,"[386, 5, 2, True]"
1,1.3467809535988706,"[622, 5, 2, True]"
1,1.3733224834986724,"[742, 5, 2, True]"
1,1.3613024148907873,"[513, 5, 2, True]"
1,1.3556160506582196,"[988, 5, 2, True]"
1,1.3689467747287754,"[904, 5, 10, True]"
1,1.3575691589803944,"[504, 5, 10, True]"
1,1.3487609302360994,"[348, 5, 10, True]"
1,1.7647307706061146,"[8, 5, 6, False]"
1,1.3663743425543913,"[323, 5, 10, True]"
1,1.3584033842024956,"[304, 5, 2, True]"
1,1.3580704534934176,"[243, 5, 10, True]"
1,2.346242258805451,"[1000, 1, 3, True]"
1,1.3577223669826914,"[1000, 5, 4, True]"
1,2.17952814103258,"[1, 5, 2, True]"
1,1.3629365513655967,"[309, 5, 6, True]"
1,2.1026400118036674,"[1, 5, 10, True]"
1,1.353325027422579,"[449, 5, 10, True]"
1,1.3622415800605674,"[448, 5, 10, True]"
2,2.65937313809644,"[1, 1, 2, True]"
2,2.283260570548566,"[143, 1, 5, True]"
2,1.574133741606114,"[712, 4, 3, True]"
2,1.7684160737628893,"[509, 3, 6, True]"
2,1.7755862861408966,"[992, 3, 7, True]"
2,1.9318998080674536,"[725, 3, 7, False]"
2,1.7307041871982085,"[316, 5, 4, False]"
2,2.0394887284452676,"[216, 2, 4, True]"
2,1.4579757044402484,"[637, 5, 4, True]"
2,1.9322404293292257,"[520, 3, 3, False]"
2,1.77476044466524,"[452, 3, 9, True]"
2,1.459066755029938,"[818, 5, 2, True]"
2,1.4774161472643512,"[1000, 5, 10, True]"
2,1.4807510244955193,"[726, 5, 10, True]"
2,1.4469039615402335,"[1000, 5, 7, True]"
2,2.471476512245674,"[991, 1, 10, False]"
2,1.4554983077011066,"[1000, 5, 2, True]"
2,2.7371633744496897,"[1, 5, 8, True]"
2,1.444443963434966,"[501, 5, 2, True]"
2,1.4493050593177832,"[922, 5, 2, True]"
2,1.4333690263286156,"[549, 5, 2, True]"
2,1.72802872535179,"[1000, 5, 2, False]"
2,1.4627375714068744,"[438, 5, 2, True]"
2,1.4744593835059003,"[528, 5, 10, True]"
2,1.4487802595679315,"[583, 5, 2, True]"
2,1.4388647917213349,"[938, 5, 2, True]"
2,1.4571381528916607,"[901, 5, 2, True]"
2,1.4659619953330816,"[693, 5, 2, True]"
2,1.449127058603785,"[547, 5, 2, True]"
2,1.4435145088850585,"[377, 5, 2, True]"
2,1.4522041194990194,"[350, 5, 2, True]"
2,1.4671938670649123,"[400, 5, 2, True]"
2,1.4593928200692188,"[960, 5, 2, True]"
2,1.461212265573077,"[904, 5, 10, True]"
