Fold,MAE (kcal/mol),Hyperparameters
1,0.919444978855473,"[1, 1, 2, True]"
1,0.9478642068098582,"[795, 5, 2, False]"
1,0.8362353790155248,"[918, 3, 5, True]"
1,0.9520085821562669,"[370, 1, 10, False]"
1,0.8803688805325014,"[483, 4, 5, False]"
1,0.7637046572167524,"[526, 5, 4, True]"
1,0.8310465026057587,"[238, 3, 5, True]"
1,0.7622751200479715,"[735, 5, 5, True]"
1,0.8810640386758609,"[543, 4, 9, False]"
1,0.807326575919389,"[665, 4, 3, True]"
1,0.8611520355948274,"[541, 2, 7, True]"
1,0.9397806479345343,"[988, 3, 2, False]"
1,0.8084095515105222,"[25, 5, 10, True]"
1,1.0353214001653714,"[1, 5, 7, True]"
1,0.7682316138299589,"[1000, 5, 4, True]"
1,0.7732850392170374,"[1000, 5, 8, True]"
1,0.9068741424082855,"[1000, 1, 3, True]"
1,0.773520347639217,"[1000, 5, 9, True]"
1,0.7705162586461776,"[1000, 5, 2, True]"
1,0.7666008047549725,"[1000, 5, 9, True]"
1,0.9083053040545873,"[1000, 1, 10, True]"
1,0.7674096113351416,"[772, 5, 10, True]"
1,0.7739974150857499,"[745, 5, 6, True]"
1,0.7667227231778572,"[540, 5, 7, True]"
1,0.7690610280829941,"[759, 5, 10, True]"
1,0.7617671016040323,"[50, 5, 9, True]"
1,0.770862952007964,"[1000, 5, 10, True]"
1,0.765881376435513,"[1000, 5, 3, True]"
1,0.7725297404016361,"[1000, 5, 2, True]"
1,0.7736982708313751,"[1000, 5, 10, True]"
1,0.7661428294383511,"[1000, 5, 3, True]"
1,0.765124722574983,"[1000, 5, 3, True]"
1,0.7709618926567104,"[1000, 5, 9, True]"
1,0.7668956091267745,"[737, 5, 9, True]"
1,0.7708797244032636,"[732, 5, 10, True]"
1,0.7740533692274842,"[730, 5, 10, True]"
1,0.7709948919621891,"[1000, 5, 10, True]"
1,0.770680026862034,"[721, 5, 2, True]"
1,0.9857892430470678,"[1, 5, 10, False]"
1,0.7687793169842286,"[705, 5, 3, True]"
1,0.7682034006472084,"[701, 5, 10, True]"
1,0.7730969320211052,"[696, 5, 10, True]"
1,0.7661138980139843,"[696, 5, 2, True]"
1,0.771206423324372,"[694, 5, 2, True]"
1,0.773996835764309,"[696, 5, 10, True]"
1,0.779071162951824,"[664, 5, 10, True]"
1,0.7751316640105734,"[1000, 5, 9, True]"
1,0.7779524675108179,"[657, 5, 2, True]"
1,0.7754723619370075,"[1000, 5, 8, True]"
1,0.7677201674282602,"[610, 5, 2, True]"
2,0.9967820956621368,"[1, 1, 2, True]"
2,0.9370292544651234,"[63, 5, 3, False]"
2,0.9388759224252364,"[693, 5, 3, False]"
2,0.9449793779531694,"[898, 3, 8, False]"
