Fold,MAE (kcal/mol),Hyperparameters
1,2.897822698183926,"[1, 1, 2, True]"
1,2.207584136665233,"[255, 3, 4, True]"
1,2.5531316759419243,"[919, 3, 7, False]"
1,2.786206649119012,"[401, 2, 7, False]"
1,2.2206340210780295,"[429, 3, 8, True]"
1,1.981647470695932,"[946, 5, 4, True]"
1,2.087891499858207,"[775, 4, 9, True]"
1,2.7862066491190127,"[555, 2, 6, False]"
1,2.553131675941924,"[425, 3, 9, False]"
1,2.2020356171701927,"[455, 3, 9, True]"
1,2.311652613985381,"[334, 2, 8, True]"
1,2.2813586201883203,"[6, 5, 2, False]"
1,2.6043786452006215,"[1, 5, 10, True]"
1,1.9692853228361153,"[1000, 5, 4, True]"
1,1.9778620678331444,"[1000, 5, 4, True]"
1,2.0761736208914288,"[1000, 4, 2, True]"
1,2.284466678665655,"[1000, 5, 7, False]"
1,2.357032813391976,"[1000, 2, 3, True]"
1,2.583721831837069,"[1, 4, 9, False]"
1,2.063047458735335,"[1000, 4, 5, True]"
1,2.7897510019015708,"[1000, 1, 8, False]"
1,1.9723305181387325,"[1000, 5, 2, True]"
1,2.2314301044857032,"[1000, 3, 10, True]"
1,1.970539488211712,"[1000, 5, 10, True]"
1,1.9833761453081484,"[1000, 5, 10, True]"
1,1.963947496050813,"[1000, 5, 2, True]"
1,1.9512640165123432,"[1000, 5, 2, True]"
1,2.479400651570189,"[1, 4, 2, True]"
1,1.9595020492050677,"[809, 5, 2, True]"
1,1.957941836877957,"[667, 5, 2, True]"
1,1.9651428449066928,"[625, 5, 2, True]"
1,1.9711620247614936,"[619, 5, 2, True]"
1,1.9765917346214268,"[624, 5, 2, True]"
1,1.9942561903048621,"[631, 5, 2, True]"
1,1.9560290748815305,"[633, 5, 2, True]"
1,1.9701340712831283,"[630, 5, 2, True]"
1,2.27865782027467,"[471, 5, 2, False]"
1,1.9567475130360288,"[757, 5, 10, True]"
1,1.9578163621809301,"[763, 5, 2, True]"
1,1.9600180046449558,"[761, 5, 2, True]"
1,2.520737339809,"[999, 1, 9, True]"
1,1.9676168106155871,"[736, 5, 10, True]"
1,1.9855903055075008,"[841, 5, 2, True]"
1,1.9880073921139425,"[451, 5, 10, True]"
1,1.9689280135479634,"[339, 5, 2, True]"
1,1.970472898908594,"[638, 5, 10, True]"
1,1.9733583382580706,"[436, 5, 2, True]"
1,2.0079812405267896,"[281, 5, 2, True]"
1,1.9643236646676567,"[839, 5, 10, True]"
1,1.952446611589511,"[730, 5, 6, True]"
2,2.608562810861423,"[1, 1, 2, True]"
2,2.2935709794509402,"[273, 2, 7, False]"
2,1.6605551120801576,"[968, 4, 6, True]"
2,2.0483328816723216,"[343, 4, 10, False]"
2,2.1205251017167677,"[81, 2, 7, True]"
2,2.168660684327007,"[668, 3, 8, False]"
2,2.1096091530577152,"[99, 2, 4, True]"
2,2.0518443674194518,"[473, 5, 8, False]"
2,2.1630035809320862,"[326, 3, 2, False]"
2,2.1109611948481946,"[56, 2, 5, True]"
2,1.5141968937301074,"[864, 5, 3, True]"
2,2.342987188862092,"[1, 5, 10, True]"
2,1.511328839640089,"[1000, 5, 2, True]"
2,1.5234571364839802,"[937, 5, 10, True]"
2,1.5320432556443155,"[923, 5, 2, True]"
2,2.050758588167209,"[1000, 5, 2, False]"
2,1.8713344563315502,"[1000, 3, 3, True]"
2,1.6812731383075123,"[554, 4, 2, True]"
2,2.5092937915742777,"[1000, 1, 2, False]"
2,1.520107528379772,"[1000, 5, 10, True]"
2,1.5319721055135516,"[739, 5, 10, True]"
2,1.5346551682644198,"[854, 5, 10, True]"
2,1.5279699644496254,"[613, 5, 2, True]"
2,1.5260303701865643,"[1000, 5, 2, True]"
2,1.5015156831139886,"[717, 5, 2, True]"
2,2.450647029927409,"[996, 1, 8, True]"
2,1.5268088132090205,"[725, 5, 2, True]"
2,1.5421334239531912,"[528, 5, 2, True]"
2,2.0982603949980763,"[2, 3, 3, True]"
2,1.538922394236971,"[630, 5, 9, True]"
2,1.8773992268519555,"[611, 3, 2, True]"
2,1.5321654825778253,"[787, 5, 2, True]"
2,1.52571172615615,"[998, 5, 3, True]"
2,1.5341599033068016,"[667, 5, 2, True]"
2,1.5402647130238833,"[435, 5, 10, True]"
2,1.6969699878494826,"[326, 4, 2, True]"
2,1.5315380970742292,"[359, 5, 2, True]"
2,1.6726085198208969,"[781, 4, 2, True]"
2,1.5439023477262879,"[431, 5, 2, True]"
2,1.5605080513976324,"[311, 5, 10, True]"
2,2.44164197133856,"[566, 1, 5, True]"
2,2.0496530445028283,"[146, 5, 3, False]"
2,2.1496600983279515,"[2, 3, 5, False]"
2,1.51934110781193,"[930, 5, 2, True]"
2,1.5223378702682886,"[997, 5, 10, True]"
2,2.1652097376053803,"[999, 3, 6, False]"
2,1.5308502406018438,"[797, 5, 2, True]"
2,1.5280034495978712,"[949, 5, 10, True]"
2,1.513178084800956,"[382, 5, 2, True]"
2,1.5367816635663754,"[407, 5, 10, True]"
3,2.681664815998863,"[1, 1, 2, True]"
3,2.6505177210478865,"[670, 1, 8, True]"
3,1.7780240394629734,"[276, 5, 7, True]"
3,1.7853040202737973,"[365, 5, 5, True]"
3,2.2489708248037195,"[611, 3, 7, False]"
3,2.6470238419969347,"[221, 1, 4, True]"
3,2.324749616871237,"[526, 2, 6, True]"
3,2.5440812016077,"[743, 2, 8, False]"
3,2.8305290651377644,"[650, 1, 7, False]"
3,2.5440812016077063,"[931, 2, 9, False]"
3,2.2515918774353003,"[760, 3, 3, False]"
3,1.7884360223747744,"[1000, 5, 10, True]"
3,2.4093349108861957,"[1, 5, 10, False]"
3,2.5813649506394722,"[1, 4, 10, True]"
3,2.4385591834192613,"[2, 4, 10, False]"
3,2.1972544390626227,"[6, 3, 9, True]"
3,2.43790798751499,"[1, 5, 2, True]"
3,1.783543417875056,"[617, 5, 10, True]"
3,2.402005930786697,"[469, 5, 9, False]"
3,2.0617679688861372,"[1, 5, 6, True]"
3,1.7879415261509692,"[693, 5, 6, True]"
3,1.7853548506406498,"[465, 5, 7, True]"
3,1.798023369094411,"[539, 5, 7, True]"
3,1.7976098795451236,"[1000, 5, 2, True]"
3,1.791102028453842,"[1000, 5, 6, True]"
3,1.7531748763686215,"[276, 5, 10, True]"
3,1.7863009003773322,"[694, 5, 2, True]"
3,1.792115521201299,"[1000, 5, 4, True]"
