Fold,MAE (kcal/mol),Hyperparameters
1,2.7122559011423015,"[1, 1, 2, True]"
1,3.097520817465818,"[209, 5, 6, False]"
1,2.746905327143153,"[526, 3, 4, True]"
1,2.7259947598657805,"[319, 1, 5, True]"
1,2.85048319327732,"[717, 3, 9, False]"
1,2.794937772577385,"[82, 1, 6, False]"
1,3.0201321030204227,"[477, 4, 10, False]"
1,2.7399098015233183,"[910, 3, 5, True]"
1,2.8504831932773107,"[39, 3, 9, False]"
1,3.099654008681545,"[785, 5, 7, False]"
1,2.792345107534545,"[963, 2, 6, False]"
1,2.7293861336998293,"[1000, 2, 2, True]"
1,2.629548045305079,"[1, 2, 10, True]"
1,3.018803071509997,"[1, 2, 10, True]"
1,2.7949377725773887,"[978, 1, 2, False]"
1,2.719183007270007,"[985, 1, 10, True]"
1,2.716309078035873,"[995, 1, 10, True]"
1,2.7146264370820963,"[983, 1, 2, True]"
1,2.7949377725773887,"[973, 1, 10, False]"
1,2.712870732507742,"[983, 1, 2, True]"
1,2.762775020310737,"[13, 1, 2, True]"
1,2.794937772577385,"[12, 1, 2, False]"
1,2.7205057004716586,"[985, 1, 10, True]"
1,2.7295112885267736,"[989, 2, 2, True]"
1,2.7203277395093997,"[997, 1, 10, True]"
1,2.8575458867893153,"[2, 1, 4, True]"
1,2.7312447011642793,"[1000, 2, 10, True]"
1,2.7279185464896254,"[999, 2, 4, True]"
1,2.7949377725773887,"[998, 1, 4, False]"
1,2.7383992650845608,"[998, 3, 3, True]"
1,2.753832136686554,"[1000, 4, 6, True]"
1,2.7656463108059364,"[1000, 5, 2, True]"
1,3.5275418740155726,"[1, 5, 2, True]"
1,2.7150371472249444,"[584, 1, 10, True]"
1,2.7228114009344906,"[534, 1, 2, True]"
1,2.7949377725773856,"[531, 1, 9, False]"
1,2.7340673524730414,"[604, 2, 2, True]"
1,2.720167913991819,"[585, 1, 10, True]"
1,2.726121056435534,"[619, 2, 10, True]"
1,2.7918799814841195,"[400, 2, 2, False]"
1,2.73852788484963,"[1000, 3, 10, True]"
1,2.7760812441875324,"[1000, 5, 3, True]"
1,2.7178764254065615,"[638, 1, 2, True]"
1,2.850483193277322,"[999, 3, 6, False]"
1,2.79234510753454,"[2, 2, 5, False]"
1,2.7145239397634273,"[367, 1, 10, True]"
1,2.7387035346838116,"[495, 2, 2, True]"
1,2.752299450546578,"[997, 4, 10, True]"
1,2.7158354513169316,"[697, 1, 2, True]"
1,2.7949377725773856,"[499, 1, 2, False]"
2,2.84043879995437,"[1, 1, 2, True]"
2,2.876316926770711,"[985, 3, 3, False]"
2,2.8611202051670865,"[819, 2, 2, False]"
2,2.967190857650958,"[413, 5, 4, False]"
2,2.7152621690229526,"[916, 5, 8, True]"
2,2.7241206387935386,"[857, 4, 10, True]"
2,2.7251054956619014,"[610, 4, 10, True]"
2,2.87651509559048,"[804, 3, 2, False]"
2,2.735427955457991,"[760, 3, 5, True]"
2,2.7314835390460774,"[564, 1, 9, True]"
2,2.8551835261112033,"[279, 4, 8, False]"
2,2.73610693826787,"[980, 5, 3, True]"
2,2.8353756692550434,"[44, 1, 10, False]"
2,3.160017184460875,"[1, 4, 7, True]"
2,2.731456320413345,"[738, 3, 8, True]"
2,2.730335392491964,"[748, 5, 10, True]"
2,2.7271708026551265,"[1000, 1, 10, True]"
2,2.725225859098862,"[1000, 1, 6, True]"
2,2.7365537654084537,"[788, 1, 2, True]"
2,3.025305788369008,"[1, 5, 9, False]"
2,2.835375669255046,"[403, 1, 10, False]"
2,2.7379152958893225,"[513, 2, 2, True]"
2,2.7289510851325183,"[344, 1, 10, True]"
2,2.727336321889967,"[739, 4, 2, True]"
2,2.728543309724718,"[1000, 2, 10, True]"
2,2.7262035216890594,"[857, 5, 2, True]"
2,2.7218922890147037,"[574, 3, 10, True]"
2,2.728836866819109,"[1000, 1, 10, True]"
2,2.727450566758613,"[1000, 1, 10, True]"
2,2.722679734907331,"[1000, 3, 10, True]"
2,2.730874745483194,"[1000, 1, 10, True]"
2,2.7337639494911756,"[1000, 4, 10, True]"
2,2.7311898371691026,"[215, 1, 2, True]"
2,2.726230647655277,"[240, 1, 10, True]"
2,2.7264111573115333,"[241, 1, 10, True]"
2,2.729636647698523,"[241, 1, 10, True]"
2,2.730047630946207,"[239, 1, 10, True]"
2,2.7229970184314984,"[239, 1, 2, True]"
2,2.724027588854917,"[243, 1, 2, True]"
2,2.730562856392268,"[244, 1, 2, True]"
2,2.728685172625942,"[241, 1, 2, True]"
2,2.727349398915492,"[240, 1, 2, True]"
2,2.7427603252196993,"[240, 1, 2, True]"
2,2.7253749348069087,"[240, 1, 10, True]"
2,2.720506236670413,"[239, 1, 10, True]"
2,2.7276151169429643,"[917, 2, 10, True]"
2,2.7363874677842723,"[240, 1, 10, True]"
2,2.724977435638316,"[241, 1, 10, True]"
2,2.7337314685998546,"[241, 1, 10, True]"
2,2.7232525123929894,"[241, 1, 10, True]"
3,3.1169156880511193,"[1, 1, 2, True]"
3,2.829336751770119,"[325, 1, 2, True]"
3,2.8921830135190603,"[242, 5, 8, False]"
3,2.817259246263983,"[394, 3, 5, False]"
3,2.8231961198855893,"[626, 1, 6, False]"
3,2.8231961198855884,"[382, 1, 5, False]"
3,2.8636063426589846,"[423, 4, 3, True]"
3,2.8600086473804947,"[550, 4, 9, True]"
3,2.817259246263983,"[306, 3, 6, False]"
3,2.8231961198855884,"[388, 1, 5, False]"
3,2.823196119885588,"[296, 1, 8, False]"
3,2.888230945088383,"[975, 5, 9, False]"
3,2.8882309450883823,"[766, 5, 10, False]"
3,2.8882309450883814,"[339, 5, 10, False]"
3,2.8231961198855893,"[1000, 1, 8, False]"
3,2.8193923174365287,"[352, 2, 10, False]"
3,2.8231961198855893,"[828, 1, 6, False]"
3,2.819392317436526,"[703, 2, 2, False]"
3,2.855727921227898,"[919, 2, 2, True]"
3,2.819392317436529,"[326, 2, 2, False]"
3,2.819392317436527,"[549, 2, 10, False]"
3,2.840602855839355,"[733, 1, 10, True]"
3,2.817259246263983,"[621, 3, 2, False]"
3,2.8193923174365265,"[630, 2, 10, False]"
3,2.817259246263983,"[506, 3, 2, False]"
3,2.819392317436526,"[1000, 2, 9, False]"
3,2.8172592462639825,"[798, 3, 10, False]"
3,2.819392317436526,"[859, 2, 10, False]"
3,2.817259246263983,"[711, 3, 10, False]"
3,2.817259246263979,"[1000, 3, 9, False]"
3,2.817259246263981,"[912, 3, 2, False]"
3,2.8334993845609713,"[505, 1, 2, True]"
3,2.817259246263983,"[555, 3, 10, False]"
3,2.817259246263981,"[930, 3, 10, False]"
3,2.819392317436526,"[781, 2, 2, False]"
3,2.819392317436528,"[445, 2, 2, False]"
3,2.8674396285617716,"[1, 5, 6, False]"
3,2.823196119885587,"[1, 1, 2, False]"
3,2.8748755180812453,"[1000, 5, 10, True]"
3,2.817259246263981,"[1, 3, 10, False]"
3,2.8333921009933936,"[1000, 1, 10, True]"
3,2.819392317436529,"[117, 2, 2, False]"
3,2.85158432931123,"[405, 2, 10, True]"
3,2.819392317436529,"[1, 2, 10, False]"
3,2.8604560609066105,"[713, 5, 3, True]"
3,2.8172592462639825,"[160, 3, 10, False]"
3,2.823196119885587,"[137, 1, 10, False]"
3,2.8661712428953137,"[201, 5, 10, True]"
3,2.863645559926041,"[443, 5, 10, True]"
3,2.817259246263981,"[71, 3, 2, False]"
4,3.1917461530066573,"[1, 1, 2, True]"
4,3.199745541493021,"[807, 5, 3, True]"
4,3.178393737603219,"[747, 4, 5, False]"
4,3.184988139110645,"[124, 3, 9, True]"
4,3.2015516879247117,"[209, 5, 5, True]"
4,3.1783937376032196,"[858, 4, 3, False]"
4,3.19253513541072,"[649, 1, 5, True]"
