Fold,MAE (kcal/mol),Hyperparameters
1,0.9768775682957132,"[1.0, 1.0, 1.0]"
1,0.9466872362117702,"[100.0, 10.0, 0.001]"
1,0.8940859487990876,"[0.1, 0.1, 0.1]"
1,0.861079688246298,"[0.1, 10.0, 0.01]"
1,0.9768775682957132,"[1.0, 1.0, 1.0]"
1,0.9768775682957132,"[1.0, 1.0, 1.0]"
1,2.334621848739496,"[0.001, 0.1, 10.0]"
1,0.8662747549000307,"[0.1, 100.0, 0.01]"
1,0.8940859487990876,"[0.1, 0.1, 0.1]"
1,0.9406740770610079,"[1.0, 0.001, 0.001]"
1,2.334621848739496,"[10.0, 10.0, 10.0]"
1,2.334621848739498,"[0.01, 1.0, 100.0]"
1,0.9380048429327862,"[10.0, 0.1, 0.01]"
1,0.5646745017230724,"[0.001, 10.0, 0.1]"
1,0.9478867221638149,"[1.0, 10.0, 0.1]"
1,0.9494545616964536,"[10.0, 100.0, 0.1]"
1,0.9492803063959996,"[100.0, 10.0, 0.1]"
1,0.9467804958499701,"[1.0, 10.0, 0.01]"
1,0.9057129466112321,"[0.01, 0.01, 0.1]"
1,1.046632409720645,"[100.0, 10.0, 1.0]"
1,0.628993838573594,"[0.01, 10.0, 0.01]"
1,0.5636366077166968,"[0.001, 10.0, 0.01]"
1,0.5640741249129245,"[0.001, 10.0, 0.001]"
1,0.6822188735241705,"[0.001, 10.0, 1.0]"
1,0.6297608608565779,"[0.01, 10.0, 0.001]"
1,0.8608907836816836,"[0.1, 10.0, 0.001]"
1,0.7753463473717258,"[0.01, 10.0, 1.0]"
1,0.9472488591276785,"[10.0, 10.0, 0.001]"
1,0.629885771333658,"[0.001, 1.0, 0.001]"
1,0.9388766544029515,"[0.001, 0.001, 0.01]"
1,0.562606839474808,"[0.001, 100.0, 0.001]"
1,0.832142507620143,"[0.001, 0.1, 0.001]"
1,0.6267379879291354,"[0.001, 1.0, 0.1]"
1,0.5659439110423673,"[0.001, 100.0, 0.1]"
1,0.7664422311217542,"[0.001, 100.0, 1.0]"
1,0.6295866670765351,"[0.001, 1.0, 0.01]"
1,0.9264966838078343,"[0.001, 0.01, 0.001]"
1,0.5619654756467807,"[0.001, 100.0, 0.01]"
1,0.8336142886049214,"[0.001, 0.1, 0.1]"
1,0.6712518726428819,"[0.01, 100.0, 0.1]"
1,0.9469657552508691,"[1.0, 100.0, 0.001]"
1,0.9391301685326731,"[0.001, 0.001, 0.001]"
1,0.6431015288037933,"[0.01, 1.0, 0.01]"
1,0.7822665310356207,"[0.01, 0.1, 0.01]"
1,0.6268016572838446,"[0.01, 10.0, 0.1]"
1,0.8381421209588888,"[0.1, 1.0, 0.1]"
1,0.935663394581623,"[0.01, 0.001, 0.1]"
1,0.9376708599062329,"[100.0, 1.0, 0.01]"
1,0.5636366077166968,"[0.001, 10.0, 0.01]"
1,0.5619654756467807,"[0.001, 100.0, 0.01]"
2,1.0077737349224072,"[1.0, 1.0, 1.0]"
2,0.9995296991584405,"[1.0, 10.0, 0.01]"
2,0.8989301557500415,"[0.01, 0.1, 1.0]"
2,2.360000000000003,"[1.0, 1.0, 100.0]"
2,0.9510126911004966,"[0.1, 0.01, 0.01]"
2,2.360000000000003,"[0.01, 0.1, 100.0]"
2,0.650520292236259,"[0.001, 1.0, 0.001]"
2,0.9718772694724167,"[1.0, 1.0, 0.1]"
2,0.969830632186324,"[10.0, 0.01, 1.0]"
2,0.9363559396928745,"[0.1, 0.1, 0.1]"
2,0.8532828953375176,"[0.001, 0.1, 0.001]"
2,2.3600000000000003,"[10.0, 100.0, 10.0]"
2,0.9210324251288086,"[0.01, 0.01, 0.001]"
2,0.9699899742666537,"[100.0, 1.0, 0.001]"
2,1.0026166829037884,"[1.0, 100.0, 0.001]"
2,0.6716588515820501,"[0.01, 100.0, 0.1]"
2,0.9972016439781041,"[10.0, 100.0, 0.1]"
2,0.9499913114663867,"[0.01, 0.001, 0.1]"
2,0.6507222034462468,"[0.001, 1.0, 0.01]"
2,0.9499091333947464,"[0.01, 0.001, 0.01]"
2,0.969915802629083,"[100.0, 1.0, 0.01]"
2,0.9021538359684051,"[0.1, 10.0, 0.001]"
2,1.087664249981381,"[100.0, 10.0, 1.0]"
2,0.9538786235070899,"[10.0, 0.001, 0.001]"
2,0.5284181300773411,"[0.001, 100.0, 0.01]"
2,0.8530703456454527,"[0.001, 0.1, 0.01]"
2,0.9982021645893969,"[10.0, 100.0, 0.01]"
2,0.9542054949586585,"[100.0, 0.01, 0.1]"
2,0.5439359349760164,"[0.001, 10.0, 0.1]"
2,0.5439359349760164,"[0.001, 10.0, 0.1]"
2,0.5232933651234702,"[0.001, 100.0, 0.1]"
2,0.5232933651234702,"[0.001, 100.0, 0.1]"
2,0.690003759367365,"[0.001, 100.0, 1.0]"
2,0.6485777434432801,"[0.001, 1.0, 0.1]"
2,0.9373232681021773,"[0.001, 0.01, 0.1]"
2,0.5305882507812338,"[0.001, 100.0, 0.001]"
2,0.5480226379452441,"[0.001, 10.0, 0.01]"
2,0.5477959089060885,"[0.001, 10.0, 0.001]"
2,0.9520030080391612,"[0.001, 0.001, 0.001]"
2,1.0680626517805876,"[0.1, 100.0, 1.0]"
2,0.6708452625679638,"[0.01, 100.0, 0.001]"
2,0.9978521515523995,"[10.0, 10.0, 0.001]"
2,0.5232933651234702,"[0.001, 100.0, 0.1]"
2,0.5232933651234702,"[0.001, 100.0, 0.1]"
2,0.8066377717453055,"[0.01, 1.0, 1.0]"
2,0.6249493893618392,"[0.001, 10.0, 1.0]"
2,0.6238549475299355,"[0.01, 10.0, 0.01]"
2,0.6701490694859075,"[0.01, 100.0, 0.01]"
2,0.8244710993173058,"[0.01, 10.0, 1.0]"
2,0.7421379833534548,"[0.001, 1.0, 1.0]"
3,1.0552581145188493,"[1.0, 1.0, 1.0]"
3,1.0416850842604,"[1.0, 0.1, 1.0]"
3,1.0460671632563419,"[100.0, 100.0, 0.01]"
3,1.0331932773109243,"[0.01, 10.0, 100.0]"
3,1.1054633564051002,"[10.0, 10.0, 1.0]"
3,1.1059440654380506,"[100.0, 100.0, 1.0]"
3,1.0331932773109245,"[0.01, 10.0, 10.0]"
3,1.0331932773109243,"[100.0, 0.1, 100.0]"
3,1.0970585840664229,"[1.0, 10.0, 1.0]"
3,1.028369220993889,"[1.0, 0.01, 0.001]"
3,1.027040710447758,"[0.001, 0.001, 0.01]"
3,0.8940718395320412,"[0.01, 0.1, 0.01]"
3,0.8937176043407408,"[0.01, 0.1, 0.1]"
3,0.8937316793635125,"[0.01, 0.1, 0.001]"
3,0.9980691178819362,"[0.1, 0.1, 0.01]"
3,1.0229875340234693,"[0.01, 0.001, 0.1]"
3,1.0331932773109245,"[0.01, 0.1, 10.0]"
3,0.8937316793635125,"[0.01, 0.1, 0.001]"
3,0.7957190167248077,"[0.01, 1.0, 0.001]"
3,0.7671912174977226,"[0.001, 1.0, 0.001]"
3,1.0254563338821368,"[10.0, 1.0, 0.001]"
3,0.7685005606971843,"[0.001, 1.0, 0.1]"
3,0.7672664794098393,"[0.001, 1.0, 0.01]"
3,0.796830662481777,"[0.01, 1.0, 0.01]"
3,1.0134507106659247,"[0.001, 0.01, 0.1]"
3,1.0331932773109243,"[0.001, 1.0, 100.0]"
3,0.8061637043292885,"[0.01, 1.0, 0.1]"
3,1.0213063561022389,"[100.0, 1.0, 0.1]"
3,0.9292849274366635,"[0.001, 0.1, 0.001]"
3,1.0331932773109245,"[0.001, 1.0, 10.0]"
3,0.9295842715128331,"[0.1, 1.0, 0.001]"
3,0.7920080742441311,"[0.01, 100.0, 0.001]"
3,0.7125800964002788,"[0.001, 100.0, 0.001]"
3,0.7107580858849603,"[0.001, 100.0, 0.1]"
3,0.7104604849481455,"[0.001, 100.0, 0.01]"
3,1.0423899051280818,"[1.0, 100.0, 0.1]"
3,0.8587241511941008,"[0.001, 100.0, 1.0]"
3,0.697145874819922,"[0.001, 10.0, 0.001]"
3,0.6958332658292428,"[0.001, 10.0, 0.01]"
3,0.6973506088415619,"[0.001, 10.0, 0.1]"
3,0.9307809194149157,"[0.1, 10.0, 0.1]"
3,1.0463168677657,"[100.0, 10.0, 0.001]"
3,0.931689392434042,"[0.1, 100.0, 0.001]"
3,0.992560649367391,"[0.01, 0.01, 0.001]"
3,1.0470145774695248,"[10.0, 100.0, 0.01]"
3,0.8982066718976812,"[0.01, 1.0, 1.0]"
3,0.6958332658292428,"[0.001, 10.0, 0.01]"
3,0.791721435006836,"[0.01, 100.0, 0.01]"
3,1.0264852298847653,"[10.0, 0.1, 0.1]"
3,0.697145874819922,"[0.001, 10.0, 0.001]"
4,1.0733791591236488,"[1.0, 1.0, 1.0]"
4,1.0734509886647736,"[1.0, 0.01, 0.01]"
4,2.6320588235294102,"[1.0, 0.01, 100.0]"
4,2.6320588235294102,"[10.0, 10.0, 100.0]"
4,0.9369390304386388,"[0.01, 0.1, 0.001]"
4,1.073487394980523,"[100.0, 0.01, 0.01]"
4,0.969272024581915,"[0.1, 10.0, 0.1]"
4,1.0658922466434784,"[100.0, 10.0, 0.1]"
4,0.8091596316116667,"[0.01, 100.0, 0.1]"
4,2.6320588235294102,"[100.0, 0.1, 100.0]"
4,2.6320588235294102,"[0.01, 0.1, 100.0]"
4,2.6320588235294125,"[0.001, 1.0, 10.0]"
4,0.9762747593158021,"[0.1, 100.0, 0.1]"
4,1.0738571428557457,"[100.0, 0.01, 0.001]"
4,0.7318087508178324,"[0.001, 10.0, 0.1]"
4,1.065881560383546,"[10.0, 10.0, 0.1]"
