Fold,MAE (kcal/mol),Hyperparameters
1,2.6966803230033336,"[1.0, 1.0, 1.0]"
1,7.83882352941176,"[100.0, 0.001, 100.0]"
1,2.6233719236120856,"[0.1, 0.1, 1.0]"
1,2.618851413129102,"[0.1, 0.1, 0.001]"
1,2.4982866795039813,"[0.1, 100.0, 0.1]"
1,2.4592569191808806,"[0.01, 0.1, 0.01]"
1,2.7559787506852387,"[10.0, 10.0, 1.0]"
1,7.83882352941176,"[10.0, 0.1, 100.0]"
1,4.573723335488041,"[100.0, 1.0, 10.0]"
1,2.472160343520668,"[0.1, 10.0, 0.001]"
1,2.6581172977400396,"[100.0, 0.001, 0.001]"
1,2.799844307206543,"[10.0, 10.0, 0.01]"
1,2.8138362928216076,"[1.0, 10.0, 0.1]"
1,1.6328471013402899,"[0.001, 10.0, 0.001]"
1,1.4999358335712796,"[0.001, 100.0, 0.001]"
1,1.5261097745967203,"[0.01, 100.0, 0.001]"
1,2.833585310969099,"[1.0, 100.0, 0.001]"
1,1.4493405779713333,"[0.01, 10.0, 0.001]"
1,2.8003267674073475,"[10.0, 10.0, 0.001]"
1,2.623903322027894,"[0.01, 0.01, 0.001]"
1,2.2195409331060634,"[0.001, 1.0, 0.001]"
1,2.703588661733795,"[1.0, 1.0, 0.01]"
1,2.221771333914056,"[0.001, 1.0, 0.1]"
1,2.658609952143755,"[100.0, 0.01, 0.1]"
1,2.6544228148656974,"[0.01, 0.001, 0.1]"
1,1.4999358335712796,"[0.001, 100.0, 0.001]"
1,1.4999358335712796,"[0.001, 100.0, 0.001]"
1,2.654407944616594,"[0.01, 0.001, 0.001]"
1,1.4791110027620746,"[0.001, 100.0, 1.0]"
1,2.7783762233026437,"[100.0, 100.0, 1.0]"
1,1.6458423267813573,"[0.001, 10.0, 1.0]"
1,1.4958253059163338,"[0.001, 100.0, 0.01]"
1,1.631860272899144,"[0.001, 10.0, 0.01]"
1,1.4958253059163338,"[0.001, 100.0, 0.01]"
1,2.5518764868589807,"[0.001, 0.1, 1.0]"
1,1.7759401697157926,"[0.01, 100.0, 1.0]"
1,1.4734186088403882,"[0.001, 100.0, 0.1]"
1,1.545828054557079,"[0.01, 100.0, 0.1]"
1,1.4667935827756078,"[0.01, 10.0, 0.1]"
1,1.4502414846308436,"[0.01, 10.0, 0.01]"
1,1.5272168022383878,"[0.01, 100.0, 0.01]"
1,2.8184480611816203,"[100.0, 10.0, 0.001]"
1,1.940386978722662,"[0.01, 1.0, 0.01]"
1,2.643243568462084,"[0.001, 0.01, 0.1]"
1,2.801425879938561,"[10.0, 100.0, 0.1]"
1,2.497781772297888,"[0.1, 1.0, 0.01]"
1,2.6565286933295766,"[0.001, 0.001, 0.01]"
1,2.708878533914928,"[100.0, 1.0, 0.1]"
1,2.663135427010142,"[100.0, 0.1, 0.01]"
1,2.696650751494676,"[10.0, 1.0, 1.0]"
2,2.7548192068485986,"[1.0, 1.0, 1.0]"
2,2.7519913596483665,"[10.0, 0.001, 0.001]"
2,4.123539374947833,"[0.001, 100.0, 10.0]"
2,2.7469635335333593,"[0.1, 0.01, 1.0]"
2,2.756525687162979,"[1.0, 0.01, 1.0]"
2,2.756525687162979,"[1.0, 0.01, 1.0]"
2,7.244705882352937,"[0.1, 0.001, 100.0]"
2,3.973357142872909,"[10.0, 0.001, 10.0]"
2,2.2959278836568644,"[0.001, 1.0, 1.0]"
2,2.753265278919938,"[0.01, 0.001, 1.0]"
2,2.7565795949453444,"[10.0, 0.001, 1.0]"
2,2.736567029841526,"[0.001, 0.01, 0.01]"
2,2.722909670236951,"[0.01, 0.01, 0.1]"
2,2.7513611075475257,"[10.0, 0.001, 0.1]"
2,2.749225626586522,"[0.01, 0.001, 0.01]"
2,2.7521396757747154,"[100.0, 0.01, 0.001]"
2,2.7784765117388517,"[100.0, 1.0, 1.0]"
2,2.5755696636303482,"[0.1, 100.0, 0.1]"
2,2.752191257409532,"[100.0, 0.1, 0.1]"
2,1.6513952524033428,"[0.001, 100.0, 1.0]"
2,2.6421463814989696,"[0.001, 0.1, 1.0]"
2,1.6815663608919762,"[0.001, 10.0, 1.0]"
2,2.7547876911174463,"[1.0, 100.0, 0.01]"
2,2.28563337884988,"[0.001, 1.0, 0.001]"
2,2.7549964999340024,"[1.0, 100.0, 0.001]"
2,2.636679219552148,"[0.001, 0.1, 0.001]"
2,1.6276520149494398,"[0.01, 10.0, 0.001]"
2,2.479584531943267,"[0.1, 10.0, 0.001]"
2,2.115707932048908,"[0.01, 1.0, 0.001]"
2,2.7760827568055766,"[10.0, 10.0, 0.001]"
2,1.6513952524033428,"[0.001, 100.0, 1.0]"
2,2.7492256265865214,"[0.01, 0.001, 0.001]"
2,1.6513952524033428,"[0.001, 100.0, 1.0]"
2,1.6513952524033428,"[0.001, 100.0, 1.0]"
2,1.7583103669869362,"[0.01, 100.0, 1.0]"
2,2.7486091502534395,"[10.0, 100.0, 1.0]"
2,1.8246635165681064,"[0.01, 10.0, 1.0]"
2,1.6442233271387692,"[0.001, 10.0, 0.1]"
2,1.6445983519363259,"[0.01, 10.0, 0.1]"
2,1.6294881980337215,"[0.01, 10.0, 0.01]"
2,1.6317100530060575,"[0.001, 10.0, 0.01]"
2,2.786120014982962,"[100.0, 10.0, 0.01]"
2,1.6296621836238796,"[0.001, 10.0, 0.001]"
2,1.6008946152638541,"[0.01, 100.0, 0.1]"
2,1.5739402022206679,"[0.001, 100.0, 0.1]"
2,1.5838444446628541,"[0.01, 100.0, 0.01]"
2,1.58234922619077,"[0.01, 100.0, 0.001]"
2,1.5733259253609757,"[0.001, 100.0, 0.001]"
2,2.7798076218079637,"[100.0, 100.0, 0.1]"
2,2.121526772451493,"[0.01, 1.0, 0.1]"
3,2.805524359547167,"[1.0, 1.0, 1.0]"
3,2.8123500938016717,"[0.1, 0.001, 1.0]"
3,4.297478992239434,"[10.0, 0.1, 10.0]"
3,2.4999442833792167,"[0.1, 100.0, 0.01]"
3,2.8160965721259386,"[100.0, 0.01, 0.01]"
3,2.7714820686956885,"[0.01, 0.01, 0.001]"
3,7.433277310924366,"[0.001, 0.01, 100.0]"
3,2.805524359547167,"[1.0, 1.0, 1.0]"
3,2.7528948877982646,"[0.1, 0.1, 1.0]"
3,2.567096350900219,"[0.1, 10.0, 1.0]"
3,2.815293275831384,"[0.1, 0.001, 0.001]"
3,1.5884795144007702,"[0.001, 10.0, 0.01]"
3,2.7945686626913213,"[0.001, 0.01, 0.1]"
3,2.195156125223714,"[0.001, 1.0, 0.01]"
3,1.6103495051458105,"[0.01, 10.0, 0.01]"
3,2.8140838364658296,"[0.001, 0.001, 0.01]"
3,2.670289572242861,"[0.001, 0.1, 0.01]"
3,2.815060993078389,"[10.0, 0.001, 0.1]"
3,2.8064521944866114,"[1.0, 10.0, 0.01]"
3,2.8252588124590075,"[10.0, 10.0, 0.01]"
3,2.4672885833629574,"[0.1, 10.0, 0.01]"
3,1.675659745395121,"[0.01, 100.0, 0.01]"
