Fold,MAE (kcal/mol),Hyperparameters
1,0.9858707833300593,"[1.0, 1.0, 1.0]"
1,0.939747899159664,"[100.0, 0.01, 0.1]"
1,0.9124036217150712,"[0.01, 100.0, 0.01]"
1,2.334621848739496,"[100.0, 1.0, 10.0]"
1,0.7302983934223132,"[0.001, 1.0, 0.1]"
1,2.334621848739498,"[0.1, 100.0, 100.0]"
1,0.9858707833300593,"[1.0, 1.0, 1.0]"
1,2.334621848739496,"[0.01, 0.01, 10.0]"
1,2.334621848739496,"[10.0, 10.0, 10.0]"
1,1.0345043450452978,"[0.01, 10.0, 1.0]"
1,2.334621848739498,"[0.001, 100.0, 100.0]"
1,0.94058823550135,"[1.0, 0.01, 0.001]"
1,0.736840812607228,"[0.001, 10.0, 0.1]"
1,0.8954536874637932,"[0.01, 1.0, 0.1]"
1,0.9429481114926934,"[1.0, 1.0, 0.1]"
1,0.9417358529906794,"[100.0, 1.0, 0.01]"
1,0.9448355613563261,"[0.1, 1.0, 0.1]"
1,0.9431832988711991,"[0.1, 1.0, 0.001]"
1,0.9429481099538641,"[10.0, 1.0, 0.1]"
1,0.940617647088205,"[1.0, 0.001, 0.01]"
1,0.9268317061543607,"[0.01, 0.1, 0.001]"
1,0.8661076056951964,"[0.001, 0.1, 0.01]"
1,0.9407321196887866,"[0.1, 0.1, 0.01]"
1,0.7223735527814863,"[0.001, 1.0, 0.001]"
1,0.9415580331821112,"[100.0, 1.0, 0.001]"
1,0.7856061775154051,"[0.001, 100.0, 0.001]"
1,0.7667543245292714,"[0.001, 100.0, 0.1]"
1,0.9415580331821112,"[10.0, 1.0, 0.001]"
1,0.9639652229394732,"[10.0, 10.0, 0.01]"
1,0.8678528859486871,"[0.001, 0.1, 0.1]"
1,0.7314241777417677,"[0.001, 10.0, 0.001]"
1,0.9393388213854674,"[0.001, 0.001, 0.001]"
1,0.9386725008823332,"[0.001, 0.001, 0.1]"
1,0.7314241777417677,"[0.001, 10.0, 0.001]"
1,0.8658371548790981,"[0.001, 0.1, 0.001]"
1,0.9285863170844542,"[0.001, 0.01, 0.1]"
1,0.9289939407437816,"[0.001, 0.01, 0.001]"
1,0.7314241777417677,"[0.001, 10.0, 0.001]"
1,0.7314476308542504,"[0.001, 10.0, 0.01]"
1,0.7222233342787455,"[0.001, 1.0, 0.01]"
1,0.9417358546943846,"[1.0, 1.0, 0.01]"
1,0.7833848777154105,"[0.001, 100.0, 0.01]"
1,0.8620821357656264,"[0.001, 1.0, 1.0]"
1,0.9288214722425724,"[0.001, 0.01, 0.01]"
1,0.9396094379833319,"[0.001, 0.001, 0.01]"
1,0.9638626090737494,"[1.0, 10.0, 0.001]"
1,0.9656808286716564,"[100.0, 100.0, 0.1]"
1,0.736840812607228,"[0.001, 10.0, 0.1]"
1,0.7314476308542504,"[0.001, 10.0, 0.01]"
1,0.736840812607228,"[0.001, 10.0, 0.1]"
2,1.009035820850084,"[1.0, 1.0, 1.0]"
2,2.360000000000003,"[1.0, 1.0, 100.0]"
2,2.360000000000003,"[10.0, 100.0, 100.0]"
2,2.3600000000000003,"[1.0, 100.0, 10.0]"
2,2.3600000000000003,"[0.001, 10.0, 10.0]"
2,0.9766893280831408,"[10.0, 10.0, 0.01]"
2,0.9538193277382885,"[1.0, 0.001, 0.01]"
2,2.3600000000000003,"[1.0, 0.001, 10.0]"
2,0.951398013709803,"[10.0, 0.1, 0.01]"
2,2.3600000000000003,"[1.0, 10.0, 10.0]"
2,0.9490476536167083,"[100.0, 1.0, 0.001]"
2,0.9542016807821493,"[10.0, 0.01, 0.1]"
2,0.9536134453837861,"[10.0, 0.01, 0.001]"
2,0.9801516080776184,"[1.0, 100.0, 0.1]"
2,0.951334990028596,"[0.1, 0.1, 0.001]"
2,0.9521025544732974,"[0.001, 0.001, 0.001]"
2,0.9763154098752629,"[1.0, 10.0, 0.001]"
2,0.9767951345450802,"[100.0, 100.0, 0.001]"
2,0.8327358668225381,"[0.001, 100.0, 0.01]"
2,0.88569800147514,"[0.001, 0.1, 0.01]"
2,0.948227675277229,"[0.01, 100.0, 0.01]"
2,0.9771644503540877,"[100.0, 100.0, 0.01]"
2,0.9779374328283551,"[0.1, 100.0, 0.01]"
2,0.9804146151209358,"[0.1, 10.0, 0.1]"
2,1.0936149291555188,"[100.0, 100.0, 1.0]"
2,0.9227488975196462,"[0.01, 1.0, 0.001]"
2,0.7504143060735894,"[0.001, 1.0, 0.1]"
2,0.9526035875618599,"[0.001, 0.001, 0.1]"
2,0.9284046947060984,"[0.01, 1.0, 0.1]"
2,0.9525127551015937,"[100.0, 0.1, 0.1]"
2,0.9363957211024602,"[0.001, 0.1, 1.0]"
2,0.7504143060735894,"[0.001, 1.0, 0.1]"
2,0.9390936236761229,"[0.001, 0.01, 0.01]"
2,0.9505156287869535,"[100.0, 1.0, 0.1]"
2,0.885814153159133,"[0.001, 0.1, 0.1]"
2,0.7504143060735894,"[0.001, 1.0, 0.1]"
2,0.7504143060735894,"[0.001, 1.0, 0.1]"
2,0.7504143060735894,"[0.001, 1.0, 0.1]"
2,0.7504143060735894,"[0.001, 1.0, 0.1]"
2,0.7504143060735894,"[0.001, 1.0, 0.1]"
2,0.7453756957241943,"[0.001, 1.0, 0.01]"
2,0.9492764977059018,"[1.0, 1.0, 0.01]"
2,0.9521027799299457,"[0.001, 0.001, 0.01]"
2,0.7454651618550671,"[0.001, 1.0, 0.001]"
2,0.8662201337243406,"[0.001, 1.0, 1.0]"
2,0.9490476536167083,"[10.0, 1.0, 0.001]"
2,0.8857028168021076,"[0.001, 0.1, 0.001]"
2,0.8238059653900144,"[0.001, 100.0, 0.1]"
2,0.8335340860694509,"[0.001, 100.0, 0.001]"
2,0.9505490624010903,"[0.1, 1.0, 0.1]"
3,1.0608655865410972,"[1.0, 1.0, 1.0]"
3,1.0331932773109243,"[100.0, 1.0, 100.0]"
3,1.0331932773109245,"[0.1, 1.0, 10.0]"
3,1.0331932773109245,"[0.1, 0.1, 10.0]"
3,1.0288235293770163,"[100.0, 0.01, 0.01]"
3,1.0272478991529557,"[10.0, 0.1, 0.1]"
3,1.0331932773109245,"[0.01, 0.1, 10.0]"
3,1.1077433636054874,"[1.0, 100.0, 1.0]"
3,1.041432616165635,"[0.01, 0.01, 1.0]"
3,1.0446216741281171,"[1.0, 100.0, 0.1]"
3,1.0331932773109245,"[100.0, 10.0, 10.0]"
3,1.026214261529355,"[0.01, 0.01, 0.1]"
3,1.0283529411760715,"[100.0, 0.001, 0.1]"
3,1.0260080957731637,"[0.01, 0.01, 0.001]"
3,1.0331932773109243,"[1.0, 0.01, 100.0]"
3,1.028277310926248,"[100.0, 0.01, 0.1]"
