Fold,MAE (kcal/mol),Hyperparameters
1,2.65043964420205,"[1.0, 1.0, 1.0]"
1,7.83882352941176,"[0.1, 10.0, 100.0]"
1,2.601402920024063,"[0.01, 0.1, 1.0]"
1,2.658003785742237,"[0.1, 0.01, 0.1]"
1,2.433278631321096,"[0.01, 100.0, 1.0]"
1,2.6573765874950404,"[0.01, 0.001, 0.1]"
1,4.609015606242498,"[100.0, 1.0, 10.0]"
1,2.657968136277871,"[0.1, 0.01, 1.0]"
1,4.2865336134643375,"[10.0, 0.001, 10.0]"
1,2.6580210084188804,"[1.0, 0.001, 1.0]"
1,4.609015606242498,"[10.0, 1.0, 10.0]"
1,2.657325439255196,"[100.0, 0.1, 0.001]"
1,2.4478581306506344,"[0.001, 0.1, 0.01]"
1,2.634521698713925,"[0.1, 100.0, 0.01]"
1,2.6539226135860985,"[0.001, 0.001, 0.01]"
1,2.6579831932791893,"[100.0, 0.01, 0.01]"
1,2.6539226135860985,"[0.001, 0.001, 0.001]"
1,1.4999394056399742,"[0.001, 10.0, 0.01]"
1,2.6264124553495583,"[1.0, 10.0, 0.01]"
1,2.6263062472465877,"[1.0, 10.0, 0.001]"
1,2.640268659336934,"[100.0, 10.0, 1.0]"
1,2.627440367604069,"[1.0, 10.0, 0.1]"
1,7.83882352941176,"[0.01, 0.01, 100.0]"
1,2.6579831932791893,"[10.0, 0.01, 0.001]"
1,2.6575500969724577,"[10.0, 0.1, 0.1]"
1,2.4509795400686523,"[0.01, 1.0, 0.01]"
1,2.6343989696706975,"[0.1, 100.0, 0.001]"
1,2.631369684689957,"[100.0, 100.0, 0.1]"
1,2.6573249299615536,"[10.0, 0.1, 0.01]"
1,2.450583991113726,"[0.01, 1.0, 0.001]"
1,7.83882352941176,"[1.0, 0.01, 100.0]"
1,2.0025027328331064,"[0.001, 1.0, 0.1]"
1,2.0025027328331064,"[0.001, 1.0, 0.1]"
1,4.819380430959226,"[0.001, 100.0, 10.0]"
1,2.6506632562228267,"[1.0, 1.0, 0.1]"
1,2.6571202959831806,"[0.1, 0.1, 0.01]"
1,2.6274428980085487,"[10.0, 10.0, 0.1]"
1,2.6455248540094014,"[10.0, 100.0, 1.0]"
1,2.4471840644419625,"[0.001, 0.1, 0.1]"
1,7.83882352941176,"[0.1, 0.001, 100.0]"
1,2.37733168387324,"[0.01, 10.0, 0.01]"
1,2.450366013209076,"[0.001, 0.1, 1.0]"
1,1.995286902638576,"[0.001, 1.0, 0.01]"
1,7.83882352941176,"[1.0, 0.1, 100.0]"
1,2.626408419343574,"[10.0, 10.0, 0.01]"
1,2.6507342041316857,"[1.0, 1.0, 0.01]"
1,7.83882352941176,"[0.1, 1.0, 100.0]"
1,1.6117143684665771,"[0.001, 100.0, 0.1]"
1,2.6539294966239155,"[0.001, 0.001, 0.1]"
1,2.376890182720654,"[0.01, 10.0, 0.001]"
1,2.397554493510185,"[0.01, 100.0, 0.1]"
1,2.6357445837338687,"[0.1, 100.0, 0.1]"
1,2.0935877173440205,"[0.001, 1.0, 1.0]"
1,2.626408419343574,"[100.0, 10.0, 0.01]"
1,2.650663240503744,"[100.0, 1.0, 0.1]"
1,2.650439628482973,"[100.0, 1.0, 1.0]"
1,2.650747184151622,"[1.0, 1.0, 0.001]"
1,2.640268659336934,"[10.0, 10.0, 1.0]"
1,2.6580566810956774,"[0.1, 0.001, 0.001]"
1,2.6540766436118126,"[0.001, 0.001, 1.0]"
1,1.6266100766025138,"[0.001, 100.0, 0.001]"
1,2.44818865521033,"[0.001, 0.1, 0.001]"
1,2.630079241351444,"[100.0, 100.0, 0.001]"
1,1.6250024419953557,"[0.001, 100.0, 0.01]"
1,2.630079241351444,"[10.0, 100.0, 0.001]"
2,2.7711904931875257,"[1.0, 1.0, 1.0]"
2,2.715009607388008,"[0.01, 0.1, 1.0]"
2,1.7454692660778324,"[0.001, 10.0, 1.0]"
2,2.751722689081265,"[1.0, 0.01, 0.001]"
2,2.748652069241032,"[0.001, 0.001, 0.1]"
2,2.7519488054718098,"[0.1, 0.001, 0.01]"
2,2.7502415965776112,"[100.0, 0.1, 0.01]"
2,2.751092436980424,"[100.0, 0.01, 0.1]"
2,2.7517149454925574,"[0.1, 0.01, 0.001]"
2,2.723604017808131,"[1.0, 100.0, 0.01]"
2,2.707637818622389,"[0.01, 0.1, 0.1]"
2,2.7260983499299947,"[1.0, 10.0, 0.001]"
2,1.5810738563518638,"[0.001, 10.0, 0.001]"
2,1.5816806889398984,"[0.001, 10.0, 0.01]"
2,2.7262392797996746,"[10.0, 10.0, 0.01]"
2,7.244705882352937,"[0.001, 10.0, 100.0]"
2,4.304212725797713,"[0.001, 10.0, 10.0]"
2,2.7260983501165734,"[10.0, 10.0, 0.001]"
2,2.7270220588235294,"[100.0, 10.0, 1.0]"
2,2.185111450773035,"[0.001, 1.0, 0.01]"
2,1.7315570758964633,"[0.001, 100.0, 0.001]"
2,2.749158824486393,"[0.001, 0.001, 0.001]"
2,2.7250161603102785,"[10.0, 100.0, 1.0]"
2,2.723464165284564,"[100.0, 100.0, 0.001]"
2,2.74654190382277,"[0.01, 0.01, 0.01]"
2,2.7536170340661044,"[0.001, 0.001, 1.0]"
2,2.7249509458214516,"[0.1, 10.0, 0.1]"
2,2.7089960935236665,"[0.01, 0.1, 0.001]"
2,2.756548947192856,"[0.1, 0.01, 1.0]"
2,1.7299546642493706,"[0.001, 100.0, 0.01]"
2,2.7240685603047643,"[0.001, 0.01, 0.01]"
2,2.745869199871223,"[10.0, 1.0, 0.1]"
2,2.7250039861661954,"[1.0, 100.0, 0.1]"
2,2.1846082408933585,"[0.001, 1.0, 0.001]"
2,2.586126177903692,"[0.001, 0.1, 0.01]"
2,2.7262392796124524,"[1.0, 10.0, 0.01]"
2,2.586043194824418,"[0.001, 0.1, 0.001]"
2,2.603042932688762,"[0.01, 1.0, 0.001]"
2,2.5941239911587903,"[0.001, 0.1, 1.0]"
2,2.744402089779449,"[10.0, 1.0, 0.01]"
2,2.7442516350025214,"[100.0, 1.0, 0.001]"
2,2.5206219823906317,"[0.01, 10.0, 1.0]"
2,2.4942174191697024,"[0.01, 100.0, 0.01]"
2,2.72360303316909,"[100.0, 100.0, 0.01]"
2,2.723464165284564,"[10.0, 100.0, 0.001]"
2,2.7270220588235294,"[10.0, 10.0, 1.0]"
2,2.723600984225537,"[0.1, 10.0, 0.01]"
2,2.723464193873422,"[0.1, 10.0, 0.001]"
2,2.7250161603102785,"[100.0, 100.0, 1.0]"
2,2.497446856737985,"[0.01, 10.0, 0.1]"
2,2.747943954643071,"[0.1, 0.1, 0.1]"
2,2.7249286460469246,"[0.1, 10.0, 1.0]"
2,2.745869199871223,"[1.0, 1.0, 0.1]"
2,2.7565546218487396,"[1.0, 0.01, 1.0]"
2,2.725003986297738,"[10.0, 100.0, 0.1]"
2,2.7243300036832103,"[0.001, 0.01, 0.1]"
2,1.700647429504452,"[0.001, 100.0, 1.0]"
2,2.2701532890051905,"[0.001, 1.0, 1.0]"
2,2.7513193277298944,"[100.0, 0.001, 0.1]"
2,1.7193105289598838,"[0.001, 100.0, 0.1]"
2,2.749158824486393,"[0.001, 0.001, 0.01]"
2,1.7193105289598838,"[0.001, 100.0, 0.1]"
2,1.5911223125552185,"[0.001, 10.0, 0.1]"
2,1.7193105289598838,"[0.001, 100.0, 0.1]"
2,1.5911223125552185,"[0.001, 10.0, 0.1]"
3,2.8011111292756534,"[1.0, 1.0, 1.0]"
3,2.8160924371558487,"[1.0, 0.01, 0.001]"
3,7.433277310924366,"[1.0, 100.0, 100.0]"
3,2.813943117535834,"[1.0, 0.1, 0.1]"
3,7.433277310924366,"[0.01, 100.0, 100.0]"
3,2.815134671467271,"[10.0, 10.0, 1.0]"
3,2.814411764676366,"[100.0, 0.1, 0.01]"
3,2.8130672270742796,"[1.0, 0.01, 1.0]"
3,2.8064204314752224,"[0.01, 0.01, 1.0]"
3,7.433277310924366,"[10.0, 0.01, 100.0]"
3,2.815134671467271,"[100.0, 10.0, 1.0]"
3,4.268684873964947,"[10.0, 0.001, 10.0]"
3,2.7992289884524726,"[0.1, 1.0, 1.0]"
3,2.007583281117132,"[0.001, 100.0, 0.1]"
3,2.769724056790127,"[0.001, 0.01, 0.1]"
3,2.8053967427629174,"[100.0, 1.0, 0.1]"
3,1.7829973345348187,"[0.001, 10.0, 0.1]"
3,2.8097940502734464,"[0.001, 0.001, 0.1]"
3,2.1360842318163598,"[0.001, 1.0, 0.01]"
3,2.76726934714714,"[0.001, 0.01, 0.01]"
3,2.808443349956206,"[1.0, 100.0, 0.01]"
3,2.8017708174184777,"[10.0, 10.0, 0.001]"
3,2.559858922349132,"[0.01, 10.0, 0.01]"
3,2.8109706325337585,"[0.001, 0.001, 0.01]"
3,2.566416493499977,"[0.01, 100.0, 0.001]"
3,2.8032199749741813,"[0.1, 1.0, 0.001]"
3,2.563515115900494,"[0.01, 10.0, 0.1]"
3,2.8077286269324024,"[0.1, 100.0, 0.1]"
3,2.8146022408620355,"[100.0, 0.1, 0.001]"
3,2.805723953298549,"[10.0, 1.0, 0.01]"
3,2.802968626647442,"[10.0, 10.0, 0.1]"
3,2.8110045798748406,"[0.001, 0.001, 0.001]"
3,2.8005398998942126,"[0.1, 10.0, 0.01]"
3,2.8075564860077016,"[0.01, 0.01, 0.1]"
3,2.566416493499977,"[0.01, 100.0, 0.001]"
3,4.297463127409172,"[0.1, 0.1, 10.0]"
3,2.807972386621114,"[0.001, 0.001, 1.0]"
3,2.8057433155079488,"[10.0, 1.0, 0.001]"
3,2.8088190464223834,"[0.01, 0.01, 0.01]"
3,2.8053967427629174,"[10.0, 1.0, 0.1]"
3,2.815033613444979,"[100.0, 0.001, 0.1]"
3,2.816270360442703,"[0.1, 0.001, 0.01]"
3,2.8095597069488263,"[1.0, 100.0, 0.1]"
3,1.779979916341133,"[0.001, 10.0, 0.001]"
3,1.779979916341133,"[0.001, 10.0, 0.001]"
3,1.779979916341133,"[0.001, 10.0, 0.001]"
3,1.932611206707535,"[0.001, 10.0, 1.0]"
3,1.7802557485480242,"[0.001, 10.0, 0.01]"
3,2.0126227759457556,"[0.001, 100.0, 0.001]"
3,2.548143014543641,"[0.001, 0.1, 0.001]"
3,2.060952555634539,"[0.001, 100.0, 1.0]"
3,2.0113924501806615,"[0.001, 100.0, 0.01]"
3,2.620924431256501,"[0.01, 1.0, 0.001]"
3,2.801770922380324,"[1.0, 10.0, 0.001]"
3,1.7802557485480242,"[0.001, 10.0, 0.01]"
3,1.7829973345348187,"[0.001, 10.0, 0.1]"
3,2.8083305925680326,"[100.0, 100.0, 0.001]"
3,2.8240104694895205,"[10.0, 100.0, 1.0]"
3,1.7829973345348187,"[0.001, 10.0, 0.1]"
3,2.7544848606854995,"[0.01, 0.1, 0.001]"
3,1.7829973345348187,"[0.001, 10.0, 0.1]"
3,2.812443838725204,"[0.01, 0.001, 1.0]"
3,1.7802557485480242,"[0.001, 10.0, 0.01]"
3,1.779979916341133,"[0.001, 10.0, 0.001]"
3,1.779979916341133,"[0.001, 10.0, 0.001]"
4,3.1989606860920974,"[1.0, 1.0, 1.0]"
4,3.193151260510463,"[10.0, 0.1, 1.0]"
4,3.1956489261883956,"[10.0, 0.1, 0.01]"
4,2.8347075565540187,"[0.01, 100.0, 0.01]"
4,2.9184307763896853,"[0.001, 0.1, 1.0]"
4,2.4467953877229394,"[0.001, 1.0, 0.1]"
4,2.8472406964316037,"[0.01, 10.0, 0.01]"
4,3.168050170692071,"[1.0, 10.0, 0.1]"
4,2.987733963237303,"[0.01, 1.0, 0.01]"
4,2.9184307763896853,"[0.001, 0.1, 1.0]"
4,2.8908915159845114,"[0.01, 10.0, 1.0]"
4,2.443681734805342,"[0.001, 1.0, 0.001]"
4,3.1475351057557566,"[0.001, 0.01, 0.001]"
4,2.4436665790049217,"[0.001, 1.0, 0.01]"
4,5.653865546218486,"[0.001, 1.0, 100.0]"
4,4.724822236586944,"[1.0, 10.0, 10.0]"
4,3.185125466852521,"[10.0, 1.0, 0.001]"
4,3.1934734234360342,"[0.001, 0.001, 0.01]"
4,3.1485377565615122,"[0.001, 0.01, 0.1]"
4,3.1960756302513023,"[100.0, 0.001, 0.1]"
4,3.1443977477691876,"[0.1, 100.0, 0.001]"
4,3.1958974789381265,"[100.0, 0.1, 0.001]"
4,3.1356986190834535,"[0.01, 0.1, 0.1]"
4,2.4467953877229394,"[0.001, 1.0, 0.1]"
4,3.1843452677668496,"[10.0, 1.0, 0.1]"
4,2.0310917669643223,"[0.001, 100.0, 0.01]"
4,3.166855234784974,"[100.0, 100.0, 0.01]"
4,3.1475351057557566,"[0.001, 0.01, 0.01]"
4,3.144251852406793,"[0.1, 100.0, 0.01]"
4,3.193053627257283,"[0.1, 0.001, 1.0]"
4,1.9943751107835594,"[0.001, 10.0, 0.01]"
4,3.173063892691908,"[100.0, 100.0, 1.0]"
4,3.1934694735954614,"[0.001, 0.001, 0.001]"
4,3.1687975042715477,"[1.0, 10.0, 0.01]"
4,2.922563960609604,"[0.001, 0.1, 0.01]"
4,2.015342443493813,"[0.001, 100.0, 0.1]"
4,3.1438645020301847,"[0.1, 100.0, 0.1]"
4,2.92497830022526,"[0.001, 0.1, 0.1]"
4,1.995017347251897,"[0.001, 10.0, 0.001]"
4,1.9913909959686307,"[0.001, 10.0, 0.1]"
4,2.0842003411277408,"[0.001, 10.0, 1.0]"
4,2.032667877588499,"[0.001, 100.0, 0.001]"
4,2.0219320654127855,"[0.001, 100.0, 1.0]"
4,1.9913909959686307,"[0.001, 10.0, 0.1]"
4,1.9913909959686307,"[0.001, 10.0, 0.1]"
