Fold,MAE (kcal/mol),Hyperparameters
1,0.9856241977586857,"[1.0, 1.0, 1.0]"
1,2.334621848739496,"[0.01, 0.01, 10.0]"
1,0.6648264972315789,"[0.01, 100.0, 0.01]"
1,0.9625173845267896,"[1.0, 100.0, 0.01]"
1,0.9401296941743015,"[0.1, 0.01, 0.01]"
1,2.334621848739496,"[0.001, 1.0, 10.0]"
1,0.8409882789146771,"[0.01, 0.1, 0.1]"
1,2.334621848739496,"[0.01, 0.01, 10.0]"
1,0.6720969494011803,"[0.01, 10.0, 0.1]"
1,0.9408145514632059,"[100.0, 0.1, 0.001]"
1,2.334621848739498,"[10.0, 0.01, 100.0]"
1,0.47665934664257903,"[0.001, 10.0, 0.1]"
1,0.9634908574008716,"[100.0, 10.0, 0.1]"
1,0.4967108194753771,"[0.001, 100.0, 0.1]"
1,0.9422697553386624,"[0.1, 10.0, 0.1]"
1,0.8959167769441464,"[0.001, 0.01, 0.1]"
1,0.934680322331659,"[0.001, 0.001, 0.1]"
1,0.6614758305903458,"[0.01, 10.0, 0.01]"
1,0.8398636145813878,"[0.01, 0.1, 0.01]"
1,0.47483476278899933,"[0.001, 10.0, 0.001]"
1,0.6523840993049251,"[0.001, 10.0, 1.0]"
1,0.5156042447189043,"[0.001, 100.0, 0.001]"
1,0.6609511502527234,"[0.01, 10.0, 0.001]"
1,0.4744584685492093,"[0.001, 10.0, 0.01]"
1,0.9215937314351116,"[0.01, 100.0, 1.0]"
1,0.5288878694370909,"[0.001, 1.0, 0.001]"
1,0.5298481295006879,"[0.001, 1.0, 0.01]"
1,0.5143621240566083,"[0.001, 100.0, 0.01]"
1,0.9614871929123002,"[10.0, 10.0, 0.001]"
1,0.7744771399205296,"[0.001, 0.1, 0.001]"
1,0.5351234305807849,"[0.001, 1.0, 0.1]"
1,0.9380520757559487,"[0.1, 10.0, 0.001]"
1,0.9615415972924112,"[100.0, 10.0, 0.01]"
1,0.7112259055030388,"[0.001, 1.0, 1.0]"
1,0.9619677317293955,"[1.0, 10.0, 0.001]"
1,0.8961785060913334,"[0.001, 0.01, 0.01]"
1,0.941588891461225,"[10.0, 1.0, 0.01]"
1,0.9209454888072022,"[0.1, 1.0, 0.01]"
1,0.5156042447189043,"[0.001, 100.0, 0.001]"
1,0.6728662323167741,"[0.01, 1.0, 0.001]"
1,0.9639811347573617,"[10.0, 100.0, 0.1]"
1,0.9644272292396312,"[1.0, 100.0, 0.1]"
1,0.5156042447189043,"[0.001, 100.0, 0.001]"
1,1.0536059087313534,"[100.0, 100.0, 1.0]"
1,1.052028125261635,"[0.1, 100.0, 1.0]"
1,0.9414997201235882,"[100.0, 1.0, 0.001]"
1,0.4744584685492093,"[0.001, 10.0, 0.01]"
1,0.47483476278899933,"[0.001, 10.0, 0.001]"
1,0.47665934664257903,"[0.001, 10.0, 0.1]"
1,0.9387618403875426,"[0.1, 100.0, 0.01]"
2,1.0105325362222086,"[1.0, 1.0, 1.0]"
2,2.360000000000003,"[10.0, 0.001, 100.0]"
2,0.9538097594392022,"[0.1, 0.001, 0.001]"
2,2.3600000000000003,"[100.0, 1.0, 10.0]"
2,0.8462771129738056,"[0.01, 0.1, 0.01]"
2,1.0950489792860236,"[10.0, 100.0, 1.0]"
2,2.360000000000003,"[0.1, 0.1, 100.0]"
2,0.9543696973823648,"[1.0, 0.01, 0.1]"
2,2.360000000000003,"[0.01, 100.0, 100.0]"
2,0.9826236272037278,"[1.0, 10.0, 0.01]"
2,2.360000000000003,"[0.01, 0.001, 100.0]"
2,0.9533415212264787,"[100.0, 0.1, 0.01]"
2,0.9538361847247676,"[10.0, 0.001, 0.01]"
2,0.9822593168714474,"[10.0, 100.0, 0.001]"
2,0.9454041237360911,"[0.1, 100.0, 0.1]"
2,0.948045485451885,"[0.1, 0.1, 0.01]"
2,0.45869164130062845,"[0.001, 10.0, 0.1]"
2,0.6511508025942893,"[0.01, 10.0, 0.1]"
2,0.5368824473586995,"[0.001, 1.0, 0.1]"
2,0.9490130220508083,"[0.001, 0.001, 0.1]"
2,0.77854516211782,"[0.001, 0.1, 0.1]"
2,0.955381212727028,"[10.0, 1.0, 0.1]"
2,0.9852395525339891,"[100.0, 10.0, 0.1]"
2,0.9532813026749929,"[100.0, 0.1, 0.001]"
2,0.9641267270370514,"[0.01, 0.01, 1.0]"
2,0.9409760785833412,"[0.01, 0.01, 0.001]"
2,0.8468899012781934,"[0.01, 0.1, 0.1]"
2,0.5309925558292379,"[0.001, 1.0, 0.001]"
2,0.9538512054595809,"[1.0, 1.0, 0.001]"
2,0.46746550152892147,"[0.001, 10.0, 0.001]"
2,0.46746550152892147,"[0.001, 10.0, 0.001]"
2,0.46746550152892147,"[0.001, 10.0, 0.001]"
2,0.5309502532176281,"[0.001, 1.0, 0.01]"
2,0.6334592172771585,"[0.001, 10.0, 1.0]"
2,0.4658724961029502,"[0.001, 10.0, 0.01]"
2,0.9082453629299196,"[0.001, 0.01, 0.01]"
2,0.7805755412955276,"[0.001, 0.1, 0.001]"
2,0.7015785967636141,"[0.001, 1.0, 1.0]"
2,0.5302211296022089,"[0.001, 100.0, 0.01]"
2,0.5326465453998286,"[0.001, 100.0, 0.001]"
2,0.511311261952381,"[0.001, 100.0, 0.1]"
2,0.9072035315145702,"[0.001, 0.01, 0.1]"
2,0.6274754837605507,"[0.01, 10.0, 0.001]"
2,1.0850147955756715,"[0.1, 10.0, 1.0]"
2,0.9487765000114318,"[0.001, 0.001, 0.01]"
2,0.6614698811052301,"[0.01, 1.0, 0.001]"
2,0.9820956993370095,"[10.0, 10.0, 0.01]"
2,0.9148388664826796,"[0.1, 1.0, 0.001]"
2,0.9863740689975466,"[1.0, 100.0, 0.1]"
2,0.46746550152892147,"[0.001, 10.0, 0.001]"
3,1.0625295682989646,"[1.0, 1.0, 1.0]"
3,1.0286339445063188,"[1.0, 0.1, 0.01]"
3,1.0331932773109245,"[0.1, 1.0, 10.0]"
3,0.9193328244532056,"[0.01, 0.1, 0.01]"
3,1.041836134457174,"[100.0, 0.001, 1.0]"
3,1.0283613445378148,"[100.0, 0.001, 0.1]"
3,1.0271549917459282,"[10.0, 1.0, 0.1]"
3,1.0592621020806905,"[0.1, 1.0, 1.0]"
3,1.0331932773109243,"[100.0, 0.001, 100.0]"
3,0.7960130410492711,"[0.001, 10.0, 1.0]"
3,0.7792280796907312,"[0.01, 1.0, 0.01]"
3,1.0183575132040803,"[0.001, 0.01, 1.0]"
3,0.7821391258206193,"[0.01, 10.0, 0.01]"
3,0.7821548432703783,"[0.01, 100.0, 0.01]"
3,1.0270577420136702,"[0.01, 0.001, 0.01]"
3,1.0529279279531212,"[100.0, 10.0, 0.1]"
3,1.0499805504625663,"[10.0, 10.0, 0.01]"
3,1.015000716568211,"[0.01, 0.01, 0.01]"
3,0.8104698600698541,"[0.001, 100.0, 1.0]"
3,0.789920865534927,"[0.001, 1.0, 1.0]"
3,1.0393337152890982,"[0.001, 0.001, 1.0]"
