Fold,MAE (kcal/mol),Hyperparameters
1,2.6588752079394653,"[1.0, 1.0, 1.0]"
1,2.566640775615793,"[0.1, 100.0, 0.01]"
1,2.6590624999999997,"[10.0, 1.0, 1.0]"
1,2.6705294387634795,"[1.0, 100.0, 0.001]"
1,0.6023030493018329,"[0.001, 100.0, 0.001]"
1,2.654427737972124,"[0.1, 0.1, 1.0]"
1,2.6709453391848803,"[10.0, 100.0, 0.1]"
1,4.318067227287286,"[1.0, 0.1, 10.0]"
1,2.5893313133766855,"[0.001, 0.01, 0.001]"
1,4.290126050330949,"[10.0, 0.01, 10.0]"
1,7.83882352941176,"[0.001, 0.001, 100.0]"
1,1.2941550190619493,"[0.01, 10.0, 0.01]"
1,2.6580672268907564,"[10.0, 0.01, 0.01]"
1,2.6508889266322817,"[0.001, 0.001, 0.1]"
1,2.6580271417077057,"[0.1, 0.001, 0.001]"
1,2.658125531456448,"[1.0, 0.1, 0.01]"
1,2.658109243685896,"[100.0, 0.01, 0.1]"
1,2.6591282030052144,"[100.0, 1.0, 0.001]"
1,2.650906763081781,"[0.001, 0.001, 0.01]"
1,1.6556685703374627,"[0.01, 10.0, 1.0]"
1,2.620624819528379,"[0.1, 1.0, 0.1]"
1,2.678064417967768,"[100.0, 100.0, 1.0]"
1,1.2916752980981139,"[0.01, 10.0, 0.001]"
1,2.658133520076133,"[10.0, 0.1, 0.001]"
1,2.6591204329513207,"[100.0, 1.0, 0.01]"
1,2.4863910775864873,"[0.01, 0.1, 0.1]"
1,1.2916752980981139,"[0.01, 10.0, 0.001]"
1,0.6119149650331775,"[0.001, 10.0, 0.001]"
1,0.898554640320848,"[0.001, 10.0, 1.0]"
1,0.611342515398319,"[0.001, 10.0, 0.01]"
1,0.6236545036819817,"[0.001, 10.0, 0.1]"
1,0.6119149650331775,"[0.001, 10.0, 0.001]"
1,2.666593206825385,"[100.0, 10.0, 0.1]"
1,0.6206644223116067,"[0.001, 100.0, 0.1]"
1,0.8956441308214381,"[0.001, 100.0, 1.0]"
1,1.0779920642071719,"[0.001, 1.0, 0.1]"
1,0.6044032988541805,"[0.001, 100.0, 0.01]"
1,1.0746432164859052,"[0.001, 1.0, 0.01]"
1,2.14405888422576,"[0.001, 0.1, 0.01]"
1,1.0747085310226387,"[0.001, 1.0, 0.001]"
1,2.5603671385563156,"[0.1, 10.0, 0.001]"
1,1.2951539284735787,"[0.01, 100.0, 0.001]"
1,5.214050403324659,"[0.001, 100.0, 10.0]"
1,2.590588527303383,"[0.001, 0.01, 1.0]"
1,2.5904043530845753,"[0.001, 0.01, 0.1]"
1,2.6667320550125724,"[1.0, 10.0, 0.1]"
1,1.780732807404292,"[0.01, 1.0, 0.01]"
1,1.3238096460898652,"[0.01, 100.0, 0.1]"
1,2.666225598368481,"[10.0, 10.0, 0.001]"
1,2.670411661203956,"[10.0, 100.0, 0.01]"
1,2.639844051163229,"[0.01, 0.01, 0.01]"
1,2.6132579586850575,"[0.1, 100.0, 1.0]"
1,5.076499128879387,"[0.01, 10.0, 10.0]"
1,2.6562449091907165,"[0.01, 0.001, 0.001]"
1,2.670889842902084,"[100.0, 100.0, 0.1]"
1,2.66636011617121,"[1.0, 10.0, 0.01]"
1,2.620023343856113,"[0.1, 1.0, 0.001]"
1,1.2613935129120073,"[0.001, 1.0, 1.0]"
1,2.678374611928371,"[1.0, 100.0, 1.0]"
1,2.143927057002116,"[0.001, 0.1, 0.001]"
1,2.658133520076133,"[100.0, 0.1, 0.001]"
1,0.6023030493018329,"[0.001, 100.0, 0.001]"
1,2.6591358699805263,"[10.0, 1.0, 0.001]"
1,2.6508861225973805,"[0.001, 0.001, 1.0]"
1,2.6576898184114275,"[0.1, 0.01, 1.0]"
2,2.771536394346267,"[1.0, 1.0, 1.0]"
2,2.7519664321629795,"[10.0, 0.001, 0.001]"
2,2.7461712853761537,"[0.1, 0.1, 0.01]"
2,2.771536394346267,"[1.0, 1.0, 1.0]"
2,2.7520753230913093,"[100.0, 0.1, 0.001]"
2,1.9186910691785561,"[0.01, 1.0, 0.1]"
2,2.749390827044515,"[0.01, 0.001, 0.1]"
2,2.7541453531112587,"[1.0, 0.1, 1.0]"
2,2.7564851302601987,"[0.1, 0.001, 1.0]"
2,2.745093467462475,"[0.001, 0.001, 0.01]"
2,7.244705882352937,"[0.01, 1.0, 100.0]"
2,4.195252100840336,"[10.0, 1.0, 10.0]"
2,2.749706623489185,"[10.0, 0.1, 0.1]"
2,2.724149198452309,"[100.0, 100.0, 0.1]"
2,1.5558067384448162,"[0.01, 10.0, 0.1]"
2,2.7318086298045188,"[0.01, 0.01, 0.1]"
2,2.7274073282995737,"[100.0, 10.0, 0.01]"
2,1.212014009299832,"[0.001, 1.0, 0.001]"
2,0.6255703655622592,"[0.001, 10.0, 0.001]"
2,0.6455329607791844,"[0.001, 10.0, 0.1]"
2,2.597499906554095,"[0.1, 10.0, 0.001]"
2,1.0154097283529302,"[0.001, 10.0, 1.0]"
2,0.580351258209791,"[0.001, 100.0, 0.001]"
2,0.984710726813254,"[0.001, 100.0, 1.0]"
2,2.2934717538170153,"[0.001, 0.1, 0.001]"
2,2.7273714831280262,"[1.0, 10.0, 0.1]"
