Fold,MAE (kcal/mol),Hyperparameters
1,0.9856121156313727,"[1.0, 1.0, 1.0]"
1,0.932465061599851,"[0.01, 0.1, 1.0]"
1,0.9408119734731246,"[10.0, 0.1, 0.01]"
1,0.9406011630228751,"[1.0, 0.1, 0.1]"
1,0.9398060187336466,"[0.01, 0.001, 0.001]"
1,0.7228169024416361,"[0.01, 1.0, 0.1]"
1,0.9424908986579815,"[10.0, 1.0, 0.1]"
1,2.334621848739496,"[1.0, 0.01, 10.0]"
1,2.334621848739498,"[100.0, 0.001, 100.0]"
1,0.9416493981963538,"[1.0, 1.0, 0.001]"
1,2.334621848739498,"[0.01, 10.0, 100.0]"
1,0.9406160582346149,"[0.1, 0.001, 0.01]"
1,0.9397370413942794,"[0.1, 0.001, 0.1]"
1,0.4854990720941358,"[0.001, 10.0, 0.01]"
1,0.9615407872666774,"[100.0, 10.0, 0.01]"
1,0.9408282043762011,"[10.0, 0.1, 0.001]"
1,0.9513025210084034,"[100.0, 0.001, 1.0]"
1,0.5020319051456605,"[0.001, 100.0, 0.01]"
1,0.9621209814270842,"[1.0, 10.0, 0.01]"
1,0.7069658193055224,"[0.01, 10.0, 0.01]"
1,0.48524696104042947,"[0.001, 10.0, 0.1]"
1,0.9634908574008508,"[100.0, 10.0, 0.1]"
1,0.503308370103673,"[0.001, 100.0, 0.1]"
1,0.940572329676802,"[0.1, 0.01, 0.001]"
1,0.9515336134350475,"[10.0, 0.01, 1.0]"
1,0.5032996011773121,"[0.001, 100.0, 0.001]"
1,0.961778890339166,"[100.0, 100.0, 0.001]"
1,1.0544698180125547,"[0.1, 100.0, 1.0]"
1,0.7248310606352735,"[0.001, 10.0, 1.0]"
1,0.5438823685784422,"[0.001, 1.0, 0.01]"
1,0.8994883722036444,"[0.001, 0.01, 0.1]"
1,0.5020319051456605,"[0.001, 100.0, 0.01]"
1,0.5438823685784422,"[0.001, 1.0, 0.01]"
1,0.48750113241277027,"[0.001, 10.0, 0.001]"
1,0.5442020103504868,"[0.001, 1.0, 0.001]"
1,0.936547191742408,"[0.001, 0.001, 0.01]"
1,0.5446267080429392,"[0.001, 1.0, 0.1]"
1,0.7755555262165458,"[0.001, 0.1, 0.001]"
1,0.7762429221747063,"[0.001, 0.1, 0.1]"
1,0.9532351892451556,"[0.1, 10.0, 0.01]"
1,0.5032996011773121,"[0.001, 100.0, 0.001]"
1,0.5032996011773121,"[0.001, 100.0, 0.001]"
1,0.7102969035339578,"[0.01, 100.0, 0.01]"
1,0.7363277023625627,"[0.001, 1.0, 1.0]"
1,0.7148515060000801,"[0.01, 1.0, 0.01]"
1,0.9620465754196611,"[10.0, 100.0, 0.01]"
1,0.9334680223947311,"[0.1, 1.0, 0.001]"
1,0.725113237952404,"[0.001, 100.0, 1.0]"
1,0.48750113241277027,"[0.001, 10.0, 0.001]"
1,0.9320664519807905,"[0.01, 0.01, 0.01]"
1,1.0539528616801146,"[10.0, 10.0, 1.0]"
1,0.8994784444666625,"[0.001, 0.01, 0.001]"
1,0.9843801754278698,"[100.0, 1.0, 1.0]"
1,0.9644262022764272,"[1.0, 100.0, 0.1]"
1,0.9407901983337054,"[100.0, 0.1, 0.01]"
1,0.48524696104042947,"[0.001, 10.0, 0.1]"
1,0.8598385839753993,"[0.01, 0.1, 0.01]"
1,0.705736794028426,"[0.01, 10.0, 0.001]"
1,0.4854990720941358,"[0.001, 10.0, 0.01]"
1,0.93978289122131,"[0.1, 0.1, 0.001]"
1,0.9397478991596638,"[10.0, 0.001, 0.1]"
1,0.9406722689075628,"[100.0, 0.01, 0.001]"
1,0.9397478991538335,"[1.0, 0.001, 0.1]"
1,0.48524696104042947,"[0.001, 10.0, 0.1]"
1,0.9403641456118983,"[1.0, 0.01, 0.01]"
2,1.0105217296802127,"[1.0, 1.0, 1.0]"
2,0.9536980713562823,"[10.0, 0.01, 0.01]"
2,2.3600000000000003,"[0.1, 0.01, 10.0]"
2,0.9852592399499916,"[10.0, 10.0, 0.1]"
2,0.7237894349427578,"[0.01, 1.0, 0.1]"
2,2.360000000000003,"[10.0, 0.01, 100.0]"
2,0.9718954242029255,"[1.0, 0.1, 1.0]"
2,2.3600000000000003,"[1.0, 10.0, 10.0]"
2,0.9541958338694163,"[10.0, 0.1, 0.1]"
2,0.9857716995076327,"[10.0, 100.0, 0.1]"
2,0.9638342545681239,"[0.1, 10.0, 0.01]"
2,0.9537815717044397,"[1.0, 0.01, 0.001]"
2,0.7783434240250718,"[0.001, 0.1, 0.1]"
2,0.8704996662166326,"[0.01, 0.1, 0.1]"
2,0.9408784294241977,"[0.1, 1.0, 0.1]"
2,0.9554118958338108,"[100.0, 1.0, 0.1]"
2,0.6896332729212796,"[0.01, 10.0, 0.001]"
2,0.42947192415585994,"[0.001, 10.0, 0.001]"
2,0.5339266213326593,"[0.001, 1.0, 0.001]"
2,0.9818318852743352,"[10.0, 10.0, 0.001]"
2,0.9819042882466282,"[100.0, 10.0, 0.001]"
2,0.9633839820501444,"[0.1, 10.0, 0.001]"
2,1.0950266622948817,"[10.0, 100.0, 1.0]"
2,0.9491209784002186,"[0.001, 0.001, 0.001]"
2,0.949120188295487,"[0.001, 0.001, 0.01]"
2,0.9539836645127908,"[100.0, 1.0, 0.01]"
2,0.7118355927417792,"[0.01, 1.0, 0.001]"
2,0.8658934286079678,"[0.01, 0.1, 0.01]"
2,0.9544453840606135,"[1.0, 0.001, 0.1]"
2,0.9790665177550737,"[0.01, 10.0, 1.0]"
2,0.7161490563159983,"[0.001, 1.0, 1.0]"
2,0.5076868342917561,"[0.001, 100.0, 0.001]"
2,0.5339266213326593,"[0.001, 1.0, 0.001]"
2,0.5076868342917561,"[0.001, 100.0, 0.001]"
2,0.7782806766338957,"[0.001, 0.1, 0.001]"
2,0.5042907891248362,"[0.001, 100.0, 0.01]"
2,0.5334213645789884,"[0.001, 1.0, 0.01]"
2,0.42683039913617205,"[0.001, 10.0, 0.01]"
2,0.9104551962292432,"[0.001, 0.01, 0.01]"
2,0.9826217940428931,"[1.0, 10.0, 0.01]"
2,0.6469303353357182,"[0.001, 10.0, 1.0]"
2,0.7779533718032927,"[0.001, 0.1, 0.01]"
2,0.6482770312067453,"[0.001, 100.0, 1.0]"
2,0.538959309078666,"[0.001, 1.0, 0.1]"
2,0.43365050481801565,"[0.001, 10.0, 0.1]"
2,0.6907685294374656,"[0.01, 100.0, 0.001]"
2,0.9863770718834975,"[1.0, 100.0, 0.1]"
