Fold,MAE (kcal/mol),Hyperparameters
1,2.6589022073927784,"[1.0, 1.0, 1.0]"
1,5.1031042574010685,"[0.001, 10.0, 10.0]"
1,2.6580672268844157,"[1.0, 0.001, 0.01]"
1,2.631821282873704,"[0.1, 100.0, 0.001]"
1,2.6582303509639145,"[10.0, 0.1, 1.0]"
1,2.6581283422450226,"[10.0, 0.1, 0.01]"
1,7.83882352941176,"[0.001, 10.0, 100.0]"
1,2.646006306444696,"[0.01, 0.01, 0.01]"
1,2.659074945141362,"[1.0, 1.0, 0.1]"
1,2.6580672268907564,"[10.0, 0.001, 0.001]"
1,2.678413010226408,"[1.0, 100.0, 1.0]"
1,7.83882352941176,"[100.0, 10.0, 100.0]"
1,4.930262605042016,"[10.0, 100.0, 10.0]"
1,2.646006306444696,"[0.01, 0.01, 0.001]"
1,2.6591268195516085,"[100.0, 1.0, 0.001]"
1,2.670942523594912,"[10.0, 100.0, 0.1]"
1,2.6566722595827845,"[0.1, 0.1, 0.001]"
1,2.666396444633404,"[1.0, 10.0, 0.001]"
1,1.1062273389711954,"[0.001, 1.0, 0.01]"
1,2.6445967350001967,"[0.1, 1.0, 0.01]"
1,0.7220026061239327,"[0.001, 100.0, 0.01]"
1,0.7100382568734969,"[0.001, 10.0, 0.01]"
1,2.596135240245732,"[0.001, 0.01, 0.01]"
1,0.7100382568734969,"[0.001, 10.0, 0.01]"
1,2.666222141029436,"[100.0, 10.0, 0.01]"
1,1.5111101008635386,"[0.01, 100.0, 0.01]"
1,2.6517024798064495,"[0.001, 0.001, 0.01]"
1,2.6664339348181185,"[1.0, 10.0, 0.01]"
1,2.540284567846356,"[0.01, 0.1, 0.1]"
1,2.647660997264229,"[0.01, 0.01, 1.0]"
1,0.7220026061239327,"[0.001, 100.0, 0.01]"
1,2.651679018564011,"[0.001, 0.001, 0.1]"
1,2.672443697479002,"[100.0, 10.0, 1.0]"
1,2.6579629561997384,"[0.1, 0.01, 0.1]"
1,2.1857090335182976,"[0.001, 0.1, 0.01]"
1,2.6704089083480995,"[10.0, 100.0, 0.01]"
1,2.6665932068253797,"[100.0, 10.0, 0.1]"
1,2.6580152134234187,"[0.1, 0.001, 1.0]"
1,1.9357240164958327,"[0.01, 1.0, 0.01]"
1,1.1072581645310597,"[0.001, 1.0, 0.001]"
1,2.596149005856159,"[0.001, 0.01, 0.001]"
1,1.9352861796994107,"[0.01, 1.0, 0.001]"
1,0.7217291667511669,"[0.001, 100.0, 0.001]"
1,2.1857701125923112,"[0.001, 0.1, 0.001]"
1,0.9948887486074908,"[0.001, 100.0, 1.0]"
1,0.7314531164753856,"[0.001, 100.0, 0.1]"
1,1.1015236858905524,"[0.001, 1.0, 0.1]"
1,0.71032972016884,"[0.001, 10.0, 0.001]"
1,0.7245733416396177,"[0.001, 10.0, 0.1]"
1,2.6286701323877915,"[0.1, 10.0, 0.1]"
1,2.666223643629175,"[10.0, 10.0, 0.001]"
1,1.5083714553730083,"[0.01, 10.0, 0.001]"
1,1.5353691961389109,"[0.01, 100.0, 0.1]"
1,2.6479715343657797,"[0.1, 1.0, 1.0]"
1,2.67030325002905,"[100.0, 100.0, 0.001]"
1,0.7100382568734969,"[0.001, 10.0, 0.01]"
1,2.656989886129003,"[0.01, 0.001, 1.0]"
1,0.7100382568734969,"[0.001, 10.0, 0.01]"
1,2.659135520546531,"[10.0, 1.0, 0.001]"
1,0.7100382568734969,"[0.001, 10.0, 0.01]"
1,0.71032972016884,"[0.001, 10.0, 0.001]"
1,0.71032972016884,"[0.001, 10.0, 0.001]"
1,2.658133519442059,"[1.0, 0.1, 0.001]"
1,2.6582303509639145,"[100.0, 0.1, 1.0]"
1,0.7220026061239327,"[0.001, 100.0, 0.01]"
2,2.771530396257772,"[1.0, 1.0, 1.0]"
2,2.7519796610080607,"[100.0, 0.1, 0.01]"
2,3.9733747000222985,"[0.01, 0.001, 10.0]"
2,2.7465782568730637,"[10.0, 1.0, 0.1]"
2,4.006218487889576,"[100.0, 0.1, 10.0]"
2,2.7513142878531816,"[0.1, 0.001, 0.1]"
2,7.244705882352937,"[0.001, 0.01, 100.0]"
2,2.7520367359191686,"[10.0, 0.1, 0.001]"
2,4.4322581995958625,"[0.1, 100.0, 10.0]"
2,2.746057170443361,"[0.001, 0.001, 0.01]"
2,2.7513142878531816,"[0.1, 0.001, 0.1]"
2,2.7268089885127704,"[1.0, 10.0, 0.001]"
2,2.7274982222258393,"[100.0, 10.0, 0.01]"
2,2.727094971448169,"[10.0, 10.0, 0.01]"
2,1.7511027182468542,"[0.01, 100.0, 0.001]"
2,2.738698909732386,"[0.01, 0.01, 0.001]"
2,2.750647201804877,"[0.01, 0.001, 0.001]"
2,2.7565546218487396,"[10.0, 0.01, 1.0]"
2,2.72549542651593,"[0.1, 1.0, 0.001]"
2,0.6869974256499919,"[0.001, 100.0, 0.001]"
2,2.723661988798255,"[100.0, 100.0, 0.001]"
2,1.2693914134525,"[0.001, 1.0, 0.001]"
2,0.6966073301336674,"[0.001, 10.0, 0.001]"
2,2.334428957964829,"[0.001, 0.1, 0.001]"
2,1.7732066167659617,"[0.01, 100.0, 0.1]"
2,2.751266243416994,"[100.0, 0.01, 0.1]"
2,0.7066225169026167,"[0.001, 100.0, 0.1]"
2,0.711070757633706,"[0.001, 10.0, 0.1]"
2,2.3284640031685298,"[0.001, 0.1, 0.1]"
2,2.7273844213240084,"[1.0, 10.0, 0.1]"
2,1.2741468560516518,"[0.001, 1.0, 0.1]"
2,2.6970061646023256,"[0.001, 0.01, 0.1]"
2,1.0649009891832721,"[0.001, 100.0, 1.0]"
2,1.0808138971142032,"[0.001, 10.0, 1.0]"
