Fold,MAE (kcal/mol),Hyperparameters
1,0.985612115349737,"[1.0, 1.0, 1.0]"
1,2.334621848739496,"[10.0, 1.0, 10.0]"
1,0.961906609238177,"[10.0, 100.0, 0.001]"
1,0.939747899159664,"[10.0, 0.01, 0.1]"
1,0.916973475601127,"[0.001, 0.01, 0.01]"
1,0.8168252526074484,"[0.001, 0.1, 0.1]"
1,0.961906609238177,"[10.0, 100.0, 0.001]"
1,0.940364066520102,"[0.1, 0.01, 0.01]"
1,2.334621848739498,"[0.1, 0.001, 100.0]"
1,1.0552753601440577,"[1.0, 100.0, 1.0]"
1,0.8159139841491658,"[0.001, 0.1, 0.01]"
1,0.6256750388589811,"[0.001, 10.0, 0.01]"
1,0.6406985029381425,"[0.001, 1.0, 0.01]"
1,0.6248709663232547,"[0.001, 100.0, 0.01]"
1,0.9388328139551523,"[0.001, 0.001, 0.01]"
1,0.9645014180615678,"[0.1, 100.0, 0.1]"
1,0.9613759155797738,"[100.0, 10.0, 0.001]"
1,0.9303695125632301,"[0.01, 100.0, 0.01]"
1,0.9616683025331564,"[10.0, 10.0, 0.01]"
1,0.9619421429131095,"[100.0, 100.0, 0.01]"
1,0.9397478991596638,"[1.0, 0.001, 0.1]"
1,0.9424908986579815,"[100.0, 1.0, 0.1]"
1,0.933877387444699,"[0.01, 0.1, 0.001]"
1,0.9417361758638136,"[1.0, 1.0, 0.01]"
1,1.0506324155328595,"[0.01, 10.0, 1.0]"
1,0.9352777352072248,"[0.01, 10.0, 0.1]"
1,0.6398979383502041,"[0.001, 1.0, 0.001]"
1,0.916653350952297,"[0.001, 0.01, 0.001]"
1,0.9416545267342809,"[1.0, 1.0, 0.001]"
1,0.9417132258694879,"[0.1, 1.0, 0.001]"
1,0.6510023770339549,"[0.001, 1.0, 0.1]"
1,0.6247836228540702,"[0.001, 10.0, 0.001]"
1,0.6305136082132646,"[0.001, 10.0, 0.1]"
1,0.6239649391678201,"[0.001, 100.0, 0.001]"
1,0.8416487044795411,"[0.001, 1.0, 1.0]"
1,0.631856729840152,"[0.001, 100.0, 0.1]"
1,0.81567918630182,"[0.001, 0.1, 0.001]"
1,0.964044117679929,"[1.0, 10.0, 0.1]"
1,0.9374506452125724,"[0.001, 0.001, 0.1]"
1,0.6510023770339549,"[0.001, 1.0, 0.1]"
1,0.9424908986579815,"[10.0, 1.0, 0.1]"
1,0.631856729840152,"[0.001, 100.0, 0.1]"
1,0.9096116820728996,"[0.01, 1.0, 0.001]"
1,0.631856729840152,"[0.001, 100.0, 0.1]"
1,0.9622330668871588,"[0.1, 10.0, 0.01]"
1,0.9406011636059131,"[1.0, 0.1, 0.1]"
1,0.6239649391678201,"[0.001, 100.0, 0.001]"
1,0.9531990727420407,"[100.0, 0.1, 1.0]"
1,0.9531990727420407,"[10.0, 0.1, 1.0]"
1,0.9531988161720841,"[0.1, 0.1, 1.0]"
2,1.0105217338734054,"[1.0, 1.0, 1.0]"
2,0.9823419073982596,"[1.0, 10.0, 0.001]"
2,0.9537820242869545,"[10.0, 0.01, 0.001]"
2,2.360000000000003,"[100.0, 1.0, 100.0]"
2,0.9700000000000001,"[10.0, 0.001, 1.0]"
2,0.9532777792471562,"[0.1, 0.1, 0.01]"
2,0.931547631046092,"[0.01, 1.0, 0.1]"
2,2.360000000000003,"[0.1, 0.01, 100.0]"
2,0.9543682691018397,"[0.1, 0.01, 0.1]"
2,0.982294333410127,"[100.0, 100.0, 0.001]"
2,0.9539384489711078,"[0.1, 1.0, 0.01]"
2,2.3600000000000003,"[1.0, 0.001, 10.0]"
2,0.9555000675997276,"[1.0, 1.0, 0.1]"
2,0.9529953843650376,"[0.01, 0.01, 0.01]"
2,0.9852890051246377,"[10.0, 10.0, 0.1]"
2,0.6643822172116609,"[0.001, 100.0, 0.01]"
2,0.9825701247551185,"[10.0, 100.0, 0.01]"
2,0.9533423782547081,"[100.0, 0.1, 0.01]"
2,0.9831197661625205,"[1.0, 100.0, 0.01]"
2,0.9512583076320749,"[0.001, 0.001, 0.01]"
2,0.9700000000000001,"[100.0, 0.01, 1.0]"
2,0.9460781762911622,"[0.01, 0.1, 0.001]"
2,0.9150315977010184,"[0.001, 0.1, 1.0]"
2,0.6708373647007586,"[0.001, 100.0, 0.1]"
