Fold,MAE (kcal/mol),Hyperparameters
1,2.658897474065047,"[1.0, 1.0, 1.0]"
1,4.930262605042016,"[1.0, 10.0, 10.0]"
1,1.6587542314144414,"[0.001, 1.0, 1.0]"
1,4.336449967102998,"[0.001, 0.1, 10.0]"
1,2.658133520076133,"[100.0, 0.1, 0.001]"
1,2.6707194085269017,"[0.1, 100.0, 0.01]"
1,2.659123883977712,"[10.0, 1.0, 0.01]"
1,4.2865336134643375,"[0.1, 0.001, 10.0]"
1,2.658109243685896,"[1.0, 0.01, 0.1]"
1,2.66647656718367,"[0.1, 10.0, 0.01]"
1,2.6572771495039853,"[0.01, 0.01, 0.001]"
1,2.6582301454688846,"[0.1, 0.1, 1.0]"
1,7.83882352941176,"[0.01, 10.0, 100.0]"
1,2.657465164561904,"[0.01, 0.01, 1.0]"
1,2.6590624999999997,"[10.0, 1.0, 1.0]"
1,1.4699498061739458,"[0.001, 1.0, 0.1]"
1,2.659074382648921,"[0.1, 1.0, 0.1]"
1,1.1592169877867067,"[0.001, 10.0, 0.001]"
1,2.666439084548982,"[0.1, 10.0, 0.001]"
1,1.1602209526335339,"[0.001, 10.0, 0.01]"
1,2.6591197458531006,"[100.0, 1.0, 0.01]"
1,2.66618750123487,"[100.0, 10.0, 0.001]"
1,2.6543350667504892,"[0.001, 0.001, 0.001]"
1,2.6581470588108074,"[10.0, 0.001, 0.1]"
1,4.291141431620479,"[0.001, 0.01, 10.0]"
1,7.83882352941176,"[100.0, 0.01, 100.0]"
1,2.4827194478875767,"[0.01, 100.0, 0.1]"
1,2.384381466305877,"[0.001, 0.1, 0.01]"
1,2.6665932068254516,"[100.0, 10.0, 0.1]"
1,2.6572771495039853,"[0.01, 0.01, 0.01]"
1,2.6580294117649044,"[100.0, 0.001, 1.0]"
1,2.6591357348715285,"[10.0, 1.0, 0.001]"
1,2.3850703051854216,"[0.001, 0.1, 0.1]"
1,2.6580672268907564,"[1.0, 0.001, 0.01]"
1,1.414441739049578,"[0.001, 10.0, 1.0]"
1,1.414441739049578,"[0.001, 10.0, 1.0]"
1,1.4194389190754888,"[0.001, 100.0, 1.0]"
1,1.4194389190754888,"[0.001, 100.0, 1.0]"
1,1.1701621839923304,"[0.001, 100.0, 0.001]"
1,1.4606212242328487,"[0.001, 1.0, 0.001]"
1,1.1713948299734107,"[0.001, 100.0, 0.01]"
1,1.1842337615364757,"[0.001, 100.0, 0.1]"
1,2.6210527063925166,"[0.001, 0.01, 0.001]"
1,1.1785874769373539,"[0.001, 10.0, 0.1]"
1,1.461260476790052,"[0.001, 1.0, 0.01]"
1,2.6543271827155728,"[0.001, 0.001, 0.1]"
1,2.6709547732699526,"[10.0, 100.0, 0.1]"
1,2.670604796243003,"[1.0, 100.0, 0.001]"
1,2.5886507695281034,"[0.01, 1.0, 0.001]"
1,1.1592169877867067,"[0.001, 10.0, 0.001]"
1,1.1602209526335339,"[0.001, 10.0, 0.01]"
1,2.6708898429021772,"[100.0, 100.0, 0.1]"
1,1.1592169877867067,"[0.001, 10.0, 0.001]"
1,2.6662675902008837,"[10.0, 10.0, 0.01]"
1,2.650408060565718,"[0.01, 0.1, 0.1]"
1,1.1713948299734107,"[0.001, 100.0, 0.01]"
1,2.658221288521668,"[1.0, 0.1, 0.1]"
1,2.6581091679071585,"[0.1, 0.01, 0.1]"
