Fold,MAE (kcal/mol),Hyperparameters
1,0.985612115349737,"[1.0, 1.0, 1.0]"
1,2.334621848739498,"[1.0, 0.1, 100.0]"
1,0.984671135208822,"[10.0, 1.0, 1.0]"
1,2.334621848739496,"[0.1, 0.001, 10.0]"
1,1.0552966486743653,"[0.1, 100.0, 1.0]"
1,0.9397478991596638,"[100.0, 0.001, 0.1]"
1,2.334621848739498,"[100.0, 0.001, 100.0]"
1,0.9359478274283017,"[0.001, 0.001, 0.1]"
1,0.9363814329299082,"[0.001, 0.001, 0.001]"
1,1.0536059087481013,"[100.0, 100.0, 1.0]"
1,0.9406119493724315,"[0.1, 0.1, 0.001]"
1,0.9406260504386342,"[100.0, 0.001, 0.01]"
1,0.5590129113679622,"[0.001, 1.0, 0.1]"
1,0.5219413449861154,"[0.001, 10.0, 0.1]"
1,0.9031234120696462,"[0.001, 0.01, 0.1]"
1,0.7741375816294987,"[0.001, 0.1, 0.1]"
1,0.5227550455330013,"[0.001, 100.0, 0.1]"
1,0.5313667557440205,"[0.001, 10.0, 0.01]"
1,0.532821013222861,"[0.001, 100.0, 0.01]"
1,0.9033680545287006,"[0.001, 0.01, 0.01]"
1,0.5601767268732701,"[0.001, 1.0, 0.01]"
1,0.533012338989188,"[0.001, 10.0, 0.001]"
1,0.5608550932247762,"[0.001, 1.0, 0.001]"
1,0.536468483267065,"[0.001, 100.0, 0.001]"
1,0.7789697089487363,"[0.01, 10.0, 0.1]"
1,0.9640382449068806,"[10.0, 100.0, 0.1]"
1,0.9613777800811348,"[100.0, 10.0, 0.001]"
1,0.9611901300496831,"[0.1, 10.0, 0.01]"
1,0.7452745982792316,"[0.001, 10.0, 1.0]"
1,0.7662452837900166,"[0.01, 100.0, 0.01]"
1,0.5601767268732701,"[0.001, 1.0, 0.01]"
1,0.9644262080148425,"[1.0, 100.0, 0.1]"
1,0.7573212323628618,"[0.01, 1.0, 0.001]"
1,0.9424908986579815,"[100.0, 1.0, 0.1]"
1,0.5601767268732701,"[0.001, 1.0, 0.01]"
1,0.532821013222861,"[0.001, 100.0, 0.01]"
1,0.9615444824654906,"[10.0, 10.0, 0.001]"
1,0.5601767268732701,"[0.001, 1.0, 0.01]"
1,0.9621400184821093,"[1.0, 10.0, 0.01]"
1,0.7650381359346088,"[0.01, 100.0, 0.001]"
1,0.9418512822133036,"[0.1, 1.0, 0.1]"
1,0.9369762839841606,"[0.01, 1.0, 1.0]"
1,0.9416623008099132,"[1.0, 1.0, 0.001]"
1,0.9415896560261124,"[10.0, 1.0, 0.01]"
1,0.8811447854481144,"[0.01, 0.1, 0.01]"
1,0.5219413449861154,"[0.001, 10.0, 0.1]"
1,0.5227550455330013,"[0.001, 100.0, 0.1]"
1,0.7622148690939374,"[0.01, 10.0, 0.001]"
1,0.9613878478195419,"[0.1, 100.0, 0.001]"
1,0.7452745982792316,"[0.001, 100.0, 1.0]"
2,1.0105217338734054,"[1.0, 1.0, 1.0]"
2,2.3600000000000003,"[0.001, 10.0, 10.0]"
2,0.9820608817248278,"[100.0, 10.0, 0.01]"
2,2.3600000000000003,"[10.0, 10.0, 10.0]"
2,0.9543383166801932,"[0.1, 0.01, 0.1]"
2,0.9544456609362548,"[100.0, 0.001, 0.1]"
2,2.360000000000003,"[0.001, 0.001, 100.0]"
2,2.360000000000003,"[0.01, 10.0, 100.0]"
2,2.360000000000003,"[10.0, 10.0, 100.0]"
2,2.360000000000003,"[100.0, 0.1, 100.0]"
2,0.9007885728037869,"[0.01, 0.1, 0.001]"
2,0.9537817997681103,"[10.0, 0.01, 0.001]"
2,0.7720666951751173,"[0.01, 10.0, 0.001]"
2,0.7721245861911606,"[0.01, 100.0, 0.001]"
2,0.9532882413173023,"[0.01, 0.001, 0.001]"
2,0.9538687932297247,"[1.0, 1.0, 0.001]"
2,0.7731383468334576,"[0.01, 100.0, 0.01]"
2,0.9007557746611576,"[0.01, 0.1, 0.01]"
2,0.7835575919108684,"[0.01, 1.0, 0.01]"
2,0.9480549891119681,"[0.01, 0.01, 0.01]"
2,0.9532846598188629,"[0.01, 0.001, 0.01]"
2,0.787940201930504,"[0.01, 100.0, 0.1]"
2,0.7929181288715197,"[0.01, 1.0, 0.1]"
2,0.7880051526308754,"[0.01, 10.0, 0.1]"
2,0.9031203550504341,"[0.01, 0.1, 0.1]"
2,1.0319383196647565,"[0.01, 100.0, 1.0]"
2,0.9817344620568053,"[0.1, 100.0, 0.001]"
2,0.5414686661573922,"[0.001, 100.0, 0.1]"
2,0.5314484354276365,"[0.001, 10.0, 0.1]"
2,0.9136470714551078,"[0.001, 0.01, 0.1]"
2,0.5314484354276365,"[0.001, 10.0, 0.1]"
2,0.9853401157904067,"[10.0, 10.0, 0.1]"
2,0.9858695310949576,"[1.0, 10.0, 0.1]"
2,0.5476004553489313,"[0.001, 100.0, 0.01]"
2,0.9820446416498245,"[0.1, 100.0, 0.01]"
2,0.526004452646616,"[0.001, 10.0, 0.001]"
2,0.5690723076771139,"[0.001, 1.0, 0.001]"
2,0.524523909822352,"[0.001, 10.0, 0.01]"
2,0.7495128224847815,"[0.001, 10.0, 1.0]"
2,0.5496349500459937,"[0.001, 100.0, 0.001]"
2,0.9818035370082502,"[100.0, 10.0, 0.001]"
2,0.569764972154073,"[0.001, 1.0, 0.1]"
2,0.9821513326710253,"[10.0, 10.0, 0.01]"
2,1.0964609329345933,"[0.1, 10.0, 1.0]"
2,0.5687823428295209,"[0.001, 1.0, 0.01]"
2,0.9826437042161734,"[1.0, 10.0, 0.01]"
2,0.7655153903735494,"[0.001, 1.0, 1.0]"
2,1.095249328880269,"[10.0, 100.0, 1.0]"
2,0.949982221668459,"[0.001, 0.001, 0.1]"
2,0.9856919647455329,"[100.0, 100.0, 0.1]"
3,1.0622286439522013,"[1.0, 1.0, 1.0]"
3,1.0406891164579701,"[0.01, 0.01, 1.0]"
3,1.0269975182063458,"[0.1, 0.1, 0.1]"
3,1.0331932773109245,"[0.01, 10.0, 10.0]"
3,1.0278198364774758,"[0.1, 0.01, 0.001]"
3,1.0331932773109243,"[1.0, 100.0, 100.0]"
3,1.0490752574598057,"[10.0, 10.0, 0.01]"
3,1.0421570126704511,"[0.1, 0.01, 1.0]"
3,1.0331932773109245,"[1.0, 10.0, 10.0]"
3,1.0331932773109245,"[0.01, 0.001, 10.0]"
3,1.0331932773109243,"[0.01, 1.0, 100.0]"
3,1.022419786290643,"[0.01, 0.01, 0.1]"
3,1.0331932773109243,"[0.001, 0.01, 100.0]"
3,1.0529279278933632,"[100.0, 100.0, 0.1]"
3,1.0331932773109243,"[0.1, 0.01, 100.0]"
3,0.9697533380264372,"[0.01, 0.1, 0.001]"
3,0.9697533380264372,"[0.01, 0.1, 0.001]"
3,1.029107713907123,"[10.0, 0.1, 0.001]"
3,0.9699735318802927,"[0.01, 0.1, 0.01]"
3,0.87256929094551,"[0.001, 0.1, 0.01]"
