Fold,MAE (kcal/mol),Hyperparameters
1,2.658890840262174,"[1.0, 1.0, 1.0]"
1,7.83882352941176,"[1.0, 100.0, 100.0]"
1,2.6575311841638825,"[0.01, 0.001, 0.1]"
1,7.83882352941176,"[0.01, 1.0, 100.0]"
1,2.658109243685896,"[10.0, 0.01, 0.1]"
1,2.6602345154392406,"[0.1, 10.0, 0.01]"
1,2.658890840262174,"[1.0, 1.0, 1.0]"
1,4.328768343599804,"[0.01, 0.1, 10.0]"
1,2.6591244522317763,"[10.0, 1.0, 0.01]"
1,7.83882352941176,"[0.001, 0.001, 100.0]"
1,2.6580217243050557,"[0.1, 0.1, 0.1]"
1,2.664476727093865,"[0.1, 100.0, 0.001]"
1,2.6582303509639145,"[100.0, 0.1, 1.0]"
1,1.212791567669827,"[0.001, 100.0, 1.0]"
1,1.205022467043055,"[0.001, 10.0, 1.0]"
1,2.6725194130512855,"[10.0, 10.0, 1.0]"
1,2.0677493604504553,"[0.01, 10.0, 1.0]"
1,2.6683095707416684,"[0.1, 10.0, 1.0]"
1,2.6591369656862507,"[1.0, 1.0, 0.001]"
1,2.6580672268907564,"[100.0, 0.01, 0.01]"
1,2.6518967736335073,"[0.001, 0.001, 1.0]"
1,2.60053227970668,"[0.001, 0.01, 1.0]"
1,0.8813154191404796,"[0.001, 10.0, 0.001]"
1,2.6661868630658296,"[100.0, 10.0, 0.001]"
1,0.9050015805382631,"[0.001, 100.0, 0.1]"
1,0.9038121848638317,"[0.001, 10.0, 0.1]"
1,0.8826927604694639,"[0.001, 100.0, 0.01]"
1,0.8810267717216871,"[0.001, 100.0, 0.001]"
1,0.882523425405852,"[0.001, 10.0, 0.01]"
1,2.2440801961411,"[0.001, 0.1, 0.01]"
1,1.2339392574087737,"[0.001, 1.0, 0.1]"
1,1.2369738888276878,"[0.001, 1.0, 0.001]"
1,2.670889842904629,"[100.0, 100.0, 0.1]"
1,2.249409333052728,"[0.001, 0.1, 0.1]"
1,1.2352376605515798,"[0.001, 1.0, 0.01]"
1,1.8199652572172897,"[0.01, 100.0, 0.01]"
1,2.66680926925314,"[1.0, 10.0, 0.1]"
1,0.8810267717216871,"[0.001, 100.0, 0.001]"
1,5.210646491773067,"[0.001, 10.0, 10.0]"
1,2.596995335593589,"[0.001, 0.01, 0.001]"
1,1.817940411604843,"[0.01, 100.0, 0.001]"
1,1.4809780376103832,"[0.001, 1.0, 1.0]"
1,1.840653740999686,"[0.01, 100.0, 0.1]"
1,2.243767264017308,"[0.001, 0.1, 0.001]"
1,2.6703872837843723,"[10.0, 100.0, 0.001]"
1,2.6706643292421117,"[1.0, 100.0, 0.01]"
1,2.6516784929566177,"[0.001, 0.001, 0.01]"
1,2.666222054869475,"[100.0, 10.0, 0.01]"
1,2.5969965894662272,"[0.001, 0.01, 0.01]"
1,0.9050015805382631,"[0.001, 100.0, 0.1]"
2,2.771457740599139,"[1.0, 1.0, 1.0]"
2,4.006218487889576,"[100.0, 0.1, 10.0]"
2,2.7519663894301787,"[1.0, 0.001, 0.01]"
2,7.244705882352937,"[0.1, 10.0, 100.0]"
2,1.1646225279853917,"[0.001, 10.0, 0.01]"
2,4.431512605042017,"[10.0, 10.0, 10.0]"
2,4.431512605042017,"[100.0, 10.0, 10.0]"
2,2.415167647521882,"[0.001, 0.1, 0.001]"
2,2.7519663894301787,"[1.0, 0.001, 0.01]"
2,2.746214312949201,"[0.001, 0.001, 0.01]"
2,7.244705882352937,"[10.0, 1.0, 100.0]"
2,2.75133308669343,"[0.1, 0.001, 0.1]"
2,1.131975198013574,"[0.001, 100.0, 0.01]"
2,1.5119209136071619,"[0.001, 1.0, 0.01]"
2,2.4161131878809936,"[0.001, 0.1, 0.01]"
2,2.697604644035343,"[0.001, 0.01, 0.01]"
2,2.7129718491861223,"[0.1, 10.0, 0.001]"
2,2.7497049342256488,"[10.0, 0.1, 0.1]"
2,2.7258203840186668,"[100.0, 100.0, 1.0]"
2,2.7518907850639596,"[1.0, 0.01, 0.001]"
2,2.416106448244604,"[0.01, 1.0, 0.001]"
2,2.723475416125117,"[100.0, 100.0, 0.001]"
2,2.756551916368574,"[0.1, 0.001, 1.0]"
2,2.7240621022218,"[100.0, 100.0, 0.1]"
2,2.7519664152703434,"[10.0, 0.001, 0.001]"
2,2.105320040416695,"[0.01, 100.0, 0.01]"
2,2.713055647431185,"[0.1, 10.0, 0.01]"
2,2.7231610077579838,"[1.0, 100.0, 0.01]"
2,2.7459593604941603,"[100.0, 1.0, 0.01]"
2,1.519003107405187,"[0.001, 1.0, 0.1]"
2,1.181777477232108,"[0.001, 10.0, 0.1]"
2,1.181777477232108,"[0.001, 10.0, 0.1]"
2,2.70116067051438,"[0.001, 0.01, 0.1]"
2,2.129493110297122,"[0.01, 10.0, 0.1]"
2,1.476805926570678,"[0.001, 10.0, 1.0]"
2,1.1618773765793289,"[0.001, 100.0, 0.1]"
2,1.452018671472213,"[0.001, 100.0, 1.0]"
2,1.1322010412315249,"[0.001, 100.0, 0.001]"
2,1.1635967925210702,"[0.001, 10.0, 0.001]"
2,1.511577305690749,"[0.001, 1.0, 0.001]"
2,2.7268011378877137,"[1.0, 10.0, 0.001]"
2,2.7093079231047814,"[0.1, 100.0, 0.01]"
2,1.76935802737465,"[0.001, 1.0, 1.0]"
2,2.7200627900988312,"[0.01, 0.1, 1.0]"
2,2.7232951755572037,"[10.0, 100.0, 0.01]"
2,2.124191322019497,"[0.01, 100.0, 0.1]"
2,1.1322010412315249,"[0.001, 100.0, 0.001]"
2,1.1322010412315249,"[0.001, 100.0, 0.001]"
2,1.131975198013574,"[0.001, 100.0, 0.01]"
2,1.131975198013574,"[0.001, 100.0, 0.01]"
3,2.8025927896104648,"[1.0, 1.0, 1.0]"
3,2.3240257538352598,"[0.01, 100.0, 1.0]"
3,4.511733193529177,"[1.0, 1.0, 10.0]"
3,4.268684873964947,"[1.0, 0.001, 10.0]"
3,4.780620383784749,"[0.1, 10.0, 10.0]"
3,2.81315126050417,"[100.0, 0.001, 1.0]"
3,7.433277310924366,"[0.01, 1.0, 100.0]"
3,7.433277310924366,"[100.0, 1.0, 100.0]"
3,2.8025927896104648,"[1.0, 1.0, 1.0]"
3,2.811138165446549,"[1.0, 100.0, 0.001]"
3,2.408088196608183,"[0.001, 0.1, 0.01]"
3,2.8149812484322476,"[10.0, 0.1, 0.1]"
3,2.8141242812606415,"[100.0, 1.0, 0.01]"
3,1.012393925048583,"[0.001, 10.0, 0.01]"
3,0.9819572459310195,"[0.001, 100.0, 0.01]"
3,2.809824172509006,"[0.001, 0.001, 0.01]"
3,2.755884532456376,"[0.001, 0.01, 0.01]"
3,2.8161643913460233,"[10.0, 0.01, 0.001]"
3,2.813738783612101,"[100.0, 1.0, 0.1]"
3,2.8112141754256075,"[0.1, 10.0, 1.0]"
3,2.0860617092568665,"[0.01, 10.0, 0.001]"
3,2.8154916000959163,"[0.01, 0.001, 0.001]"
3,2.8039866243388527,"[0.1, 1.0, 0.001]"
3,2.8040430845468123,"[0.1, 100.0, 0.1]"
3,2.8112353956018388,"[1.0, 100.0, 0.01]"
3,2.814434936002225,"[0.01, 0.001, 0.1]"
3,2.818023387871971,"[10.0, 10.0, 0.01]"
3,1.0265946560287413,"[0.001, 10.0, 0.1]"
3,2.814972799979818,"[1.0, 0.01, 0.1]"
3,2.8144863471044173,"[0.1, 0.1, 0.01]"
3,1.0265946560287413,"[0.001, 10.0, 0.1]"
3,1.0126221130618354,"[0.001, 10.0, 0.001]"
3,1.3093571888101048,"[0.001, 100.0, 1.0]"
3,1.0038765421472975,"[0.001, 100.0, 0.1]"
3,0.9806271675112256,"[0.001, 100.0, 0.001]"
3,2.4077632034356737,"[0.001, 0.1, 0.001]"
3,1.3108948780163159,"[0.001, 10.0, 1.0]"
3,1.3758623851135916,"[0.001, 1.0, 0.1]"
3,2.758254947564221,"[0.001, 0.01, 0.1]"
3,1.3762702157265678,"[0.001, 1.0, 0.001]"
3,2.8055343545618316,"[1.0, 10.0, 0.1]"
3,1.3759082170283767,"[0.001, 1.0, 0.01]"
3,2.8281616264879648,"[100.0, 100.0, 0.001]"
3,2.833857563742087,"[10.0, 100.0, 1.0]"
3,2.8264084763885657,"[100.0, 10.0, 1.0]"
3,2.812939406300979,"[10.0, 1.0, 0.001]"
3,0.9806271675112256,"[0.001, 100.0, 0.001]"
3,2.7556939959704394,"[0.01, 0.1, 0.01]"
3,2.0885811057903783,"[0.01, 100.0, 0.01]"
