Fold,MAE (kcal/mol),Hyperparameters
1,0.9721039541932545,"[1.0, 1.0, 1.0]"
1,0.8463621450411066,"[0.1, 100.0, 0.01]"
1,2.334621848739498,"[0.1, 10.0, 100.0]"
1,0.9393225631678687,"[0.1, 0.001, 0.1]"
1,0.9403755659608726,"[1.0, 0.01, 0.001]"
1,2.334621848739498,"[0.01, 0.001, 100.0]"
1,2.334621848739496,"[100.0, 10.0, 10.0]"
1,2.334621848739496,"[100.0, 10.0, 10.0]"
1,0.9374522991146248,"[1.0, 0.1, 0.001]"
1,0.8461099450889341,"[0.1, 100.0, 0.001]"
1,0.9369798051460893,"[0.001, 0.001, 0.001]"
1,0.9376560618927452,"[10.0, 0.1, 0.01]"
1,0.6829759091998029,"[0.01, 100.0, 0.01]"
1,0.9379501957506512,"[1.0, 100.0, 0.01]"
1,0.9401120448304492,"[100.0, 0.01, 0.01]"
1,0.6251960343006004,"[0.001, 100.0, 0.01]"
1,0.9141099629170055,"[0.001, 0.01, 0.1]"
1,0.8947950058837271,"[0.01, 10.0, 1.0]"
1,0.8035582703806945,"[0.01, 0.1, 0.001]"
1,0.9377487118580783,"[10.0, 0.1, 0.001]"
1,0.938962857315425,"[1.0, 100.0, 0.1]"
1,0.8943617354435117,"[0.001, 0.1, 1.0]"
1,0.937748712318804,"[100.0, 0.1, 0.001]"
1,0.8043132816620528,"[0.01, 0.1, 0.1]"
1,0.7980514335504794,"[0.001, 0.1, 0.01]"
1,0.6303245571156256,"[0.001, 1.0, 0.01]"
1,0.5670816368483558,"[0.001, 10.0, 0.01]"
1,0.937702368706271,"[0.001, 0.001, 0.01]"
1,0.6658843310671367,"[0.01, 1.0, 0.001]"
1,0.6689478270515284,"[0.01, 1.0, 0.1]"
1,0.6774547003434801,"[0.01, 10.0, 0.001]"
1,0.6777815162457377,"[0.01, 10.0, 0.1]"
1,0.6308870735334663,"[0.001, 1.0, 0.001]"
1,0.6316326945295008,"[0.001, 1.0, 0.1]"
1,0.6272462451264836,"[0.001, 100.0, 0.001]"
1,0.7568563582871449,"[0.001, 100.0, 1.0]"
1,0.9268201680602459,"[100.0, 1.0, 0.1]"
1,0.5937015764958095,"[0.001, 100.0, 0.1]"
1,0.9393774333936146,"[10.0, 100.0, 0.1]"
1,0.7849674374465735,"[0.001, 1.0, 1.0]"
1,0.9379080283444958,"[100.0, 10.0, 0.01]"
1,0.6308870735334663,"[0.001, 1.0, 0.001]"
1,0.9139162480169891,"[0.001, 0.01, 0.01]"
1,0.5679112601851308,"[0.001, 10.0, 0.001]"
1,0.5679112601851308,"[0.001, 10.0, 0.001]"
1,0.5679112601851308,"[0.001, 10.0, 0.001]"
1,0.5679112601851308,"[0.001, 10.0, 0.001]"
1,0.568735196344809,"[0.001, 10.0, 0.1]"
1,0.665876978238098,"[0.01, 1.0, 0.01]"
1,0.8413035755036883,"[0.1, 1.0, 0.1]"
1,0.9266129736701828,"[10.0, 1.0, 0.01]"
1,0.9159001611527853,"[0.01, 0.01, 0.001]"
1,0.9376714615874937,"[1.0, 10.0, 0.001]"
1,0.5670816368483558,"[0.001, 10.0, 0.01]"
1,0.9383336732416867,"[100.0, 100.0, 0.001]"
1,0.568735196344809,"[0.001, 10.0, 0.1]"
1,0.9054160406858601,"[0.1, 0.1, 0.001]"
1,0.5670816368483558,"[0.001, 10.0, 0.01]"
1,0.9379118522436705,"[10.0, 10.0, 0.01]"
1,0.9373120973560465,"[0.01, 0.001, 0.1]"
1,0.9255792265353416,"[1.0, 1.0, 0.001]"
1,0.8520767215155125,"[0.1, 100.0, 0.1]"
1,0.9504961554312275,"[0.1, 0.01, 1.0]"
1,0.8457499234223921,"[0.1, 10.0, 0.001]"
1,0.568735196344809,"[0.001, 10.0, 0.1]"
2,1.0004452063517897,"[1.0, 1.0, 1.0]"
2,0.952857142871771,"[10.0, 0.01, 0.01]"
2,0.5428202360183844,"[0.001, 10.0, 0.1]"
2,0.9311140390015308,"[0.01, 0.01, 0.1]"
2,1.0888370348139256,"[100.0, 100.0, 1.0]"
2,1.0887657704163827,"[1.0, 10.0, 1.0]"
2,2.3600000000000003,"[100.0, 0.01, 10.0]"
2,0.8776221693809143,"[0.1, 1.0, 0.01]"
2,0.7088900517142286,"[0.01, 10.0, 0.001]"
2,0.9364284777618317,"[100.0, 1.0, 0.001]"
2,0.9695415751379616,"[1.0, 10.0, 0.1]"
2,2.360000000000003,"[10.0, 0.01, 100.0]"
2,0.6026225087149291,"[0.001, 1.0, 0.1]"
2,0.9529411764849428,"[10.0, 0.01, 0.001]"
2,0.9694016121380676,"[10.0, 10.0, 0.1]"
2,0.5384972152814151,"[0.001, 10.0, 0.001]"
2,0.6140843622804969,"[0.001, 100.0, 0.001]"
2,0.9654960396979675,"[1.0, 10.0, 0.001]"
2,0.9086395868250452,"[0.1, 10.0, 0.001]"
2,0.9694029245055308,"[100.0, 10.0, 0.1]"
2,0.5380789647510215,"[0.001, 10.0, 0.01]"
2,0.9494941310879569,"[0.001, 0.001, 0.01]"
2,0.7085929192461244,"[0.01, 10.0, 0.01]"
2,0.7977781624188778,"[0.001, 0.1, 0.001]"
2,0.6022256960576258,"[0.001, 1.0, 0.01]"
2,0.6027231602682013,"[0.001, 1.0, 0.001]"
2,0.5380789647510215,"[0.001, 10.0, 0.01]"
2,0.7803702539758932,"[0.001, 1.0, 1.0]"
2,0.5930779749611786,"[0.001, 100.0, 0.1]"
2,0.6110911441318255,"[0.001, 100.0, 0.01]"
2,0.9214007173729047,"[0.001, 0.01, 0.001]"
2,0.9657612277949353,"[10.0, 10.0, 0.01]"
2,0.7977667844359101,"[0.001, 0.1, 0.01]"
2,0.7338459701486654,"[0.01, 100.0, 0.1]"
2,0.8978604105872648,"[0.01, 1.0, 1.0]"
2,0.7984519514702919,"[0.001, 0.1, 0.1]"
2,0.7002884023110192,"[0.01, 1.0, 0.01]"
2,0.9364274277538435,"[10.0, 1.0, 0.001]"
2,0.6110911441318255,"[0.001, 100.0, 0.01]"
2,0.6022256960576258,"[0.001, 1.0, 0.01]"
2,0.5380789647510215,"[0.001, 10.0, 0.01]"
2,0.9161112163133073,"[0.1, 100.0, 0.1]"
2,0.5384972152814151,"[0.001, 10.0, 0.001]"
2,0.966397807937056,"[1.0, 100.0, 0.01]"
2,0.8286488530632913,"[0.01, 0.1, 0.001]"
2,0.5428202360183844,"[0.001, 10.0, 0.1]"
2,0.5384972152814151,"[0.001, 10.0, 0.001]"
2,0.7346974716331308,"[0.01, 100.0, 0.01]"
2,0.5380789647510215,"[0.001, 10.0, 0.01]"
2,0.9699004296267636,"[10.0, 100.0, 0.1]"
2,0.5384972152814151,"[0.001, 10.0, 0.001]"
2,0.9507777387702321,"[0.01, 0.001, 0.001]"
2,0.9471392034127313,"[100.0, 0.1, 0.01]"
2,0.9256324305049735,"[0.1, 0.1, 0.01]"
2,0.5380789647510215,"[0.001, 10.0, 0.01]"
2,0.9468656726445119,"[1.0, 0.1, 0.01]"
2,0.5384972152814151,"[0.001, 10.0, 0.001]"
2,0.5380789647510215,"[0.001, 10.0, 0.01]"
2,0.5380789647510215,"[0.001, 10.0, 0.01]"
2,0.9471008403078797,"[10.0, 0.1, 0.001]"
2,0.5384972152814151,"[0.001, 10.0, 0.001]"
2,0.5384972152814151,"[0.001, 10.0, 0.001]"
2,0.5380789647510215,"[0.001, 10.0, 0.01]"
2,0.7492679678189477,"[0.001, 10.0, 1.0]"
2,0.9507607880593204,"[0.1, 0.01, 0.01]"
3,1.0547854598925837,"[1.0, 1.0, 1.0]"
3,1.027689075592781,"[10.0, 0.01, 0.1]"
3,1.0420728291247654,"[100.0, 0.01, 1.0]"
3,1.00534859587663,"[0.01, 0.1, 1.0]"
3,1.0271596771358,"[1.0, 0.01, 0.001]"
3,1.0246290322911722,"[0.001, 0.001, 0.01]"
3,1.0274968894142034,"[0.1, 0.001, 0.001]"
3,1.0420728291247654,"[100.0, 0.01, 1.0]"
3,1.0331932773109243,"[100.0, 0.001, 100.0]"
3,0.7510104073580212,"[0.01, 10.0, 0.001]"
3,1.0331932773109243,"[0.1, 0.001, 100.0]"
3,1.0267986304844654,"[1.0, 10.0, 0.1]"
3,1.0418193277336971,"[10.0, 0.001, 1.0]"
3,1.0331932773109245,"[0.001, 10.0, 10.0]"
3,1.0331932773109243,"[0.1, 1.0, 100.0]"
3,0.7490992305799873,"[0.01, 10.0, 0.01]"
3,0.7595120069131476,"[0.01, 100.0, 0.01]"
3,1.0089216232130755,"[0.01, 0.01, 0.01]"
3,0.7789144016152987,"[0.01, 1.0, 0.01]"
3,1.0255606812051954,"[0.01, 0.001, 0.01]"
3,0.9374648979615378,"[0.1, 100.0, 0.01]"
3,1.0256907483015192,"[10.0, 100.0, 0.01]"
3,0.936770370045556,"[0.1, 10.0, 0.001]"
3,1.0559889221646106,"[100.0, 1.0, 1.0]"
3,0.9999420611100022,"[0.1, 0.1, 0.001]"
3,1.0248236331099865,"[0.1, 0.01, 0.001]"
3,1.0331932773109243,"[0.001, 100.0, 100.0]"
3,1.0256907483015194,"[10.0, 10.0, 0.01]"
3,0.892225661602058,"[0.001, 0.1, 0.1]"
3,0.7346513071574701,"[0.001, 1.0, 0.1]"
3,1.0014216411970742,"[0.001, 0.01, 0.1]"
3,1.0219824293690323,"[1.0, 0.1, 0.01]"
3,1.0292315398805931,"[100.0, 100.0, 0.1]"
3,1.0331932773109245,"[10.0, 0.1, 10.0]"
3,1.0331932773109245,"[1.0, 100.0, 10.0]"
3,0.9999625600694799,"[10.0, 1.0, 0.001]"
3,1.022310924275475,"[100.0, 0.1, 0.01]"
3,1.0331932773109243,"[1.0, 0.001, 100.0]"
3,1.0253197925606665,"[100.0, 10.0, 0.001]"
3,0.7434865768599366,"[0.001, 1.0, 0.001]"
3,0.8548756575133644,"[0.001, 1.0, 1.0]"
3,0.7474537517401452,"[0.01, 10.0, 0.1]"
3,1.0331932773109243,"[0.01, 10.0, 100.0]"
3,0.7848420715225507,"[0.01, 1.0, 0.1]"
3,0.7786469797441772,"[0.01, 1.0, 0.001]"
3,0.7611440555555927,"[0.01, 100.0, 0.001]"
3,0.7636842269454898,"[0.01, 100.0, 0.1]"
3,0.7422672127212147,"[0.001, 1.0, 0.01]"
3,1.0331932773109245,"[0.001, 1.0, 10.0]"
3,1.0331932773109245,"[0.01, 100.0, 10.0]"
3,0.7037577229329068,"[0.001, 10.0, 0.001]"
3,0.739082397207394,"[0.001, 100.0, 0.001]"
3,0.8929979775368538,"[0.001, 0.1, 0.001]"
3,0.7045016632829734,"[0.001, 10.0, 0.01]"
3,0.7050390810273824,"[0.001, 10.0, 0.1]"
3,0.8038787311335069,"[0.001, 10.0, 1.0]"
3,0.7357032827103749,"[0.001, 100.0, 0.01]"
3,0.7233953760434365,"[0.001, 100.0, 0.1]"
3,0.8047344087450287,"[0.001, 100.0, 1.0]"
3,0.9435439020256734,"[0.1, 100.0, 0.1]"
3,0.9486474960382699,"[0.01, 100.0, 1.0]"
3,0.9248290632154623,"[0.01, 0.1, 0.1]"
3,1.0229261994650112,"[1.0, 100.0, 0.001]"
3,1.0692937365305557,"[0.1, 10.0, 1.0]"
3,1.0242020174992408,"[0.001, 0.001, 0.1]"
4,1.0764936681177177,"[1.0, 1.0, 1.0]"
4,1.0711765151670527,"[1.0, 0.1, 0.001]"
4,2.6320588235294102,"[0.001, 0.001, 100.0]"
4,1.1134730061350042,"[10.0, 10.0, 1.0]"
4,2.6320588235294125,"[0.001, 0.001, 10.0]"
4,2.6320588235294102,"[0.001, 10.0, 100.0]"
4,2.6320588235294125,"[0.01, 10.0, 10.0]"
4,2.6320588235294125,"[0.1, 100.0, 10.0]"
4,2.6320588235294125,"[1.0, 10.0, 10.0]"
4,0.6771858859174894,"[0.001, 10.0, 0.01]"
4,2.6320588235294125,"[1.0, 100.0, 10.0]"
4,1.0708961471526668,"[0.1, 0.01, 0.1]"
4,1.0712571428876014,"[10.0, 0.1, 0.01]"
4,1.064481922190071,"[1.0, 10.0, 0.01]"
4,0.99041513533552,"[0.1, 100.0, 0.01]"
4,0.8049749583689482,"[0.01, 10.0, 0.01]"
4,1.0658178089110557,"[100.0, 10.0, 0.01]"
4,0.8173409181749447,"[0.01, 10.0, 0.1]"
4,0.6877721172663641,"[0.001, 10.0, 0.1]"
4,1.065236473407499,"[1.0, 10.0, 0.1]"
4,1.0665126235009077,"[10.0, 100.0, 0.1]"
4,1.0664568444503213,"[100.0, 10.0, 0.1]"
4,0.806008017576962,"[0.01, 1.0, 0.001]"
4,1.0674451599322077,"[10.0, 1.0, 0.001]"
4,1.0657920826022966,"[100.0, 10.0, 0.001]"
4,1.0737522321740685,"[0.1, 0.001, 0.001]"
4,0.7375333189506571,"[0.001, 1.0, 0.001]"
4,1.0697436974787922,"[100.0, 0.001, 1.0]"
4,0.8640411403062004,"[0.001, 100.0, 1.0]"
4,1.0075484306676672,"[0.01, 100.0, 1.0]"
4,1.0910848176403556,"[0.1, 100.0, 1.0]"
4,1.0702435953558644,"[0.001, 0.001, 0.01]"
4,1.0697492821578236,"[0.001, 0.001, 0.1]"
4,0.69739096750491,"[0.001, 100.0, 0.001]"
4,0.6779656858372132,"[0.001, 10.0, 0.001]"
4,0.6779656858372132,"[0.001, 10.0, 0.001]"
4,1.0456910812208469,"[0.001, 0.01, 0.001]"
4,0.9277660402057221,"[0.001, 0.1, 0.1]"
4,0.738207439948883,"[0.001, 1.0, 0.01]"
4,0.7424662693752498,"[0.001, 1.0, 0.1]"
4,1.0143447932885856,"[0.001, 0.1, 1.0]"
4,0.695334739849665,"[0.001, 100.0, 0.01]"
4,0.69122456389493,"[0.001, 100.0, 0.1]"
4,0.9238132167961692,"[0.001, 0.1, 0.01]"
4,0.9019928419008361,"[0.001, 1.0, 1.0]"
4,1.0454488344811625,"[0.001, 0.01, 0.01]"
4,0.9236137540280768,"[0.001, 0.1, 0.001]"
4,0.8840249675366724,"[0.001, 10.0, 1.0]"
4,0.9897051917485133,"[0.1, 10.0, 0.001]"
4,1.0438422616952798,"[0.001, 0.01, 0.1]"
4,0.9962597044630453,"[0.1, 100.0, 0.1]"
4,0.69739096750491,"[0.001, 100.0, 0.001]"
4,0.69739096750491,"[0.001, 100.0, 0.001]"
4,0.69739096750491,"[0.001, 100.0, 0.001]"
4,0.8059392038775022,"[0.01, 1.0, 0.01]"
4,0.8169335726899398,"[0.01, 100.0, 0.001]"
4,1.0706674396712352,"[0.01, 0.001, 0.001]"
4,0.9910549052036082,"[0.1, 1.0, 0.01]"
4,1.0697058823538803,"[100.0, 0.01, 1.0]"
4,1.076532580245213,"[100.0, 1.0, 1.0]"
4,0.6771858859174894,"[0.001, 10.0, 0.01]"
4,0.820481955242389,"[0.01, 100.0, 0.1]"
4,0.9466849776904684,"[0.01, 0.1, 0.01]"
4,1.0665463859007935,"[1.0, 1.0, 0.001]"
4,1.0658178089313253,"[10.0, 10.0, 0.01]"
5,1.0977100966949302,"[1.0, 1.0, 1.0]"
