Fold,MAE (kcal/mol),Hyperparameters
1,0.9843801754278354,"[1.0, 1.0, 1.0]"
1,1.3862610928541077,"[0.001, 100.0, 0.1]"
1,1.0061239421360415,"[0.01, 100.0, 0.001]"
1,0.939747899159664,"[100.0, 0.01, 0.1]"
1,0.9869363140906796,"[0.001, 1.0, 1.0]"
1,0.9397478991596638,"[100.0, 0.001, 0.1]"
1,0.9406941638445654,"[0.001, 0.001, 0.01]"
1,2.334621848739498,"[10.0, 0.01, 100.0]"
1,0.9414482146175065,"[1.0, 1.0, 0.001]"
1,1.0061239421360415,"[0.01, 100.0, 0.001]"
1,0.9406260504386342,"[1.0, 0.001, 0.01]"
1,2.334621848739496,"[1.0, 0.001, 10.0]"
1,0.94056561085602,"[1.0, 0.1, 0.01]"
1,0.9436640275006318,"[0.01, 0.1, 0.01]"
1,0.9403641456651505,"[1.0, 0.01, 0.01]"
1,0.9403641456651477,"[0.1, 0.01, 0.01]"
1,0.9403641456651505,"[10.0, 0.01, 0.01]"
1,0.961816010610537,"[1.0, 100.0, 0.01]"
1,0.9415348177466502,"[10.0, 1.0, 0.01]"
1,0.94056561085602,"[100.0, 0.1, 0.01]"
1,2.334621848739498,"[0.1, 0.001, 100.0]"
1,0.9614158068247337,"[100.0, 10.0, 0.01]"
1,0.9513025210084034,"[1.0, 0.001, 1.0]"
1,0.9513025210084034,"[0.1, 0.001, 1.0]"
1,0.9513102509530645,"[0.01, 0.001, 1.0]"
1,1.0536059087312055,"[1.0, 100.0, 1.0]"
1,0.9479280332050082,"[0.001, 0.1, 0.001]"
1,2.334621848739498,"[1.0, 0.1, 100.0]"
1,0.9406722689075628,"[1.0, 0.01, 0.001]"
1,0.9612442459097899,"[10.0, 10.0, 0.001]"
1,0.9406722689075628,"[100.0, 0.001, 0.001]"
1,0.9513025210084034,"[100.0, 0.001, 1.0]"
1,0.9513025210084034,"[10.0, 0.001, 1.0]"
1,0.9515336134350475,"[1.0, 0.01, 1.0]"
1,0.9531990727420407,"[1.0, 0.1, 1.0]"
1,1.0536059087312055,"[1.0, 10.0, 1.0]"
1,0.9424729892144613,"[100.0, 1.0, 0.1]"
1,0.9406722689075627,"[0.1, 0.001, 0.001]"
1,0.9406722689075628,"[1.0, 0.001, 0.001]"
1,0.9406296056774959,"[100.0, 0.1, 0.001]"
1,0.9404668534743499,"[100.0, 0.1, 0.1]"
1,0.9406296056774959,"[10.0, 0.1, 0.001]"
1,0.9407896070893614,"[0.01, 0.01, 0.001]"
1,0.9633949580170861,"[100.0, 10.0, 0.1]"
1,0.9406722689075628,"[10.0, 0.01, 0.001]"
1,0.940057468332346,"[0.01, 0.01, 0.1]"
1,0.9397478991596637,"[0.1, 0.001, 0.1]"
1,2.334621848739498,"[0.01, 1.0, 100.0]"
1,0.9397478991596638,"[10.0, 0.001, 0.1]"
1,0.9404668534743499,"[1.0, 0.1, 0.1]"
2,1.0092436974789916,"[1.0, 1.0, 1.0]"
2,2.360000000000003,"[0.001, 10.0, 100.0]"
2,0.9541329258992256,"[1.0, 0.1, 0.01]"
2,0.9844180908040094,"[0.001, 1.0, 0.001]"
2,0.9846137638219858,"[0.1, 10.0, 0.001]"
2,0.95506510591268,"[10.0, 1.0, 0.01]"
2,1.1585117384927985,"[0.001, 10.0, 0.01]"
2,2.3600000000000003,"[0.01, 100.0, 10.0]"
2,0.9538271194477305,"[0.01, 0.001, 0.01]"
2,0.9843252145868314,"[0.001, 1.0, 0.01]"
2,2.360000000000003,"[10.0, 0.01, 100.0]"
2,0.9544321556303792,"[0.01, 0.01, 0.1]"
2,0.9558706520732703,"[10.0, 1.0, 0.1]"
2,0.9545348139375864,"[0.1, 0.1, 0.1]"
2,0.9544537815126047,"[1.0, 0.001, 0.1]"
2,0.9872972046413567,"[100.0, 10.0, 0.1]"
2,1.347534719802891,"[0.001, 100.0, 0.1]"
2,0.9538655462184873,"[1.0, 0.01, 0.001]"
2,0.9538481691985181,"[0.01, 0.001, 0.001]"
2,0.9540727073477395,"[10.0, 0.1, 0.001]"
2,0.985049391909669,"[100.0, 100.0, 0.001]"
2,0.97,"[0.1, 0.001, 1.0]"
2,0.9718954248268619,"[10.0, 0.1, 1.0]"
2,0.9694934921678815,"[0.001, 0.01, 1.0]"
2,1.0946711484593838,"[100.0, 10.0, 1.0]"
2,0.9537815126050417,"[10.0, 0.01, 0.01]"
2,0.9852603620672646,"[10.0, 100.0, 0.01]"
2,1.4059888926845148,"[0.001, 100.0, 1.0]"
2,0.9538445378235195,"[10.0, 0.001, 0.01]"
2,0.9541329258992256,"[10.0, 0.1, 0.01]"
2,0.9538655462184874,"[1.0, 0.001, 0.001]"
2,0.9538655462184873,"[10.0, 0.01, 0.001]"
2,0.9525935950975236,"[0.001, 0.1, 0.001]"
2,0.9544537816168505,"[1.0, 0.01, 0.1]"
2,0.9544537815126044,"[0.1, 0.001, 0.1]"
2,0.954534813937645,"[10.0, 0.1, 0.1]"
2,0.9537815126050417,"[100.0, 0.01, 0.01]"
2,0.9558706520732703,"[100.0, 1.0, 0.1]"
2,0.9540727073477395,"[100.0, 0.1, 0.001]"
2,0.9538655462184867,"[0.1, 0.001, 0.001]"
