Fold,MAE (kcal/mol),Hyperparameters
1,2.6590624999999997,"[1.0, 1.0, 1.0]"
1,2.6582170178079187,"[0.01, 0.01, 0.01]"
1,2.672443697478992,"[10.0, 10.0, 1.0]"
1,7.83882352941176,"[0.01, 1.0, 100.0]"
1,2.666631251625659,"[1.0, 10.0, 0.1]"
1,2.666268615905356,"[10.0, 10.0, 0.01]"
1,2.658221288521668,"[1.0, 0.1, 0.1]"
1,7.83882352941176,"[0.001, 0.001, 100.0]"
1,7.83882352941176,"[100.0, 0.001, 100.0]"
1,7.83882352941176,"[0.1, 10.0, 100.0]"
1,4.318067227287286,"[1.0, 0.1, 10.0]"
1,2.6956190996428027,"[0.01, 10.0, 0.001]"
1,2.6581749016537284,"[0.001, 0.001, 0.1]"
1,2.6709307497484196,"[10.0, 100.0, 0.1]"
1,2.658067226890757,"[0.1, 0.001, 0.01]"
1,2.6933696548048105,"[0.001, 1.0, 0.01]"
1,2.676345491187488,"[0.01, 1.0, 0.1]"
1,2.6580294117649044,"[100.0, 0.001, 1.0]"
1,2.6582196527586754,"[0.01, 0.01, 1.0]"
1,3.3773870471653265,"[0.001, 100.0, 1.0]"
1,2.6584000433319868,"[0.001, 0.01, 0.001]"
1,2.658133520076133,"[1.0, 0.1, 0.001]"
1,2.658952165481546,"[10.0, 1.0, 0.001]"
1,2.6703568155701873,"[0.1, 100.0, 0.001]"
1,2.6581092436858986,"[0.1, 0.01, 0.1]"
1,2.6581283422450226,"[1.0, 0.1, 0.01]"
1,2.6704091994679606,"[100.0, 100.0, 0.01]"
1,2.6580672268907564,"[100.0, 0.001, 0.001]"
1,2.6582303509639145,"[100.0, 0.1, 1.0]"
1,2.658221288521668,"[100.0, 0.1, 0.1]"
1,2.6580672268907564,"[1.0, 0.001, 0.001]"
1,2.6580672268907564,"[1.0, 0.001, 0.01]"
1,2.6583881186511844,"[0.001, 0.01, 0.1]"
1,2.6580672268898162,"[100.0, 0.01, 1.0]"
1,2.6580672268907564,"[10.0, 0.01, 0.01]"
1,2.6580672268907564,"[10.0, 0.01, 0.001]"
1,2.6581470588108074,"[10.0, 0.001, 0.1]"
1,2.6581283422450226,"[100.0, 0.1, 0.01]"
1,2.6590625000002266,"[0.1, 1.0, 1.0]"
1,2.6703568155686095,"[100.0, 100.0, 0.001]"
1,2.658100508537204,"[0.001, 0.001, 0.001]"
1,2.672443697478992,"[1.0, 10.0, 1.0]"
1,2.670690891602409,"[0.01, 1.0, 1.0]"
1,2.6580294117649057,"[0.1, 0.001, 1.0]"
1,2.6584188468380456,"[0.001, 0.01, 1.0]"
1,2.6594889544425526,"[0.01, 0.1, 0.001]"
1,2.6582303509639145,"[1.0, 0.1, 1.0]"
1,2.6584000433319868,"[0.001, 0.01, 0.01]"
1,2.659565033966077,"[0.01, 0.1, 0.1]"
1,2.658952165481819,"[0.1, 1.0, 0.001]"
2,2.7731292517006803,"[1.0, 1.0, 1.0]"
2,3.9763542320501126,"[0.01, 0.01, 10.0]"
2,2.7513445378151253,"[100.0, 0.001, 0.1]"
2,4.195252100840336,"[100.0, 1.0, 10.0]"
2,2.7532298136638618,"[100.0, 1.0, 0.01]"
2,7.244705882352937,"[0.001, 0.1, 100.0]"
2,2.7719862542075537,"[0.001, 1.0, 0.001]"
2,4.195252100840336,"[10.0, 1.0, 10.0]"
2,2.751974789915966,"[1.0, 0.001, 0.001]"
2,4.431512605042017,"[1.0, 100.0, 10.0]"
2,2.7565546218487413,"[0.1, 0.01, 1.0]"
2,2.753923393521303,"[0.001, 0.1, 0.1]"
2,2.7521848739307937,"[0.1, 0.01, 0.01]"
2,2.728419298750747,"[1.0, 100.0, 0.1]"
2,2.753300492613776,"[0.1, 1.0, 0.1]"
2,2.7516302070692884,"[0.001, 0.1, 0.01]"
2,2.7704017634378153,"[0.01, 10.0, 0.1]"
2,2.7286485334098862,"[10.0, 100.0, 0.01]"
2,2.7330228708192106,"[1.0, 10.0, 0.01]"
2,2.751967919457884,"[0.01, 0.001, 0.01]"
2,2.752871148437819,"[0.1, 0.1, 0.001]"
2,2.7513445378151253,"[1.0, 0.01, 0.1]"
2,2.7565548700404685,"[0.001, 0.001, 1.0]"
2,2.751974789915966,"[10.0, 0.01, 0.001]"
2,2.771832157561826,"[0.01, 10.0, 0.001]"
2,2.72832829761118,"[100.0, 10.0, 1.0]"
2,2.754145658242435,"[100.0, 0.1, 1.0]"
2,2.72582038401953,"[10.0, 100.0, 1.0]"
2,2.7590631158936194,"[0.01, 10.0, 1.0]"
2,2.728419298750747,"[10.0, 100.0, 0.1]"
2,2.7286794364803213,"[100.0, 100.0, 0.001]"
2,2.72582038401953,"[100.0, 100.0, 1.0]"
2,2.7286485334098862,"[1.0, 100.0, 0.01]"
2,2.7286794364803213,"[1.0, 100.0, 0.001]"
2,2.728419298750747,"[100.0, 100.0, 0.1]"
2,3.554686018960417,"[0.001, 100.0, 0.01]"
2,2.7513445378151253,"[10.0, 0.001, 0.1]"
2,2.751974789915966,"[100.0, 0.001, 0.001]"
2,2.754145658242435,"[10.0, 0.1, 1.0]"
2,2.751344537815123,"[0.1, 0.01, 0.1]"
2,2.751974789915966,"[10.0, 0.01, 0.001]"
2,2.756557103765858,"[0.001, 0.01, 1.0]"
2,2.7527626050185385,"[10.0, 0.1, 0.01]"
2,2.771556153378527,"[0.001, 1.0, 0.1]"
2,2.752871148437819,"[0.1, 0.1, 0.001]"
2,2.7565546218487396,"[0.1, 0.001, 1.0]"
2,2.7787659499724757,"[0.01, 100.0, 0.001]"
2,2.7503862719345613,"[0.01, 0.1, 0.1]"
2,2.768262820409971,"[0.01, 100.0, 1.0]"
2,2.732744423803732,"[10.0, 10.0, 0.1]"
3,2.809514472455649,"[1.0, 1.0, 1.0]"
3,4.638389731461667,"[0.001, 10.0, 10.0]"
3,2.81617647058577,"[10.0, 0.01, 0.001]"
3,2.8282826520435114,"[0.1, 100.0, 0.01]"
3,2.809514472455649,"[100.0, 1.0, 1.0]"
3,2.8150420168067227,"[1.0, 0.01, 0.1]"
3,4.780627546191039,"[0.01, 10.0, 10.0]"
