,PCX,Highest contributing feature
0,PC1,pfp356
1,PC2,pfp808
2,PC3,pfp663
3,PC4,pfp97
4,PC5,pfp720
5,PC6,pfp807
6,PC7,pfp314
7,PC8,pfp89
8,PC9,pfp23
9,PC10,pfp398
10,PC11,pfp398
11,PC12,pfp365
12,PC13,pfp359
13,PC14,pfp807
14,PC15,pfp500
15,PC16,pfp164
16,PC17,pfp479
17,PC18,pfp101
18,PC19,pfp365
19,PC20,pfp1004
20,PC21,pfp519
21,PC22,pfp274
22,PC23,pfp112
23,PC24,pfp730
24,PC25,pfp615
25,PC26,pfp792
26,PC27,pfp694
27,PC28,pfp77
28,PC29,pfp234
29,PC30,pfp758
30,PC31,pfp1004
31,PC32,pfp234
32,PC33,pfp96
33,PC34,pfp234
34,PC35,pfp730
35,PC36,pfp96
36,PC37,pfp67
37,PC38,pfp262
38,PC39,pfp125
39,PC40,pfp717
40,PC41,pfp841
41,PC42,pfp533
42,PC43,pfp548
43,PC44,pfp351
44,PC45,pfp968
45,PC46,pfp533
46,PC47,pfp772
47,PC48,pfp169
48,PC49,pfp843
49,PC50,pfp621
50,PC51,pfp221
51,PC52,pfp581
52,PC53,pfp473
53,PC54,pfp445
54,PC55,pfp413
55,PC56,pfp917
56,PC57,pfp704
57,PC58,pfp42
58,PC59,pfp253
59,PC60,pfp639
60,PC61,pfp950
61,PC62,pfp639
62,PC63,pfp266
63,PC64,pfp682
64,PC65,pfp287
65,PC66,pfp571
66,PC67,pfp319
67,PC68,pfp873
68,PC69,pfp664
69,PC70,pfp724
70,PC71,pfp1015
71,PC72,pfp490
72,PC73,pfp625
73,PC74,pfp490
74,PC75,pfp713
75,PC76,pfp439
76,PC77,pfp434
77,PC78,pfp489
78,PC79,pfp47
79,PC80,pfp954
80,PC81,pfp335
81,PC82,pfp489
82,PC83,pfp489
83,PC84,pfp124
84,PC85,pfp354
85,PC86,pfp608
86,PC87,pfp569
87,PC88,pfp551
88,PC89,pfp562
89,PC90,pfp444
90,PC91,pfp633
91,PC92,pfp489
92,PC93,pfp364
93,PC94,pfp229
94,PC95,pfp276
95,PC96,pfp210
96,PC97,pfp733
97,PC98,pfp671
98,PC99,pfp604
99,PC100,pfp552
100,PC101,pfp733
101,PC102,pfp733
102,PC103,pfp981
103,PC104,pfp219
104,PC105,pfp217
105,PC106,pfp148
106,PC107,pfp899
107,PC108,pfp733
108,PC109,pfp633
109,PC110,pfp886
110,PC111,pfp108
111,PC112,pfp476
112,PC113,pfp582
113,PC114,pfp961
114,PC115,pfp604
115,PC116,pfp271
116,PC117,pfp45
117,PC118,pfp476
118,PC119,pfp48
119,PC120,pfp552
120,PC121,pfp918
121,PC122,pfp918
122,PC123,pfp996
123,PC124,pfp918
124,PC125,pfp633
125,PC126,pfp543
126,PC127,pfp1000
127,PC128,pfp382
128,PC129,pfp918
129,PC130,pfp918
130,PC131,pfp82
131,PC132,pfp918
132,PC133,pfp1000
133,PC134,pfp814
134,PC135,pfp844
135,PC136,pfp87
136,PC137,pfp635
137,PC138,pfp876
138,PC139,pfp837
139,PC140,pfp599
140,PC141,pfp852
141,PC142,pfp82
142,PC143,pfp837
143,PC144,pfp852
144,PC145,pfp632
145,PC146,pfp553
146,PC147,pfp852
147,PC148,pfp66
148,PC149,pfp108
149,PC150,pfp355
150,PC151,pfp958
151,PC152,pfp244
152,PC153,pfp645
153,PC154,pfp930
154,PC155,pfp470
155,PC156,pfp87
156,PC157,pfp791
157,PC158,pfp958
158,PC159,pfp791
159,PC160,pfp538
160,PC161,pfp327
161,PC162,pfp537
162,PC163,pfp958
163,PC164,pfp553
164,PC165,pfp951
165,PC166,pfp537
166,PC167,pfp553
167,PC168,pfp421
168,PC169,pfp537
169,PC170,pfp0
170,PC171,pfp122
171,PC172,pfp592
172,PC173,pfp814
173,PC174,pfp559
174,PC175,pfp553
175,PC176,pfp442
176,PC177,pfp895
177,PC178,pfp916
178,PC179,pfp798
179,PC180,pfp657
180,PC181,pfp559
181,PC182,pfp547
182,PC183,pfp746
183,PC184,pfp895
184,PC185,pfp66
185,PC186,pfp677
186,PC187,pfp916
187,PC188,pfp440
188,PC189,pfp743
189,PC190,pfp732
190,PC191,pfp31
191,PC192,pfp547
192,PC193,pfp895
193,PC194,pfp895
194,PC195,pfp415
195,PC196,pfp593
196,PC197,pfp987
197,PC198,pfp856
198,PC199,pfp916
199,PC200,pfp215
200,PC201,pfp856
201,PC202,pfp593
202,PC203,pfp856
203,PC204,pfp547
204,PC205,pfp649
205,PC206,pfp442
206,PC207,pfp973
