,PCX,Highest contributing feature
0,PC1,nHeavyAtom
1,PC2,Mv
2,PC3,ETA_dPsi_A
3,PC4,AETA_eta
4,PC5,ATSC1c
5,PC6,NssssC
6,PC7,pfp74
7,PC8,n5Ring
8,PC9,ATSC2i
9,PC10,AATSC1c
10,PC11,ATSC1p
11,PC12,FNSA1
12,PC13,pfp191
13,PC14,SMR_VSA3
14,PC15,nHBDon
15,PC16,NdO
16,PC17,nG12FHRing
17,PC18,n7HRing
18,PC19,nFaHRing
19,PC20,pfp9
20,PC21,n3Ring
21,PC22,ATSC8v
22,PC23,StsC
23,PC24,nBondsT
24,PC25,pfp119
25,PC26,n10FHRing
26,PC27,pfp173
27,PC28,NddssS
28,PC29,pfp248
29,PC30,NaasN
30,PC31,pfp39
31,PC32,RNCG
32,PC33,NdsN
33,PC34,pfp33
34,PC35,pfp68
35,PC36,pfp131
36,PC37,pfp149
37,PC38,ATSC5v
38,PC39,NdsN
39,PC40,pfp147
40,PC41,SsBr
41,PC42,NdsN
42,PC43,n4HRing
43,PC44,nBr
44,PC45,pfp193
45,PC46,pfp51
46,PC47,pfp2
47,PC48,pfp139
48,PC49,SdCH2
49,PC50,pfp217
50,PC51,C2SP1
51,PC52,n4HRing
52,PC53,n10FHRing
53,PC54,pfp18
54,PC55,pfp131
55,PC56,ATSC6i
56,PC57,pfp59
57,PC58,pfp76
58,PC59,n4HRing
59,PC60,pfp173
60,PC61,pfp107
61,PC62,pfp59
62,PC63,pfp205
63,PC64,BCUTi-1l
64,PC65,pfp110
65,PC66,SsSH
66,PC67,NsSH
67,PC68,pfp123
68,PC69,pfp82
69,PC70,pfp68
70,PC71,pfp106
71,PC72,BCUTm-1l
72,PC73,pfp82
73,PC74,SsSH
74,PC75,pfp44
75,PC76,pfp212
76,PC77,ATSC8d
77,PC78,pfp110
78,PC79,NaaS
79,PC80,pfp135
80,PC81,pfp111
81,PC82,pfp132
82,PC83,NaaS
83,PC84,n10FaRing
84,PC85,EState_VSA4
85,PC86,BCUTi-1l
86,PC87,pfp226
87,PC88,pfp34
88,PC89,SsssCH
89,PC90,nG12FaRing
90,PC91,pfp201
91,PC92,pfp135
92,PC93,pfp52
93,PC94,SssS
94,PC95,pfp99
95,PC96,pfp135
96,PC97,pfp177
97,PC98,pfp41
98,PC99,pfp226
99,PC100,pfp135
100,PC101,pfp99
101,PC102,pfp44
102,PC103,pfp135
103,PC104,pfp135
104,PC105,pfp110
105,PC106,pfp23
106,PC107,pfp180
107,PC108,pfp171
108,PC109,pfp171
109,PC110,pfp180
110,PC111,pfp99
