,PCX,Highest contributing feature
0,PC1,pfp22
1,PC2,pfp175
2,PC3,pfp105
3,PC4,pfp65
4,PC5,pfp149
5,PC6,pfp13
6,PC7,pfp69
7,PC8,pfp28
8,PC9,pfp138
9,PC10,pfp1
10,PC11,pfp51
11,PC12,pfp21
12,PC13,pfp8
13,PC14,pfp56
14,PC15,pfp85
15,PC16,pfp47
16,PC17,pfp179
17,PC18,pfp197
18,PC19,pfp61
19,PC20,pfp72
20,PC21,pfp89
21,PC22,pfp132
22,PC23,pfp133
23,PC24,pfp9
24,PC25,pfp22
25,PC26,pfp153
26,PC27,pfp199
27,PC28,pfp37
28,PC29,pfp160
29,PC30,pfp188
30,PC31,pfp93
31,PC32,pfp109
32,PC33,pfp189
33,PC34,pfp75
34,PC35,pfp69
35,PC36,pfp155
36,PC37,pfp88
37,PC38,pfp145
38,PC39,pfp133
39,PC40,pfp151
40,PC41,pfp134
41,PC42,pfp48
42,PC43,pfp97
43,PC44,pfp99
44,PC45,pfp57
45,PC46,pfp142
46,PC47,pfp102
47,PC48,pfp95
48,PC49,pfp173
49,PC50,pfp105
50,PC51,pfp0
51,PC52,pfp165
52,PC53,pfp182
53,PC54,pfp29
54,PC55,pfp168
55,PC56,pfp45
56,PC57,pfp139
57,PC58,pfp131
58,PC59,pfp40
59,PC60,pfp87
60,PC61,pfp6
61,PC62,pfp159
62,PC63,pfp88
63,PC64,pfp17
64,PC65,pfp158
65,PC66,pfp76
66,PC67,pfp180
67,PC68,pfp101
68,PC69,pfp192
69,PC70,pfp10
70,PC71,pfp22
71,PC72,pfp97
72,PC73,pfp21
73,PC74,pfp64
74,PC75,pfp65
75,PC76,pfp130
76,PC77,pfp110
77,PC78,pfp100
78,PC79,pfp66
79,PC80,pfp145
80,PC81,pfp24
81,PC82,pfp184
82,PC83,pfp141
83,PC84,pfp96
84,PC85,pfp107
85,PC86,pfp39
86,PC87,pfp64
87,PC88,pfp182
88,PC89,pfp159
89,PC90,pfp84
90,PC91,pfp99
91,PC92,pfp168
92,PC93,pfp84
93,PC94,pfp167
94,PC95,pfp107
95,PC96,pfp116
96,PC97,pfp81
97,PC98,pfp117
98,PC99,pfp107
99,PC100,pfp13
100,PC101,pfp108
101,PC102,pfp145
102,PC103,pfp194
103,PC104,pfp34
104,PC105,pfp32
105,PC106,pfp81
106,PC107,pfp2
107,PC108,pfp72
108,PC109,pfp140
109,PC110,pfp115
110,PC111,pfp75
111,PC112,pfp18
112,PC113,pfp111
113,PC114,pfp193
114,PC115,pfp113
115,PC116,pfp94
116,PC117,pfp119
117,PC118,pfp176
118,PC119,pfp154
119,PC120,pfp92
120,PC121,pfp92
121,PC122,pfp194
122,PC123,pfp138
123,PC124,pfp158
124,PC125,pfp4
125,PC126,pfp44
126,PC127,pfp47
127,PC128,pfp80
128,PC129,pfp135
129,PC130,pfp29
130,PC131,pfp65
131,PC132,pfp168
132,PC133,pfp0
133,PC134,pfp157
134,PC135,pfp170
135,PC136,pfp28
136,PC137,pfp134
137,PC138,pfp182
138,PC139,pfp9
139,PC140,pfp180
140,PC141,pfp81
141,PC142,pfp102
142,PC143,pfp156
143,PC144,pfp159
144,PC145,pfp24
145,PC146,pfp134
146,PC147,pfp110
147,PC148,pfp183
148,PC149,pfp124
149,PC150,pfp192
150,PC151,pfp10
151,PC152,pfp22
152,PC153,pfp85
153,PC154,pfp3
154,PC155,pfp88
155,PC156,pfp147
156,PC157,pfp60
157,PC158,pfp81
158,PC159,pfp80
159,PC160,pfp160
160,PC161,pfp29
161,PC162,pfp69
162,PC163,pfp36
163,PC164,pfp168
164,PC165,pfp20
165,PC166,pfp114
166,PC167,pfp124
167,PC168,pfp12
168,PC169,pfp178
