,count,mean,std,min,25%,50%,75%,max
pfp0,636.0,52.75471698113208,29.793296710772914,0.0,27.0,55.5,80.0,99.0
pfp1,636.0,49.661949685534594,29.358289528968744,0.0,23.0,49.0,75.0,99.0
pfp2,636.0,50.40723270440252,28.604760540133206,0.0,26.0,50.5,74.0,99.0
pfp3,636.0,48.783018867924525,29.226243643107093,0.0,23.0,48.0,75.0,99.0
pfp4,636.0,48.37735849056604,30.4145487866141,0.0,21.75,46.5,76.0,99.0
pfp5,636.0,50.40408805031446,28.448188832128757,0.0,27.0,50.0,76.0,99.0
pfp6,636.0,50.136792452830186,28.908955620184027,0.0,25.0,50.0,76.0,99.0
pfp7,636.0,49.844339622641506,29.217446778528206,0.0,25.75,49.0,76.0,99.0
pfp8,636.0,50.4622641509434,29.514392441057637,0.0,26.0,51.0,77.0,99.0
pfp9,636.0,49.040880503144656,28.76050816813978,0.0,24.0,47.0,74.0,99.0
pfp10,636.0,50.67138364779874,29.23460141633998,0.0,26.0,50.0,77.0,99.0
pfp11,636.0,50.210691823899374,29.8868144970398,0.0,23.0,50.0,77.0,99.0
pfp12,636.0,48.8003144654088,29.222514239600137,0.0,23.0,48.0,73.0,99.0
pfp13,636.0,48.70125786163522,29.14360963688714,0.0,22.0,49.0,73.0,99.0
pfp14,636.0,50.39622641509434,28.90669625017422,0.0,26.0,49.0,75.0,99.0
pfp15,636.0,49.644654088050316,28.9277593794404,0.0,25.0,50.0,74.0,99.0
pfp16,636.0,47.90094339622642,28.8930899139897,0.0,23.0,45.0,74.0,99.0
pfp17,636.0,51.028301886792455,28.76452021047183,0.0,26.75,51.0,76.25,99.0
pfp18,636.0,48.34905660377358,28.993360886357326,0.0,22.0,49.0,73.25,99.0
pfp19,636.0,49.814465408805034,28.418473167889882,0.0,26.0,50.0,75.0,99.0
pfp20,636.0,48.905660377358494,28.82814513911084,0.0,25.0,50.0,74.0,99.0
pfp21,636.0,48.97641509433962,29.21866101548224,0.0,22.0,52.5,74.0,99.0
pfp22,636.0,46.19496855345912,28.55810002445687,0.0,22.0,44.0,70.0,99.0
pfp23,636.0,50.270440251572325,27.822595594815468,0.0,28.0,50.0,75.0,99.0
pfp24,636.0,51.265723270440255,28.855439115748528,0.0,27.0,52.0,75.25,99.0
pfp25,636.0,51.55345911949686,29.208217546909935,0.0,26.75,53.0,77.0,99.0
pfp26,636.0,49.729559748427675,29.15652799709258,0.0,26.0,50.0,75.0,99.0
pfp27,636.0,51.0125786163522,28.143778752579134,0.0,28.0,52.5,74.0,99.0
pfp28,636.0,46.930817610062896,29.02078961506117,0.0,22.0,45.0,73.0,99.0
pfp29,636.0,49.215408805031444,28.31085846590862,0.0,24.0,51.0,72.0,99.0
pfp30,636.0,49.899371069182386,28.944518193642313,0.0,25.0,51.0,76.0,99.0
pfp31,636.0,49.698113207547166,29.13044346713397,0.0,24.0,51.0,74.25,99.0
pfp32,636.0,47.30974842767296,29.03969532929885,0.0,21.0,46.0,72.0,99.0
pfp33,636.0,49.72012578616352,28.024122971658,0.0,26.0,50.0,73.25,99.0
