ID,Experimental dGhydr (kcal/mol),uncertainty (kcal/mol)
mobley_1017962,-2.49,0.6
mobley_1019269,-4.72,0.6
mobley_1034539,-3.04,0.1
mobley_1036761,-4.59,0.6
mobley_1046331,-3.82,0.6
mobley_1075836,-2.93,0.6
mobley_1079207,-0.98,0.6
mobley_1107178,-0.74,0.6
mobley_1139153,2.89,0.6
mobley_1144156,-1.59,0.6
mobley_1160109,-3.75,0.21
mobley_1178614,-4.55,0.6
mobley_1189457,-2.73,0.6
mobley_1199854,-0.53,0.6
mobley_1231151,-0.25,0.6
mobley_1235151,-2.82,0.6
mobley_1244778,-5.48,0.6
mobley_1261349,2.51,0.6
mobley_1278715,-0.64,0.1
mobley_129464,-0.83,0.6
mobley_1323538,-7.5,0.2
mobley_1328465,-1.99,0.6
mobley_1328936,-6.88,0.6
mobley_1352110,-3.64,1.93
mobley_1363784,-4.84,0.6
mobley_1396156,-5.22,0.25
mobley_1417007,-9.01,1.93
mobley_1424265,-0.83,0.6
mobley_1449384,-0.68,0.6
mobley_1469079,-3.56,1.0
mobley_1502181,-2.49,0.6
mobley_1520842,-4.93,0.6
mobley_1527293,-8.42,0.16
mobley_1563176,-0.99,0.6
mobley_1571523,-6.16,0.6
mobley_1592519,-2.23,0.6
mobley_1615431,-0.53,0.6
mobley_1636752,-5.1,0.6
mobley_1650157,-4.47,0.6
mobley_1659169,-7.17,0.6
mobley_1662128,1.38,0.6
mobley_1674094,0.29,0.6
mobley_1708457,-10.08,0.6
mobley_1717215,-2.78,0.6
mobley_1722522,-2.49,0.6
mobley_1723043,3.43,0.03
mobley_1728386,-11.0,0.2
mobley_1733799,-5.85,0.83
mobley_1735893,-6.21,0.6
mobley_1743409,-5.71,0.6
mobley_1755375,-5.26,0.6
mobley_1760914,-1.14,0.6
mobley_1770205,-10.03,1.37
mobley_1781152,-2.4,0.6
mobley_1792062,-2.33,0.6
mobley_1800170,-1.14,0.6
mobley_1803862,2.38,0.6
mobley_1821184,-5.88,0.6
mobley_1827204,-2.81,0.6
mobley_1838110,1.77,0.6
mobley_1849020,-6.5,0.83
mobley_1855337,-1.62,0.6
mobley_1857976,-1.79,0.6
mobley_1858644,-6.79,0.6
mobley_186894,-1.1,0.2
